"gender","genderID","height","weight","shoeSize","schoolYear","studyHr","GPA","ACT","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"Female","Female",64,133,8,"Freshman",4,3.9,20,2,1,90,110,6.5,12,52,47,8,"few",10
"Male","Male",74,205,12,"Freshman",3,2.8,26,6,1,110,100,6,10,45,49,8,"few",90
"Male","Male",71,195,11,"Freshman",2,2.8,28,1,1,105,22,6,3,39,40,2,"few",50
"Female","Female",62,107,8,"Freshman",1,3.8,25,0,1,84,140,7,5,41,55,7,"one",50
"Female","Female",68,135,9,"Freshman",3,3.5,28,2,1,90,100,8,10,56,55,8,"few",90
"Female","Female",62,125,7,"Freshman",3,3.9,26,1,2,80,2,8,20,57,58,6,"few",75
"Male","Male",65,145,9,"Sophomore",2.5,3.1,28,2,2,114,14,7.5,9,45,43,2,"few",100
"Female","Female",61,160,8.5,"Freshman",2,1.8,23,2,2,95,150,6,13,48,45,4,"millions",80
"Male","Male",68,145,9,"Sophomore",5,3,24,0,0,60,120,6.5,4,49,51,5,"few",25
"Female","Female",61,140,7,"Freshman",3,3.4,26,2,2,100,40,8,20,53,54,8,"few",50
"Female","Female",67,160,8.5,"Sophomore",6,3.5,23,0,3,95,0,6,18,54,54,5,"one",50
"Female","Female",65,100,7,"Freshman",3.5,3.7,30,1,1,0,0,6.5,11,52,58,3,"few",50
"Male","Male",67,123,9,"Freshman",4.5,3.6,29,0,1,55,60,7.5,6,52,53,8,"few",10
"Female","Female",63,154,9.5,"Sophomore",2.5,3,27,1,2,61,0,7.5,26,53,53,8,"few",10
"Female","Female",64,118,8.5,"Sophomore",3.5,3.8,23,4,6,60,20,8,12,54,57,7,"one",100
"Female","Female",65,145,8,"Freshman",6,3.5,28,1,3,90,0,6,14,50,51,8,"few",50
"Female","Female",63,120,6,"Freshman",1.5,3.1,25,2,1,40,7,7,20,35,35,4,"few",60
"Female","Female",64,116,6.5,"Freshman",3,3.5,25,1,1,100,200,9,50,52,54,3,"one",80
"Male","Male",70,135,9,"Senior",1,3.5,29,1,1,100,27,9,6,49,55,4,"dozens",30
"Male","Male",63,140,11.5,"Freshman",9,2.4,23,6,3,26,16,5,4,52,53,7,"one",100
"Female","Female",64,150,8.5,"Sophomore",2,3.9,25,4,3,92,110,7,15,51,53,10,"one",15
"Female","Female",66,187,9.5,"Freshman",0.5,2.1,21,3,2,30,150,5.5,12,45,45,8,"few",30
"Male","Male",73,157,11.5,"Sophomore",3,3.3,22,0,0,90,10,7.5,6,59,57,4,"none",75
"Female","Female",62,135,7,"Sophomore",2.5,3.8,29,4,5,80,5,8.5,15,48,56,7,"few",90
"Male","Male",71,150,10,"Freshman",2,3.8,27,1,3,80,20,8,6,49,48,1,"few",3
"Male","Male",67,120,9,"Freshman",1,3.8,32,3,1,110,500,8,3,48,48,1,"few",50
"Male","Male",69,164,9,"Junior",3.5,3.2,19,3,1,110,1000,6,10,56,62,10,"few",95
"Female","Female",65,165,8,"Sophomore",4,2.6,21,2,2,0,35,7.5,15,45,50,7,"few",60
"Female","Female",67,133,8.5,"Freshman",2,2.9,30,1,1,90,0,7.5,11,57,57,6,"few",38
"Female","Female",61,160,7.5,"Freshman",6,3.6,20,3,2,100,23,8,23,53,47,5,"one",90
"Female","Female",63,147,8,"Freshman",4,3.4,21,1,3,100,5,7,30,40,38,2,"few",20
"Male","Male",74,200,12,"Freshman",3,3.5,25,2,2,100,25,7.5,4,50,49,8,"few",90
"Male","Male",72,275,10.5,"Junior",5,1,19,3,6,127,7,7,4,57,62,7,"few",90
"Female","Female",65,118,8,"Freshman",4,3.6,27,4,1,90,62,7.5,20,53,53,4,"few",100
"Male","Male",71,156,11,"Freshman",1.5,1.7,33,1,2,95,1000,8,6,49,65,5,"thousands",25
"Female","Female",66,120,7,"Freshman",3,3.5,27,0,3,80,21,9,8,51,54,5,"few",80
"Male","Male",75,190,13,"Sophomore",3,3.1,27,4,1,130,15,6.5,8,47,47,7,"hundreds",100
"Female","Female",63,150,7,"Freshman",5,2.2,21,0,3,40,30,7,14,42,39,7,"few",50
"Male","Male",68,140,10,"Freshman",0.5,3.2,27,3,1,100,90,8.5,30,40,40,1,"few",100
"Female","Female",67,109,8.5,"Freshman",1,3.3,26,1,2,55,50,6.5,11,53,58,7,"few",90
"Female","Female",67,150,10,"Freshman",6,3.8,26,10,4,90,80,6.5,50,39,47,7,"one",100
"Female","Female",67,140,8,"Freshman",3,3.8,24,5,2,65,300,9,9,56,63,7,"hundreds",50
