netid,% of videos watched
do1599,24.73
wa1307,100
ce1679,11.32
ce1537,3.28
el1648,0.21
tr907,94.49
jo1336,53.63
fr1195,38.15
ro1563,1.2
ka1566,15.18
em423,92.78
sh302,38.21
ja1602,20.89
th721,0.45
mi459,100
le1284,89.29
lu1143,100
jo1193,100
ca1048,65.59
pa720,34.76
an354,37.49
cl69,98.09
pa1019,7.92
sp155,100
an1541,25.79
me1098,4.43
pe169,38.13
si1245,19.08
br353,88.94
de1465,47.27
st1421,100
ri421,2.41
lu768,18.26
lo394,100
lo1420,90.13
to581,79.2
qu245,100
br314,55.26
co1261,0.36
re1378,20.12
el645,16.19
lu186,100
mo278,64.03
de1317,47.13
je673,24.85
so961,21.93
ma773,46.79
jo1100,6.5
dr36,10.83
fo1029,100
al1204,100
la65,100
su575,9.16
wi5,64.23
sh1548,2.67
al649,91.33
ch1404,7.45
ve1229,22.73
jo66,86.82
op498,81.72
qu174,10.72
ev456,18.36
ja1684,17.23
ha1441,49.6
te1190,27.98
he852,87.24
mo847,23.14
me1622,3.59
lu23,90.08
la166,100
ni1418,31.08
as779,87.29
ke1292,99.28
sh1652,3.38
jo145,100
dr413,71.22
fe1159,13.52
ju546,4.46
ro1087,80.3
al87,68.39
ed1281,27.3
ro131,100
br933,86.86
cl760,89.68
ka1071,6.89
br1203,38.49
la123,100
do1626,22.97
zo451,3.58
ja50,5.49
ab273,51.5
co955,11.37
th347,6.85
ma1708,17.72
ja713,55.2
pe203,36.87
jo1023,23.22
wi1371,0.51
ra725,32.91
ha172,92.19
re9,100
ru1737,3.68
la1595,11.6
br1514,0.02
wi1249,51.59
vi1200,100
ma1226,14.76
ed299,9
ge26,67.97
lo941,100
bi643,45.27
er1121,24.62
wi99,100
li390,77.45
ce1312,100
lo816,0.01
ez320,66.46
ma1415,100
da1365,39.86
is1442,71.22
cl348,100
ma75,100
an603,89.16
mi1718,0.1
br1103,100
la1720,1.19
le582,0.45
ma114,86.85
ti6,70.96
jo964,8.42
co33,63.69
be993,11.86
br1209,100
la449,96.12
da439,94.26
kr1472,47.61
ma241,3.62
si508,9.86
iv1215,29.19
ch62,70.72
me834,5.73
sa1158,100
he78,14.52
ar257,0.27
sh620,83.12
ju1359,1.93
di530,87.02
wi327,16.2
sa175,36.31
ev1670,0.03
ma1392,62.88
do1083,0.98
me90,87.54
ke1179,6.66
el974,1.79
me445,67.04
ph598,2.95
lu726,100
le856,44.54
jo871,88.24
ma960,100
el378,84.94
gi1508,51.78
mi214,3.61
di1428,31.82
ke380,73.59
ja1618,9.73
ko1647,31.42
ra1673,0.02
le1637,0.17
bl686,62.99
fa1443,79.26
sc1225,8.47
ch1677,0.81
el1124,62.81
se1009,87.45
ka667,13.6
ma1596,0.21
el1064,30.46
ti1137,74.89
al868,46.21
cr1156,13.67
je496,0.77
gl1688,0.19
wa1073,4.67
ga536,53.35
ro1034,75.21
gu1247,96.3
eu1036,100
co1213,97.38
mo1001,93.12
co135,100
ra1430,100
ch1605,2.36
ti1022,88.64
mo1076,80.15
ca420,8.64
ta737,100
zo1192,45.7
je734,100
sh759,100
el1448,100
de407,64.34
fi1667,3.81
ma325,30.2
am1326,2.16
ta940,91.54
le851,100
ru455,5.73
je1609,0.06
da1468,1.51
lo1008,56.58
ti748,84.81
wa1269,12.56
vi980,5.06
ta629,2.45
re724,60.17
da40,100
te824,73.45
an693,52.63
al515,96.74
la1528,6.65
na234,100
rh730,86.92
ma1285,84.91
do1146,46.33
na915,100
el247,45.27
ar410,93.05
za189,100
ma1686,7.81
ch552,1.74
th349,4.43
ju685,7.18
ni130,52.5
ch531,1.99
ma585,100
do89,100
fr1155,90.37
ne995,90.67
ly134,81.38
tr232,85.2
br223,7.38
ga733,87.27
ar1530,9.75
ni1257,80.37
ce900,0.31
ez810,8.89
ca1297,1.9
pe271,81.22
jo911,81.61
ja1058,100
ke209,40.45
sh334,11.15
ag238,68.17
fr989,81.71
ly890,84.27
tr743,3.15
ro570,85.25
un204,100
lo1650,13.4
ma563,34.12
et187,94.56
ch55,100
yo1289,25.16
en475,85.09
iv647,100
ri1106,90.18
bi1674,1.15
jo250,29.86
lu553,96.06
mi1515,7.16
ca251,57.16
po1134,96.71
ad1191,86.05
vi1409,46.96
or328,100
le28,70.88
be227,1.4
pa127,85.72
ma1144,93.96
be165,7.99
ei38,85.88
ir1089,5.71
em416,0.4
ma242,75.79
al15,13.15
ne529,100
li877,48.24
am1543,0.02
ri958,57.62
fa534,0.28
ch61,77.02
ar1185,91.61
al1612,2.77
el616,12.62
je1523,1.19
al1194,83.22
or1271,89.59
dy1520,3.55
bo197,6.48
do253,97.86
je1039,7.96
fe240,51.8
ma1206,4.08
el604,100
es1,84.12
da1118,1.52
ga659,77.25
he398,55.91
je826,39.18
jo1639,1.07
ra1429,27.26
tr1694,0.68
le319,100
gr291,31.32
ko1356,94.87
te1038,51.09
fr1462,6.76
da46,90.86
ad1575,4.26
le1171,90.44
be1406,87.65
co1624,9.07
ko1554,1.12
sh1303,27.64
ya1512,17.95
he745,6.74
jo98,2.07
ju1099,17.43
fl493,4.37
an488,97.59
mi1693,24.38
cl487,8.76
ho1466,36.22
li979,52.8
no233,4.48
ha1333,4.77
jo1576,7.73
ir1393,100
ja1025,94.11
ri1361,65.33
by1455,21.53
pr781,12.87
sa1341,78.55
ch261,100
sh522,30.79
bl1487,5.39
fr642,74.08
es558,20.82
ah179,1.27
ke937,100
vi143,100
tr277,7.09
da1613,11.12
ch568,94.35
gl154,91.77
fo1405,27.4
my1375,47.41
wa1495,8.86
os13,95.86
ja918,63.87
be198,76.57
ja101,66.18
ri1606,5.22
ka1020,1.37
al805,27.08
sh938,1.84
ph1649,0.89
gr971,100
me1531,1.32
ju876,95.31
ja584,82.55
ch1369,100
no1489,44.29
re953,100
li1258,88.16
br105,74.99
mi592,100
ke1130,21.96
ka1733,0.2
sp474,87.63
ju1562,10.6
vi495,100
ca833,23.17
ka1570,11.07
wi1389,88.16
be108,92.05
pe1597,0.01
re943,95.11
ur661,30.35
ba1196,28.58
be437,23.38
er296,100
lu1035,85.16
wi618,94.41
lu403,84.05
la945,92.07
do1451,100
ne119,8.26
we1646,0.13
re1217,48.49
co1342,48.41
ke812,5.37
de939,30.86
al1402,5
ma1116,1.84
gu310,100
li1153,40.09
lu1273,1.49
jo485,72.25
me435,75.9
ja544,96.76
mi12,3.71
jo1084,28.32
ba1288,32.34
ab330,80.93
ce766,57.43
te1401,100
ti823,37.63
ca1311,88.5
ca1188,3.96
el621,63.9
au279,83.89
bl1331,22.95
ma872,79.43
va10,90.6
oc836,100
do1723,7.28
li1663,0.43
ca1112,70.49
al1079,73.49
je723,1.29
ai637,2.14
ge501,7.01
do705,15.46
ma935,78.4
ge566,18.48
id268,95.66
sh1453,71.23
ca471,40.89
ko1267,78.72
jo167,80.36
ab1588,0.48
ju284,73.06
ko1585,2.52
re740,83.33
el371,3.67
va1126,0
ha789,88.99
la1183,23.35
al1246,16.32
ni85,95.02
ma1178,68.61
co1104,32.59
la492,1.17
de948,10.96
la1556,5.99
pa739,100
st311,24.13
st351,6.91
ma540,70.01
ma554,47.08
gi963,100
ke111,100
lo282,13.16
ga231,73.75
sa463,97.79
cl1030,40.21
qu504,100
qu605,6.94
wi707,85.81
ma786,94.66
fe841,9.09
ma417,95.7
bo465,48.87
fa1396,61.99
pr796,100
ga906,43.55
ly1410,47.68
sh1163,15.86
hu1270,50.68
ph462,100
do944,55.88
ro697,92.96
iz1621,0.29
ca1454,76.87
ma239,83.74
ca671,100
ar904,100
li655,78.41
or1182,51.92
we573,20.81
ri569,40.09
fe1456,100
te646,100
du1128,1.84
em1500,100
ty1085,90.81
la976,58.06
gr513,92.96
ce1546,2.01
de1376,2.23
be632,93.44
al393,61.15
je104,62.04
re92,2.69
el1345,14.26
me1235,11.39
wy54,44.81
el776,8.93
ra698,87.89
ja1132,90.8
ju977,14.12
ma556,84.5
ra638,94.57
al1355,49.83
ca898,61.69
de820,11.53
cl1306,16.48
ro809,68.56
ad1710,2.31
me846,30.75
do829,78.34
ma1275,95.77
ja1165,100
ja202,93.45
am220,1.08
ed1696,0.14
ow1043,42.44
an687,100
jo1438,18.56
ar683,100
co1475,58.51
gu317,100
ga346,5.4
ru395,100
mo1074,100
er364,14.74
ma1092,74.99
ge893,70.54
wa992,100
zu762,100
el1481,100
al199,12.73
wh14,100
do1114,57.28
da1160,82.6
hi1234,65.57
ja924,100
su1046,46.94
an1390,81.67
he1584,0.02
ch418,70.08
ea1004,0.41
ka1397,100
zo431,100
fi1037,91.12
cl392,100
co622,71.92
iv1714,25.37
ch404,3.97
es830,0.08
da432,9.99
ba633,1.08
ma1047,51.38
ma965,64.18
ed1017,77.64
an1259,47.3
mi1590,1.21
ca1122,89.45
fl752,75.42
na680,0.83
we984,96.17
ab1282,1.98
ce691,73.37
ot848,72.03
de83,3.83
ea653,69.7
sa782,90.96
tr370,3.65
ch503,2.31
ru51,93.36
me267,100
co949,83.74
fa865,4.06
ve446,0.77
sh1555,0.2
la1635,15.97
be1483,1.97
na397,90.42
ch996,90.71
su1344,100
jo222,98.78
gu151,51.35
ri270,2.6
ad914,91.6
ka1364,69.39
na1519,6.91
de306,28.42
wi1660,3.62
ra316,26.22
ju1187,82.59
li1006,4.11
ig623,3.74
sh230,100
tr772,32.92
te1343,6.62
es82,76.7
le120,20.58
wi1238,88.82
jo1506,76.88
do1308,27.25
bo849,78.31
ar1427,66.67
sh1627,4.95
la195,85.88
em1230,69.5
xi675,50.53
me602,35.16
al957,100
ju1316,89.76
de1659,0.04
jo1362,1.93
ra1587,0.66
em1494,94.61
je1561,1.74
an156,95.89
el1254,73.77
za303,100
ac466,3.42
hu235,81.32
ar1711,16.59
cu116,25.72
ca690,1.28
pa1147,1.01
ji1464,95.26
tr884,100
ra461,16.58
gr1256,100
to1363,100
er669,77.12
ol1040,19.27
ju64,88.41
et1201,87.29
ca438,36.25
ji775,17.72
ha1202,58.19
la1349,0.26
ma1067,2.72
fa180,94.43
ev176,100
wa684,11.67
sa1505,72.68
na1298,97.71
be77,47.61
al216,49.88
da1655,14.43
de1521,0.02
li905,100
br478,55.55
ta1066,18.57
ma60,100
je1598,3.42
tr1081,65.88
mi1458,27.31
ni372,38.8
je1724,0.52
ti86,100
pa1348,100
de819,100
zo1241,92.83
ja742,7.62
mi41,81.93
ca714,100
ni1517,1.62
mo1072,8.64
an1394,14.79
