 Gender(0=Male;1=Female;2=Other;) Gender_ID(0=Male;1=Female;2=Other;) Greek(0=No;1=Yes;) Home_Town(0=Small_Town;1=Medium_City;2=Big_City_Suburb;3=Big_City;) Ethnicity(0=White;1=Black;2=Hispanic;3=Asian;4=Mixed;5=Other;) Religion(0=Christian;1=Jewish;2=Muslim;3=Hindu;4=Buddhist;5=Other_Religion;6=Agnostic;7=Atheist;) Religious ACT GPA Party_Hours_per_week Drinks_per_week Num._Sex_Partners Num._Relationships First_Kiss_Age(26=still_waiting;) Fav._Life_Period(0=Kindergarten;1=lower_grades;2=middle_school;3=High_School;4=College;) Hours_call_parents Social_media(10=V10_or_more;) Texts Good_or_Well Parent_Relationship Work_Hours_per_week Percent_Parents_pay_tuition Career(0=No_Idea;1=Some_Idea;2=Nervous;3=Concrete_plan;4=Grad_School;5=Other;) 
 1 1 0 1 3 5 7 27 3.7 1 5 0 0 17 4 7 2 5 5 7 0 100 4 
 1 1 1 2 0 0 6 25 3.4 4 10 4 2 13 4 3 9 5 5 10 0 70 1 
 1 1 0 2 0 0 6 27 3.6 5 2 0 0 17 3 7 3 4 7 10 0 100 1 
 0 0 1 2 0 0 5 29 3 25 15 1 0 18 4 2 3 8 4 7 0 80 1 
 1 1 0 0 0 0 7 25 4 6 2 1 1 16 3 2 3 10 4 10 0 100 2 
 1 1 0 3 2 5 7 27 3.2 0 1 2 2 14 3 2 6 3 6 8 0 30 4 
 0 0 0 2 0 6 5 35 1.7 3 3 1 1 13 4 0 0 4 2 7 15 90 2 
 1 1 0 2 0 0 7 30 4 15 15 2 1 14 3 6 6 5 7 9 0 80 4 
 1 1 0 3 2 0 5 23 2.7 3 1 0 3 15 2 14 2 3 5 10 0 0 4 
 0 0 0 1 0 6 3 27 2.7 3 7 1 2 14 0 5 4 4 3 4 15 0 2 
 1 1 0 2 0 0 2 26 4 3 3 0 0 14 3 5 10 7 5 10 0 90 1 
 1 1 1 2 0 0 7 28 3.8 8 6 1 1 15 4 3 7 5 3 10 10 80 2 
 1 1 0 3 0 0 7 32 3.8 0 0 0 0 26 4 7 3 4 2 10 0 100 4 
 1 1 0 2 1 6 3 21 3.4 4 0 0 0 17 4 2 10 10 10 8 0 10 1 
 1 1 0 2 3 3 7 24 3.3 4 2 0 0 18 3 3 4 3 6 9 0 70 2 
 1 1 0 2 3 0 10 24 3.1 0 0 0 0 26 4 1 2 5 0 5 0 100 2 
 0 0 0 2 0 1 4 26 3.6 8 4 0 0 18 3 3 1 3 9 8 0 100 1 
 1 1 1 0 0 0 2 31 4 10 15 2 1 15 4 4 5 10 3 9 0 100 1 
 0 0 0 2 3 6 0 23 3.2 5 15 2 2 17 1 0 3 5 10 9 0 90 0 
 1 1 0 0 3 0 5 24 3 12 8 1 0 18 4 0 10 4 5 10 0 100 2 
 1 1 0 3 4 7 0 33 3.8 3 6 4 1 16 4 3 3 10 7 9 0 100 4 
 1 1 0 1 0 6 0 29 3.7 2 3 2 2 14 4 0 3 8 10 6 10 0 2 
 1 1 0 2 0 0 8 30 1.9 7 5 2 1 17 3 4 1 9 6 5 0 40 4 
 1 1 0 2 0 0 1 28 3.8 0 0 1 1 13 1 4 4 3 5 9 10 100 2 
 0 0 0 2 0 0 3 27 3 12 14 0 0 26 4 1 0 5 5 9 0 0 4 
 1 1 0 3 3 0 7 28 3.2 4 3 0 0 26 1 3 4 23 5 8 0 100 2 
 0 0 0 0 0 0 5 28 3.5 6 10 1 1 14 4 3 1 5 6 8 0 40 2 
 0 0 0 2 0 0 6 32 3.6 6 10 1 1 14 3 2 2 5 6 9 0 90 4 
 0 0 0 1 4 0 5 30 3.9 5 0 0 0 17 1 15 1 1 5 6 0 100 2 
 1 1 1 0 0 0 6 23 3.6 6 4 1 1 16 4 4 4 3 9 5 10 40 3 
 0 0 0 0 0 7 0 29 3 8 20 1 1 16 4 1 1 7 2 3 10 10 3 
 1 1 0 1 3 0 5 27 4 5 0 0 2 15 2 7 3 5 4 6 0 100 4 
 1 1 0 1 0 0 7 27 4 7 15 1 2 15 3 2 2 17 3 10 0 60 2 
 0 0 1 2 0 7 0 32 3.4 2 6 4 1 12 3 2 5 5 3 8 0 100 4 
 0 0 1 2 0 7 0 32 3.7 20 25 1 1 13 4 1 2 5 10 5 30 100 4 
 1 1 0 2 0 0 4 27 4 11 20 1 1 14 4 3 8 10 6 8 0 100 1 
 1 1 1 2 0 1 4 30 3.4 7 10 1 1 15 3 9 4 8 8 10 5 0 1 
 0 0 0 2 3 0 7 28 3.5 0 0 0 0 26 4 1 3 3 4 10 5 10 1 
 1 1 0 3 3 0 3 32 4 1 1 1 1 17 4 3 10 4 10 4 0 100 2 
 1 1 0 2 0 2 9 30 4 0 0 0 0 26 4 2 2 7 0 10 0 10 4 
 1 1 0 3 1 0 9 20 3.5 1 0 0 2 18 2 8 1 5 8 10 0 20 4 
 1 1 0 2 1 6 3 24 4 10 0 5 2 18 4 2 2 5 7 2 0 10 4 
 1 1 0 2 0 1 2 29 4 12 20 2 1 13 3 1 1 10 9 3 0 70 2 
 0 0 1 0 4 0 0 22 3.1 11 10 11 4 14 4 0 1 5 10 8 0 0 2 
 1 1 0 2 4 0 5 31 3.6 0 0 1 2 16 0 7 3 4 5 10 0 100 1 
 1 1 1 1 3 0 2 26 3.3 10 10 2 1 14 3 3 3 3 0 10 0 100 2 
 0 0 0 2 0 5 10 33 4 14 14 4 3 15 3 14 1 8 5 10 0 50 0 
 0 0 0 2 0 1 7 33 2.9 0 0 0 0 20 3 1 6 1 0 8 0 0 2 
 1 1 0 1 1 0 5 21 3.7 5 9 0 0 17 4 1 2 2 10 10 0 10 4 
 1 1 1 2 0 0 8 26 3.5 6 10 3 3 13 3 7 2 7 3 7 20 90 4 
 1 1 0 0 0 0 7 30 3.9 5 5 0 0 18 4 3 2 10 8 9 0 80 2 
 1 1 0 1 0 0 2 27 3 14 14 2 1 16 4 5 3 5 5 9 0 100 2 
 1 1 0 1 0 0 1 25 4 5 4 1 1 17 3 5 2 5 4 8 0 90 2 
 1 1 1 1 3 0 9 30 3.5 0 0 0 0 26 0 2 1 5 5 9 5 90 4 
 0 0 0 1 0 0 6 27 3.7 14 18 4 0 16 4 5 1 3 9 9 5 90 3 
 0 0 0 0 0 6 0 31 2.6 0 0 0 0 26 3 4 2 4 7 10 10 40 2 
 1 1 0 1 1 0 8 27 2.1 7 6 3 1 15 4 0 1 3 3 6 0 0 2 
 1 1 0 2 3 7 0 24 2.9 0 0 0 0 26 2 5 4 1 10 10 0 100 1 
 1 1 0 2 0 0 6 26 4 5 2 0 2 16 3 5 1 15 10 4 0 80 4 
