"year","month","T_ave"
1990,1,38.4225806451613
1990,2,37.725
1990,3,45.6548387096774
1990,4,51.1433333333333
1990,5,59.2225806451613
1990,6,70.7733333333333
1990,7,72.1903225806452
1990,8,71.0451612903226
1990,9,66.6066666666667
1990,10,52.9774193548387
1990,11,46.8833333333333
1990,12,30.3064516129032
1991,1,24.4032258064516
1991,2,33.8142857142857
1991,3,43.0903225806452
1991,4,56.1033333333333
1991,5,68.5451612903226
1991,6,76.2333333333333
1991,7,76.6548387096774
1991,8,75.4290322580645
1991,9,67.2233333333333
1991,10,56.2548387096774
1991,11,37.8466666666667
1991,12,33.6451612903226
1992,1,30.5322580645161
1992,2,36.4931034482759
1992,3,42.2032258064516
1992,4,50.6533333333333
1992,5,61.7064516129032
1992,6,69.5766666666667
1992,7,71.5322580645161
1992,8,68.8193548387097
1992,9,64.79
1992,10,54.7161290322581
1992,11,41.7866666666667
1992,12,32.2612903225806
1993,1,29.2451612903226
1993,2,26.8178571428571
1993,3,37.3967741935484
1993,4,49.74
1993,5,62.9838709677419
1993,6,70.1433333333333
1993,7,74.3483870967742
1993,8,73.1677419354839
1993,9,61.6933333333333
1993,10,51.8645161290323
1993,11,39.8166666666667
1993,12,30.7548387096774
1994,1,19.4064516129032
1994,2,26.1714285714286
1994,3,40.258064516129
1994,4,52.1
1994,5,61.2096774193548
1994,6,75.0933333333333
1994,7,74.6290322580645
1994,8,71.1806451612903
1994,9,66.3466666666667
1994,10,57.1322580645161
1994,11,49.0066666666667
1994,12,38.5161290322581
1995,1,28.6870967741935
1995,2,31.0607142857143
1995,3,44.6677419354839
1995,4,51.0566666666667
1995,5,60.6225806451613
1995,6,72.65
1995,7,76.8096774193548
1995,8,78
1995,9,63.59
1995,10,54.4806451612903
1995,11,37.1933333333333
1995,12,31.2870967741935
1996,1,23.2806451612903
1996,2,29.7862068965517
1996,3,34.4516129032258
1996,4,49.04
1996,5,62.3741935483871
1996,6,73.7766666666667
1996,7,74.7161290322581
1996,8,75.3354838709677
1996,9,66.6333333333333
1996,10,57.0387096774194
1996,11,36.83
1996,12,31.3225806451613
1997,1,21.2096774193548
1997,2,33.7071428571429
1997,3,42.2354838709677
1997,4,47.79
1997,5,57.2129032258064
1997,6,69.52
1997,7,73.4612903225807
1997,8,69.2483870967742
1997,9,64.5933333333333
1997,10,53.3741935483871
1997,11,37.7066666666667
1997,12,31.0258064516129
1998,1,32.2096774193548
1998,2,38.4714285714286
1998,3,39.0387096774194
1998,4,51.4133333333333
1998,5,66.6193548387097
1998,6,70.5166666666667
1998,7,74.7451612903226
1998,8,74.7161290322581
1998,9,71.2633333333333
1998,10,55.7612903225806
1998,11,44.04
1998,12,33.7354838709677
1999,1,24.0677419354839
1999,2,35.4464285714286
1999,3,37.1870967741935
1999,4,53.2566666666667
1999,5,64.5483870967742
1999,6,71.76
1999,7,78.3193548387097
1999,8,71.1258064516129
1999,9,65.64
1999,10,53.1225806451613
1999,11,46.72
1999,12,31.258064516129
2000,1,24.8903225806452
2000,2,35.7413793103448
2000,3,44.4354838709677
2000,4,50.9233333333333
2000,5,64.2612903225806
2000,6,69.8533333333333
2000,7,72.8483870967742
2000,8,73.341935483871
2000,9,65.0466666666667
2000,10,56.2774193548387
2000,11,36.6666666666667
2000,12,16.1483870967742
2001,1,24.6741935483871
2001,2,29.7321428571429
2001,3,35.5870967741935
2001,4,57.3633333333333
2001,5,63.6677419354839
2001,6,70.1433333333333
2001,7,75.1806451612903
2001,8,74.0096774193548
2001,9,64.2966666666667
2001,10,53.141935483871
2001,11,49
2001,12,35.7387096774194
2002,1,34.0483870967742
2002,2,33.9214285714286
2002,3,37.0612903225806
2002,4,52.7633333333333
2002,5,58.8290322580645
2002,6,73.5466666666667
2002,7,78.1258064516129
2002,8,74.2516129032258
2002,9,69.4033333333333
2002,10,52.0193548387097
2002,11,39.9233333333333
2002,12,32.3967741935484
2003,1,22.9064516129032
2003,2,26.6535714285714
2003,3,42.7290322580645
2003,4,54.47
2003,5,61.4225806451613
2003,6,68.1533333333333
2003,7,74.3709677419355
2003,8,74.3516129032258
2003,9,63.81
2003,10,54.6096774193548
2003,11,45.7866666666667
2003,12,33.9838709677419
2004,1,25
2004,2,30.9172413793103
2004,3,44.558064516129
2004,4,54.7933333333333
2004,5,65.9677419354839
2004,6,70.2366666666667
2004,7,72.3387096774194
2004,8,68.6387096774194
2004,9,68.1866666666667
2004,10,55.2516129032258
2004,11,45.7466666666667
2004,12,32.4774193548387
2005,1,28.9161290322581
2005,2,35.2857142857143
2005,3,38.9709677419355
2005,4,55.3233333333333
2005,5,62.5483870967742
2005,6,76.0966666666667
2005,7,76.9096774193548
2005,8,76.4
2005,9,71.07
2005,10,56.0516129032258
2005,11,44.4333333333333
2005,12,25.9322580645161
2006,1,38.2645161290323
2006,2,31.7428571428571
2006,3,42.1451612903226
2006,4,57.28
2006,5,62.7870967741936
2006,6,72.4533333333333
2006,7,77.8064516129032
2006,8,74.9806451612903
2006,9,64.4666666666667
2006,10,52.1258064516129
2006,11,44.3866666666667
2006,12,36.8806451612903
2007,1,31.2161290322581
2007,2,20.7107142857143
2007,3,48.7612903225806
2007,4,51.4233333333333
2007,5,69.2612903225806
2007,6,74.8133333333333
2007,7,74.3354838709677
2007,8,77.8258064516129
2007,9,70.4133333333333
