"Final","HW","Exams","Bonus","y"
73,83.57,80.83333,30,0
98,99.72,100,99.07,1
56,89.8,78.66667,88.64,0
86.5,97.45,88,93.18,0
91,92.61,93.33333,40.21,1
88,96.13,88,96.17,0
89,64.34,90.33333,70,0
75,91.27,93.66667,91.37,0
85,95.59,92,70,0
89,94.66,91.83333,94.92,1
75,89.47,84.66667,88.76,0
84,96.73,87,87,0
96,97.88,94.33333,86.67,1
85.5,90.33,96.33333,80,1
84,91.58,86.16667,80,0
92.5,96.43,91.33333,96.52,1
98,98.92,97.33333,94.55,1
93.5,96.24,90.66667,88.33,1
89,98.13,97.33333,96.68,1
77,98.33,94.66667,88.33,0
92.5,99.09,99.33333,98.06,1
92,98.45,98.66667,48.26,1
88,90.29,92.66667,64.64,0
90,97.18,95.66667,35.28,1
56,55.45,76.16667,80,0
87,97.25,95.83333,96.28,1
96,98.26,98.66667,47.64,1
87,91.51,88.66667,90,0
72,90.86,95,70,0
90,91.18,95,30,1
88,92.31,90,80,0
69,73.33,75.16667,31.67,0
96,97.12,96.66667,97.89,1
98,98.61,99.33333,69.33,1
53.5,95.1,92.66667,78.25,0
93,94.66,92.33333,85.96,1
93,97.78,91,96.12,1
96,99.46,96,98.75,1
91.5,92.43,90,92.9,0
88,96.49,93.66667,88.12,1
100,99.38,99.83333,97.56,1
87,93.43,86,91.78,0
96,96.12,97.33333,97,1
88.5,93.28,94,37.05,1
96,97.54,99,78.89,1
66,92.37,90.33333,20,0
62,0,81.5,0,0
76.5,97.45,90.66667,88.75,0
96,86.48,95.66667,80,1
89,96.92,96.83333,86.46,1
90,99.39,95,98.47,1
96,97.58,94.33333,28,1
95,93.82,93.66667,94.65,1
96,99.13,93,98.47,1
89,94.82,95.83333,28.18,1
83,95.59,86.66667,89.7,0
72,37.83,76.5,20,0
90,84.77,87,0,0
84,95.97,91.83333,95.28,0
97,99.47,94.5,47.8,1
89,96.07,95,96.31,1
79.5,96.42,92.5,84.29,0
96,99.51,100.66667,88.92,1
92,98.99,96.66667,96.02,1
89,98.09,97,80,1
81,98.79,90,88.89,0
84,93.09,88.16667,80,0
97,99.71,97.33333,88.26,1
91,98.38,91.83333,85.45,1
89,98.96,94.66667,97.91,1
94,98.46,94.66667,37.52,1
85,91.67,90.66667,70,0
65.5,82.42,64.83333,80.91,0
90,71.8,97,70,1
83,77.32,94.66667,70,0
98,98.92,98.66667,30,1
94,96.66,94.83333,93.33,1
75,69.7,80.33333,70,0
96,98.38,99,36.25,1
89,99.26,93.66667,35.45,1
98,96.63,97.66667,89.24,1
93,97.93,95.33333,85,1
93,98.54,97.83333,98.42,1
93.5,94.85,95,91.21,1
68,95.67,95.33333,86.67,0
99,98.38,98.66667,96.31,1
94,98.83,96.33333,60,1
60,54.87,76,30,0
92,83.83,92.66667,0,0
97,92.47,96.5,20,1
89,98.44,93.66667,94.31,1
