"Final","HW","Exams","Bonus","y"
89.5,87.78,85.66667,91.36667,0
97,98.36,94,93,1
68.5,96.71,80.33333,92.125,0
83,83.82,80,85.18333,0
91,83.25,91.33333,79,0
69,84.55,72.33333,79,0
64,87.66,67.33333,15.875,0
95,96.98,92,79.93333,1
78.5,87.78,76,79,0
85.5,88.19,86.66667,65,0
93.5,97.93,91.33333,75.03333,1
87,95.98,89.33333,79,0
77,79.01,88.16667,65,0
84,83.77,83.5,22,0
63.5,93.83,73.66667,77.83333,0
88.5,96.86,93.66667,79,1
96.5,98.62,98,29,1
93,95.42,95.66667,15,1
74,93.37,84.5,99.53333,0
75,91.53,85.83333,79,0
94.5,100,86,99.125,1
77,76.16,87.33333,29,0
90.5,99.26,94.66667,79,1
91.5,97.03,85,72,0
59.5,94.04,67,86,0
91,98.62,95.33333,100,1
87.5,98.61,97.16667,99.53333,1
95.5,99.89,97,22,1
82,93.64,76.16667,72,0
83.5,95.32,83.83333,76.66667,0
77.5,83.7,85.33333,58,0
57,76.46,52.66667,88.625,0
85,96.81,93.33333,8,0
98,99.3,97.66667,98.65833,1
95,96.98,93.33333,29,1
88,63.6,86.16667,33.08333,0
78,92.15,89.83333,65,0
71,76.59,88,65,0
98,95.05,95.33333,84.36667,1
93.5,94.7,95.66667,76.66667,1
94,93.89,86.66667,58,0
98,91.44,97.66667,29,1
66.5,86.3,75.83333,22,0
71.5,77.82,82,65,0
98,98.08,97.66667,72,1
83,87.7,81.83333,65,0
92,97.58,94,79,1
89,93.87,92.83333,22,1
75,67.77,75.5,72,0
93.5,96.46,97,98.83333,1
89,94.7,89.33333,66.75,0
98,98.84,100,79,1
92.5,96.54,94,99.53333,1
73,94.77,85.66667,65,0
57,86.67,65.83333,79,0
95,97.1,90,15,1
78,81.96,86.66667,27.13333,0
82,94.89,88.66667,79,0
94,97.03,92,72,1
90,97.17,89.66667,49.53333,0
85.5,97.65,89.16667,1,0
95,97.44,91.66667,72,1
81,96.54,82.5,84.83333,0
87,84.45,92.5,35.53333,0
92,95.61,93,88.625,1
85.5,99.84,89.33333,79,0
86.5,95.96,85.83333,79,0
80,52.47,83.33333,1,0
88,89.85,77,98.65833,0
81.5,77.8,86.16667,83.95833,0
93,97.48,95.66667,79,1
93,97.89,96,66.86667,1
90,92.08,90.16667,96.26667,1
94,99.06,96,79,1
79,98.57,90.33333,72,0
93,96.18,94.5,15,1
97,94.58,96.66667,43,1
91,71.43,88.66667,72,0
89.5,89.58,85.33333,92.125,0
96,95.92,96,72,1
95,99.29,93.16667,100,1
80,94.46,84.33333,79,0
86.5,98.48,91,100,1
98,98.14,99,72,1
99,99,96.83333,99.53333,1
97,99.89,97.66667,91.83333,1
84,97.02,88.66667,79,0
95,98.57,93.16667,93,1
89,94.27,96,86,1
94,98.79,93.66667,100,1
91,98.12,84.66667,98.83333,0
66,53.56,74,58,0
97,98.88,96,72,1
92,97.74,97.33333,99.53333,1
82,87.24,80,91.65833,0
99.5,99.79,99.66667,86,1
91.5,95.26,94.83333,93,1
52.5,71.91,69.83333,65,0
87,96.54,90.33333,65,0
91,82.48,92,92.53333,1
69,93.21,80.5,87.98333,0
93,99.19,96.33333,99.06667,1
88,97.27,88.5,99.125,0
90,99.51,82.83333,100,0
87.5,93.07,93.66667,97.9,1
92.5,95.66,90,87.75,1
95,97.25,90.66667,79,1
98,98.42,90.16667,29.93333,1
58,35.48,60.66667,76.66667,0
95,94.97,90.33333,29,1
94,99.3,89.33333,86,1
94.5,99.89,90,86,1
88,97.01,95,72,1
93,98.13,93.66667,90.95833,1
87,95.37,80,74.33333,0
74.5,87.05,88.83333,71.125,0
89.5,92.31,91.66667,36.29167,0
91,96.95,93,97.95833,1
91,97.44,93,72,1
89,97.28,87.5,72,0
91.5,96.32,92,72,1
89,97.72,93.16667,58,1
88,79.09,82.33333,22,0
82,91.47,83.5,100,0
87,90.8,91.66667,97.2,1
95.5,96.97,94,26.95833,1
92.5,93.62,92,65,1
92,85.4,91,51,0
90.5,95.76,90.66667,65,1
87,90.45,91.33333,29,0
85.5,73.82,80.33333,15,0
80,90.74,81.33333,72,0
79.5,80.85,92.16667,86,0
91.5,89.46,87.66667,86,0
69.5,83.08,82,72,0
86.5,97.48,90,51,0
92.5,87.21,93.33333,42.53333,1
93,97.98,92.5,49.53333,1
85.5,99.37,98.33333,72,1
99,97.03,99.66667,36,1
79,97.63,90.83333,90.78333,0
77,96.08,85.16667,92.125,0
94,95.42,94.16667,100,1
98,99,97.66667,72,1
90,98.92,93.33333,72,1
96.5,97.61,99.66667,29,1
85,82.09,87.83333,72,0
87.5,94.81,92.66667,99.53333,1
90.5,93.61,91.33333,65,1
81,90.46,83.16667,81.91667,0
93,86.6,86.66667,15,0
91,95.34,97.33333,79.93333,1
87.5,93.12,86.83333,99.53333,0
98,99.15,98.33333,99.53333,1
92,98.35,96.33333,99.53333,1
78,92.12,84.16667,79,0
91,39.85,85.16667,51,0
99,99.84,99.33333,100,1
96.5,99.46,97.83333,92.06667,1
94,77.87,91,58,0
95.5,91.47,99.33333,65,1
84,96.48,96.5,65,1
78,94.62,93,90.025,0
88.5,91.7,88,100,0
91,92.59,89.83333,58,0
99,99.35,99,72,1
76.5,94.76,89.33333,100,0
80,97.29,85.83333,98.83333,0
93,98.32,95.66667,100,1
