# Global monthly average lower troposphere temperature since 1979 according to Remote Sensing Systems (RSS). 
# The data are obtained by the National Oceanographic and Atmospheric Administration (NOAA) TIROS-N satellite, 
# and interpreted by Dr. Carl Mears (RSS). 
# Temperature anomaly is in degress Celsius
# Downloaded from http://data.remss.com/msu/monthly_time_series/RSS_Monthly_MSU_AMSU_Channel_TLT_Anomalies_Land_and_Ocean_v03_3.txt
"year","month","T_anomaly"
1979,1,-0.223
1979,2,-0.122
1979,3,-0.135
1979,4,-0.261
1979,5,-0.222
1979,6,-0.196
1979,7,-0.042
1979,8,-0.156
1979,9,-0.006
1979,10,0.133
1979,11,0.037
1979,12,0.059
1980,1,0.01
1980,2,0.087
1980,3,-0.04
1980,4,0.037
1980,5,0.094
1980,6,0.136
1980,7,-0.01
1980,8,0.018
1980,9,0.05
1980,10,0.047
1980,11,-0.166
1980,12,-0.082
1981,1,0.198
1981,2,0.202
1981,3,-0.029
1981,4,0.078
1981,5,0.008
1981,6,-0.061
1981,7,-0.031
1981,8,0
1981,9,-0.088
1981,10,-0.102
1981,11,0.002
1981,12,0.085
1982,1,-0.141
1982,2,-0.099
1982,3,-0.166
1982,4,-0.115
1982,5,-0.228
1982,6,-0.167
1982,7,-0.318
1982,8,-0.226
1982,9,-0.122
1982,10,-0.257
1982,11,-0.178
1982,12,-0.053
1983,1,0.186
1983,2,0.043
1983,3,0.272
1983,4,0.152
1983,5,0.111
1983,6,-0.094
1983,7,0.153
1983,8,0.105
1983,9,0.021
1983,10,-0.025
1983,11,0.08
1983,12,-0.216
1984,1,-0.266
1984,2,-0.139
1984,3,-0.153
1984,4,-0.225
1984,5,-0.093
1984,6,-0.206
1984,7,-0.197
1984,8,-0.166
1984,9,-0.457
1984,10,-0.146
1984,11,-0.273
1984,12,-0.37
1985,1,-0.252
1985,2,-0.275
1985,3,-0.278
1985,4,-0.319
1985,5,-0.328
1985,6,-0.334
1985,7,-0.357
1985,8,-0.198
1985,9,-0.195
1985,10,-0.289
1985,11,-0.15
1985,12,-0.152
1986,1,-0.032
1986,2,-0.238
1986,3,-0.162
1986,4,-0.054
1986,5,-0.095
1986,6,-0.157
1986,7,-0.201
1986,8,-0.18
1986,9,-0.184
1986,10,-0.247
1986,11,-0.101
1986,12,-0.022
1987,1,0.132
1987,2,0.147
1987,3,-0.136
1987,4,0.137
1987,5,-0.014
1987,6,0.121
1987,7,0.063
1987,8,0.031
1987,9,0.022
1987,10,0.151
1987,11,0.181
1987,12,0.351
1988,1,0.224
1988,2,-0.035
1988,3,0.197
1988,4,0.085
1988,5,0.11
1988,6,0.084
1988,7,0.183
1988,8,0.037
1988,9,0.228
1988,10,-0.053
1988,11,-0.103
1988,12,-0.159
1989,1,-0.296
1989,2,-0.195
1989,3,-0.266
1989,4,-0.132
1989,5,-0.143
1989,6,-0.152
1989,7,-0.068
1989,8,-0.1
1989,9,0.021
1989,10,-0.036
1989,11,-0.064
1989,12,-0.004
1990,1,-0.084
1990,2,-0.127
1990,3,0.215
