"gender","Greek","hometown","ethnicity","vote","vote_party","vote_pres_08","VP","vote_mother","vote_father","gay_marriage_rate","abortion","politics_self","religion_self","party","drink","ACT","GPA"
"male","yes","medium sized city","White",10,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",7,3,3,7,7,5,24,3.9
"female","yes","big city suburb","White",7,"Democrat","Undecided",7,"don't know","don't know",1,1,5,1,12,18,28,3.8
"female","no","big city suburb","White",9,"Democrat","Barak Obama/Joe Biden",5,"yes","no",1,3,2,2,8,12,29,3.7
"male","no","small town","White",10,"Democrat","Undecided",6,"don't know","don't know",8,10,7,6,12,12,28,2.6
"female","yes","big city suburb","White",7,"Democrat","Barak Obama/Joe Biden",6,"yes","no",1,3,4,8,3,0,25,3.8
"female","no","big city suburb","White",7,"Other","Undecided",5,"no","no",1,1,5,5,15,12,28,3.7
"female","no","big city suburb","Asian",1,"Other","Barak Obama/Joe Biden",1,"don't know","don't know",5,8,5,6,14,2,24,2.4
"female","no","big city","Black/African American",10,"Democrat","Barak Obama/Joe Biden",10,"yes","yes",10,10,1,7,6,6,23,1.8
"female","no","big city suburb","Asian",8,"Democrat","Barak Obama/Joe Biden",6,"yes","yes",7,4,3,6,12,14,30,3.3
"female","no","big city suburb","Black/African American",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",3,2,1,4,2,0,28,3.1
"female","no","medium sized city","White",8,"Other","Undecided",5,"don't know","don't know",5,8,5,5,0,0,30,3.6
"female","no","big city suburb","Black/African American",10,"Democrat","Barak Obama/Joe Biden",2,"yes","yes",2,3,2,5,1,0,28,3.4
"female","no","big city","Black/African American",10,"Democrat","Barak Obama/Joe Biden",3,"yes","yes",5,1,5,8,4,1,24,3
"female","yes","big city suburb","Asian",10,"Democrat","Barak Obama/Joe Biden",6,"yes","yes",1,1,1,1,2,0,24,3.2
"male","no","big city suburb","White",5,"Other","Undecided",8,"don't know","don't know",1,5,3,1,2,1,29,3.5
"female","yes","big city suburb","White",9,"Democrat","Barak Obama/Joe Biden",8,"yes","yes",1,4,7,5,15,10,29,3.7
"female","no","big city suburb","Asian",1,"Democrat","Won't vote",5,"don't know","don't know",5,10,7,8,1,1,27,3
"female","no","big city","Other",9,"Democrat","Barak Obama/Joe Biden",8,"no","no",1,2,1,1,28,40,29,3.4
"female","no","small town","White",8,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",3,10,3,8,15,27,25,3.8
"male","no","small town","Asian",1,"Democrat","Won't vote",5,"yes","don't know",3,5,10,1,0,0,33,3.8
"female","no","small town","White",10,"Republican","John McCain/Sarah Palin",3,"yes","yes",10,10,7,8,6,7,27,3.6
"female","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",8,"yes","no",10,1,1,1,6,4,34,3.7
"female","no","medium sized city","Hispanic/Latino",7,"Democrat","Barak Obama/Joe Biden",2,"don't know","don't know",1,1,3,5,8,6,31,3.9
"male","no","small town","White",10,"Democrat","Barak Obama/Joe Biden",2,"yes","yes",1,1,3,5,0,0,33,3.5
"female","no","medium sized city","Black/African American",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",10,1,5,8,6,2,21,2
"female","yes","small town","White",8,"Republican","John McCain/Sarah Palin",3,"yes","yes",10,10,7,7,10,10,28,3.7
"female","no","medium sized city","White",10,"Democrat","Barak Obama/Joe Biden",8,"yes","no",1,5,4,6,6,8,26,3.3
"male","yes","big city suburb","White",5,"Democrat","Barak Obama/Joe Biden",2,"yes","yes",8,4,2,3,12,36,27,3.1
"female","no","small town","White",8,"Democrat","Barak Obama/Joe Biden",6,"yes","no",1,4,4,1,10,0,31,3.7
"male","yes","big city","Hispanic/Latino",5,"Other","Undecided",4,"no","yes",1,1,1,8,5,4,22,2.5
"female","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",1,3,3,4,20,15,27,3.3
"female","no","big city suburb","White",9,"Democrat","Barak Obama/Joe Biden",3,"no","no",4,5,4,7,4,7,28,3.9
"female","yes","small town","White",5,"Republican","Undecided",7,"yes","yes",1,10,6,8,15,20,26,3.9
"female","no","medium sized city","White",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",1,9,5,5,8,8,31,3.2
"male","no","big city suburb","Black/African American",7,"Democrat","Undecided",5,"yes","yes",5,5,7,5,9,9,22,3
"female","no","medium sized city","Other",10,"Other","Barak Obama/Joe Biden",7,"yes","yes",1,3,3,3,2,1,27,3.9
"female","no","big city suburb","White",4,"Republican","John McCain/Sarah Palin",5,"yes","yes",1,9,7,1,3,10,31,3.3
"female","yes","medium sized city","White",9,"Democrat","Barak Obama/Joe Biden",6,"no","yes",1,5,3,7,20,18,32,3.2
"female","yes","big city suburb","White",8,"Other","Barak Obama/Joe Biden",7,"yes","yes",1,1,3,4,12,10,26,3
"female","no","big city suburb","White",7,"Democrat","Barak Obama/Joe Biden",4,"yes","yes",3,3,3,2,4,2,28,2.5
"male","no","big city","Hispanic/Latino",3,"Other","Won't vote",7,"don't know","don't know",6,6,7,3,20,30,27,3.4
"female","no","big city","White",10,"Democrat","Barak Obama/Joe Biden",1,"don't know","yes",3,7,4,7,12,22,21,3.8
"female","no","medium sized city","White",9,"Other","Barak Obama/Joe Biden",1,"yes","no",4,7,4,8,3,4,30,3.7
"female","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",5,"don't know","no",1,1,3,2,5,7,29,3.4
"female","yes","big city suburb","White",9,"Other","Barak Obama/Joe Biden",1,"no","no",1,3,4,4,17,24,28,3.7
