"gender","Age","height","weight","Pets","Speed","Cash","Sleep","Shoes","Charity","Cheat","Greek","Handed","Soulmate"
"male",19,70,220,4,80,1,8,5,50,10,"no","right","one"
"female",19,66,130,2,88,0,7,28,60,2,"no","right","few"
"male",19,70,175,1,100,26,6.5,8,30,0,"yes","right","few"
"female",22,66,160,0,98,0,7,62,65,1,"no","right","one"
"female",18,62,100,1,70,40,7,15,20,2,"no","right","few"
"female",20,67,90,1,90,50,8,40,20,2,"no","right","thousands"
"male",19,71,170,2,100,1000,8.5,3,5,5,"no","right","millions"
"male",21,76,298,18,116,0,6,4,30,10,"no","right","millions"
"female",19,67,137,2,100,45,8,14,60,0,"yes","right","few"
"female",20,69,121,0,85,0,6.5,9,80,0,"no","right","few"
"female",20,63,155,0,50,10,6.5,30,50,10,"no","right","one"
"female",19,64,137,3,80,4,6,29,60,0,"no","right","one"
"female",19,67,116,2,70,50,7.5,10,50,5,"no","right","dozens"
"female",19,62,112,10,80,50,7.5,20,70,1,"no","right","few"
"male",19,70,147,1,106,7,7,5,50,3,"no","right","few"
"female",19,68,130,1,80,30,7,50,75,0,"yes","right","dozens"
"female",21,64,134,1,87,3,7,17,85,0,"no","right","few"
"female",20,67,137,1,0,48,6,30,50,10,"no","right","few"
"male",19,66,122,0,117,30,7.5,10,30,1,"no","right","few"
"male",19,70,157,0,100,2,7.5,8,30,0,"yes","left","dozens"
"female",22,66,130,3,90,90,6,9,50,1,"no","right","few"
"female",20,62,113,10,95,26,7,38,50,2,"no","right","few"
"female",20,66,97,3,80,6,7,8,60,1,"no","left","few"
"male",22,75,195,1,102,46,7.5,3,10,0,"yes","right","few"
"female",21,71,157,2,121,200,7.5,10,50,3,"yes","right","few"
"female",20,62,141,12,100,15,9,25,45,6,"no","right","few"
"female",19,64,168,4,45,25,7,11,100,2,"no","right","few"
"female",19,67,135,3,95,32,7.5,32,35,1,"yes","left","dozens"
"female",21,68,139,6,85,12,6,35,45,1,"no","right","few"
"female",20,64,146,0,102,41,5,13,90,0,"no","right","one"
"female",20,63,152,0,90,50,8,20,90,0,"yes","right","one"
"female",19,66,140,1,85,20,7,30,50,2,"no","right","one"
"male",19,68,135,0,85,40,8,5,25,0,"yes","left","thousands"
"female",19,62,135,0,20,30,7,10,75,10,"no","ambidextrous","one"
"male",19,67,150,3,116,0,5.5,5,5,2,"no","right","dozens"
"female",19,62,116,0,85,70,6,20,50,0,"yes","right","few"
"male",21,73,180,1,100,5,7.5,5,50,10,"no","right","hundreds"
"male",20,66,145,0,95,75,7,7,25,10,"no","right","dozens"
"male",19,66,169,0,98,23,8.5,5,0,1,"no","left","one"
"female",19,67,135,0,85,0,7.5,20,65,0,"no","right","few"
"female",19,66,150,7,95,200,6,30,25,15,"yes","right","millions"
"female",20,67,300,1,95,200,7,7,80,3,"no","right","one"
"female",19,68,130,3,95,0,9,25,85,0,"no","right","few"
"male",19,66,185,1,105,4,8,7,70,2,"no","right","hundreds"
"male",19,70,135,2,120,25,8,8,50,5,"yes","right","hundreds"
"female",19,64,145,1,90,75,7,20,30,7,"no","right","few"
"female",21,70,150,2,80,15,7.5,12,75,0,"no","right","few"
"female",19,64,125,5,85,40,7,60,100,0,"yes","right","few"
"female",19,65,115,3,85,12,6,25,65,10,"yes","right","few"
"female",19,67,135,7,100,60,7,40,90,0,"no","ambidextrous","none"
"female",19,67,171,2,95,20,7.5,17,85,3,"no","left","few"
"female",19,63,135,2,120,83,6,15,100,0,"no","right","few"
"male",21,71,156,2,105,30,7.5,12,45,6,"no","right","one"
"female",19,65,116,2,90,150,6,13,50,8,"no","right","one"
"female",21,63,120,1,88,16,7.5,12,90,10,"no","right","dozens"
"female",21,64,121,5,98,7,8,28,45,1,"yes","left","one"
"male",33,61,96,17,19,18,9,1,80,50,"yes","left","none"
"female",20,66,175,4,95,5,6,70,30,2,"no","right","one"
"female",20,66,130,0,75,8,7.5,40,50,10,"no","right","few"
"female",19,60,113,1,110,18,6.5,20,55,0,"yes","right","few"
"male",19,73,210,2,95,50,8,12,20,1,"yes","right","few"
"female",19,66,140,4,120,0,8,20,45,0,"yes","right","few"
"female",19,73,170,2,84,5,6.5,8,70,0,"no","right","few"
"female",20,62,125,0,80,120,7,20,50,1,"no","right","one"
"female",20,67,135,8,90,3,7,26,45,0,"no","right","none"
"male",20,76,200,8,107,0,7,2,25,0,"yes","right","one"
"male",26,69,180,3,105,0,7,9,20,5,"no","right","dozens"
"female",20,63,138,0,98,43,4,24,50,0,"no","right","few"
"male",19,72,192,0,94,17,9,5,10,0,"no","right","one"
"female",22,62,115,4,90,10,6,17,50,3,"no","right","one"
"female",19,62,132,0,85,0,7,25,30,0,"no","right","few"
"female",19,65,118,6,85,65,7.5,12,40,5,"no","right","few"
"female",19,65,140,2,114,150,5.5,38,15,20,"no","right","few"
"female",19,62,127,0,90,150,7,22,95,2,"no","right","few"
"male",19,70,160,2,85,5,8,6,100,2,"yes","right","few"
"female",18,66,180,2,84,9,7,10,70,2,"no","right","one"
"female",19,60,95,0,70,1,7,6,25,0,"no","left","few"
"female",19,66,160,32,96,0,5.5,27,100,1,"no","right","one"
"female",19,70,194,2,115,200,7,59,10,3,"no","right","hundreds"
"female",19,65,169,4,120,1,6.5,12,25,20,"no","right","few"
"male",17,72,160,0,97,200,6,30,25,5,"no","ambidextrous","one"
"male",19,70,160,2,110,150,7,5,100,3,"no","right","dozens"
"female",19,67,130,3,125,5,5,30,50,0,"no","right","one"
"female",20,64,135,5,85,2,6.5,35,50,10,"yes","right","few"
"female",19,61,98,0,70,4,7,17,90,3,"no","right","dozens"
"female",19,67,170,4,87,27,6,30,75,1,"no","right","one"
"female",20,62,103,1,50,0,6.5,15,50,5,"yes","ambidextrous","few"
"female",19,61,124,1,120,25,8,13,20,5,"no","left","few"
"female",19,70,190,9,82,23,8,24,80,0,"yes","right","dozens"
"female",19,66,145,1,100,150,7,25,25,2,"yes","right","one"
"male",20,73,266,1,50,5,7.5,3,50,10,"no","right","millions"
"female",20,63,130,5,100,30,7,20,50,2,"no","right","few"
"female",19,60,125,0,90,10,6,20,60,5,"no","right","few"
"male",20,66,155,0,100,1,6.5,6,90,5,"no","right","few"
"female",20,60,107,4,85,25,7,13,70,20,"no","right","few"
"female",18,68,145,6,75,50,7.5,11,75,0,"yes","right","dozens"
"female",20,63,125,0,100,15,7,35,25,20,"yes","left","dozens"
"male",20,69,175,1,130,0,4.5,10,100,1,"no","right","few"
