"age","height","weight","pets","speed","cash","sleep","shoeNums","gender","charity","cheat","greek","handed","love"
18,71,147,0,135,30,6,11,"male",90,6,"no","right","one"
19,70,142,0,105,110,9,5,"male",70,3,"no","right","few"
19,69,145,0,98,0,5,39,"female",30,2,"no","right","one"
23,65,110,0,0,100,10,20,"female",45,5,"no","right","few"
20,65,120,1,100,6,6.5,28,"female",50,10,"no","right","one"
19,63,140,3,90,10,7,19,"female",20,2,"no","right","thousands"
20,65,120,0,90,41,6,25,"female",1,15,"yes","ambidextrous","hundreds"
19,72,180,2,106,13,8,8,"male",30,1,"no","right","dozens"
20,65,117,3,95,6,7,40,"female",50,1,"no","right","hundreds"
20,63,110,1,70,39,8,5,"male",80,0,"no","right","few"
18,68,153,2,98,17,8,22,"female",10,0,"no","right","hundreds"
21,60,146,0,106,30,8,33,"female",50,3,"no","right","dozens"
19,64,165,0,80,0,6,15,"female",20,2,"yes","right","few"
19,67,135,1,76,2,7.5,16,"female",50,1,"no","right","few"
19,66,138,0,85,95,7,17,"female",50,4,"no","right","one"
21,56,133,1,75,50,7.5,15,"female",10,10,"yes","left","dozens"
19,70,155,2,85,20,9.5,15,"female",20,3,"no","right","few"
20,68,170,4,88,75,5.5,3,"male",50,10,"yes","right","one"
19,60,96,1,70,5,7.5,11,"female",20,0,"no","right","few"
19,67,124,2,105,150,6.5,35,"female",80,2,"no","right","few"
19,63,115,0,55,25,6,10,"female",20,5,"no","ambidextrous","few"
19,76,268,0,98,60,8,5,"male",0,3,"no","left","few"
18,68,123,3,109,25,3.5,6,"female",50,0,"no","right","none"
19,69,160,1,100,0,6,7,"male",10,10,"no","right","hundreds"
19,67,120,8,84,10,6,28,"female",15,2,"no","ambidextrous","few"
20,67,135,0,110,200,5,5,"female",100,0,"no","left","millions"
19,68,160,0,106,12,7,6,"male",20,3,"no","ambidextrous","few"
19,70,140,0,80,0,7,2,"male",30,30,"no","right","dozens"
18,72,165,0,100,14,8.5,8,"male",75,20,"no","right","dozens"
19,70,140,3,115,44,8,2,"male",0,0,"no","right","millions"
19,69,150,0,115,10,6.5,5,"male",25,4,"no","right","one"
19,67,125,2,100,0,6,10,"female",20,0,"no","right","one"
18,68,155,0,45,0,6,2,"male",1,35,"no","right","few"
19,73,165,1,95,20,8,8,"male",25,2,"yes","right","few"
21,71,230,3,150,26,9,2,"male",10,5,"no","right","millions"
19,74,250,7,120,0,7,6,"male",25,4,"no","right","dozens"
20,63,116,0,77,41,7,30,"female",10,10,"no","left","few"
25,63,146,2,105,2,6,29,"female",10,6,"no","right","millions"
18,63,125,1,87,1,5.5,14,"female",15,2,"yes","right","few"
20,67,145,2,85,23,7.5,22,"female",50,2,"no","left","thousands"
21,70,145,2,92,39,7.5,9,"male",5,0,"no","right","thousands"
19,61,102,0,130,99,5,10,"female",15,1,"no","right","one"
19,63,129,1,80,20,8,70,"female",70,0,"no","right","one"
18,72,142,15,133,44,6.5,3,"male",80,10,"no","left","few"
18,62,105,0,45,20,6,5,"female",20,0,"no","right","one"
21,66,135,0,90,30,8,40,"female",10,2,"no","right","few"
19,74,180,0,95,0,7.5,7,"male",5,0,"no","right","one"
18,75,230,7,85,42,7.5,4,"male",15,0,"yes","right","one"
18,65,117,2,90,0,7,33,"female",50,1,"yes","right","one"
20,75,200,4,125,23,7.5,6,"male",20,0,"no","right","dozens"
18,69,122,0,88,7,8.5,35,"female",60,5,"yes","right","few"
19,68,125,10,110,22,7.5,19,"female",50,2,"yes","right","few"
19,63,125,1,95,0,7.5,40,"female",50,5,"no","right","few"
19,69,165,5,115,10,8,2,"male",5,0,"no","left","hundreds"
18,69,175,5,106,38,7,38,"female",5,4,"yes","right","few"
18,69,127,1,120,110,8.5,2,"male",35,0,"no","right","one"
20,72,200,0,120,0,6,2,"male",50,0,"no","right","hundreds"
19,73,260,4,135,0,6.5,17,"male",40,30,"no","right","one"
18,75,190,6,90,85,8,6,"male",0,0,"yes","left","thousands"
19,69,160,8,115,20,8.5,45,"female",65,3,"no","left","few"
21,70,175,2,120,30,5.5,14,"male",0,25,"no","right","one"
20,65,125,1,120,9,6.5,13,"female",25,1,"no","right","one"
18,66,130,0,81,10,5.5,14,"male",1,1,"no","ambidextrous","one"
19,61,135,0,90,53,7,15,"female",35,3,"no","right","one"
19,70,164,6,86,18,7,12,"male",20,4,"no","left","millions"
18,64,122,3,80,52,10,75,"female",10,3,"yes","right","thousands"
19,62,130,1,90,110,6.5,40,"female",40,0,"yes","right","dozens"
19,67,120,12,95,18,7,10,"female",50,3,"no","right","hundreds"
19,67,135,14,90,130,7,35,"female",25,5,"no","right","hundreds"
20,66,150,0,105,20,6,10,"female",50,5,"no","right","few"
19,66,142,0,80,7,7.5,20,"female",40,0,"yes","right","few"
19,65,100,0,100,500,8,10,"female",15,5,"no","right","one"
19,74,155,2,100,3,6.5,4,"male",25,0,"yes","right","thousands"
18,69,170,0,91,200,8.5,12,"male",25,1,"yes","right","dozens"
21,63,139,2,89,40,8,30,"female",40,2,"no","right","dozens"
50,62,145,0,120,15,8,40,"female",15,5,"no","right","hundreds"
20,65,140,0,90,25,7.5,14,"female",90,2,"yes","left","few"
20,71,175,8,115,100,7,6,"male",30,0,"no","right","few"
19,63,128,2,80,20,7,6,"male",20,6,"yes","right","hundreds"
19,63,133,0,88,38,7,6,"male",15,0,"no","right","dozens"
20,64,117,1,85,20,8,11,"female",100,6,"no","right","millions"
21,64,130,0,80,20,7,15,"female",25,20,"yes","right","one"
18,69,175,1,110,20,7.5,15,"female",15,2,"no","right","hundreds"
20,72,181,0,105,13,7.5,6,"male",5,0,"yes","right","few"
21,74,170,1,120,40,9,5,"male",0,10,"no","right","one"
18,69,146,0,90,47,8,6,"male",30,2,"yes","right","few"
20,63,117,1,80,500,6.5,15,"female",20,2,"no","right","few"
19,69,160,4,100,10,7.5,10,"male",100,1,"yes","right","one"
19,64,120,8,85,10,7,25,"female",30,2,"yes","right","thousands"
21,70,205,5,110,150,7.5,12,"male",15,5,"no","right","few"
19,62,123,2,87,0,5.5,18,"female",100,0,"no","right","dozens"
21,64,130,3,85,30,7.5,30,"female",10,20,"no","right","few"
19,72,160,2,98,16,7,6,"male",40,20,"yes","right","few"
21,66,130,0,80,23,7.5,25,"female",50,1,"yes","ambidextrous","few"
19,67,130,2,70,30,8,25,"female",10,1,"yes","right","few"
18,61,130,1,85,120,8,15,"female",40,1,"yes","right","few"
19,65,150,5,80,40,8,10,"female",20,0,"no","right","dozens"
21,74,210,2,114,11,7,8,"male",10,0,"no","right","few"
19,75,205,3,101,120,7,4,"male",10,5,"no","right","thousands"
18,67,112,3,75,0,8,16,"female",25,1,"no","right","few"
19,66,150,0,90,2,8,27,"female",75,0,"yes","left","few"
18,67,126,10,65,49,6.5,25,"female",10,2,"no","right","one"
20,63,105,3,85,91,7,35,"female",100,0,"yes","right","few"
20,67,110,2,100,25,6,30,"female",75,4,"yes","right","few"
20,66,180,13,120,43,5.5,8,"male",5,2,"no","ambidextrous","hundreds"
21,74,193,43,151,1000,6.5,33,"male",75,0,"no","ambidextrous","hundreds"
19,65,117,10,101,80,6.5,47,"female",70,1,"no","right","few"
19,64,116,2,80,0,7,20,"female",50,0,"yes","right","millions"
19,57,130,1,80,0,5,20,"female",10,0,"yes","right","one"
20,63,115,6,101,10,4.5,25,"female",25,1,"no","right","millions"
18,62,113,6,85,0,7,20,"female",10,0,"yes","right","dozens"
20,66,155,3,103,2,6.5,15,"female",65,5,"no","right","dozens"
