"gender","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","vote","politicalParty","president","workHr","tuition"
"male","no","medium city","Black","Christian",5,21,3.3,1,0,4,10,"yes",0,5,5,3,10,"Democrat","Obama",40,0
"female","yes","big city suburb","White","Atheist",0,29,3.9,6,6,1,1,"no",3,5,9,8,10,"Other","Romney",25,100
"female","no","big city suburb","White","Christian",7,27,3,15,10,5,5,"no",0,7,7,5,10,"Republican","Romney",0,100
"male","no","big city suburb","White","Christian",4,28,3.4,6,10,0,0,"no",2,2,5,5,10,"Democrat","Obama",0,100
"female","no","small town","White","Christian",5,28,3,16,25,10,10,"no",8,8,6,1,6,"Republican","Romney",25,10
"female","yes","big city","White","Christian",1,29,3.3,25,30,5,0,"yes",3,5,3,7,10,"Other","Undecided",5,50
"male","yes","big city","White","Christian",7,24,3.1,40,40,5,2,"no",0,5,10,10,8,"Republican","Undecided",10,50
"female","no","big city suburb","Hispanic","Christian",6,25,2.7,0,0,4,0,"no",8,5,9,0,8,"Democrat","Undecided",5,0
"female","yes","big city suburb","White","Agnostic",3,32,3.4,5,4,1,0,"no",0,8,8,8,10,"Republican","Romney",10,100
"female","no","big city","White","Christian",4,31,3.6,8,5,3,0,"yes",0,3,3,5,8,"Democrat","Obama",10,90
"female","no","big city suburb","White","Christian",10,24,3,2,5,3,0,"no",8,5,5,5,0,"Democrat","Not Voting",0,20
"male","no","small town","Mixed","Christian",5,26,3.8,8,4,1,2,"no",0,5,5,4,6,"Democrat","Not Voting",10,10
"male","yes","big city suburb","White","Christian",6,27,2.9,12,22,1,10,"no",9,8,8,9,10,"Republican","Romney",0,50
"female","no","big city suburb","White","Christian",10,29,3.8,2,0,0,8,"no",10,10,7,0,10,"Republican","Romney",0,0
"female","no","big city suburb","White","Christian",0,26,3.7,4,0,1,0,"no",10,5,1,0,6,"Other","Not Voting",5,0
"female","no","small town","White","Agnostic",0,27,3.5,0,1,0,0,"no",2,3,4,5,7,"Democrat","Obama",10,100
"male","no","big city suburb","White","Christian",7,30,3.1,40,40,4,8,"no",5,9,8,5,7,"Republican","Romney",0,100
"female","no","big city","Black","Christian",6,21,2.6,2,0,3,2,"no",5,5,7,5,10,"Democrat","Obama",15,0
"male","no","big city suburb","White","Christian",6,27,3.3,20,30,1,8,"yes",6,8,8,5,10,"Republican","Romney",0,100
"female","yes","big city suburb","White","Christian",5,29,3.5,12,8,1,0,"no",7,5,5,3,2,"Other","Obama",0,90
"female","yes","small town","White","Christian",9,23,3.6,2,1,3,5,"no",3,10,10,9,10,"Republican","Romney",0,100
"male","yes","medium city","White","Christian",1,28,2.6,16,45,1,0,"no",2,8,8,9,8,"Republican","Romney",0,90
"female","no","medium city","White","Christian",5,30,3.8,0,0,0,0,"no",5,3,5,5,10,"Other","Obama",0,100
"male","no","big city suburb","Asian","Christian",5,23,2.4,5,3,1,5,"no",10,2,7,5,6,"Democrat","Obama",5,80
"female","no","big city suburb","White","Christian",7,26,3.7,5,11,0,3,"no",8,5,8,7,7,"Other","Undecided",40,90
"female","no","small town","White","Christian",10,22,3.5,0,0,0,10,"no",10,5,5,0,10,"Democrat","Undecided",0,100
"female","no","medium city","Asian","Christian",10,28,3.5,4,0,0,10,"no",8,5,5,0,5,"Democrat","Undecided",0,100
"female","no","small town","White","Christian",7,25,3.7,3,3,3,6,"no",6,6,9,1,7,"Other","Undecided",0,10
"female","yes","big city suburb","White","Jewish",5,26,3.5,10,4,3,0,"no",0,3,5,2,8,"Democrat","Obama",0,100
"female","no","big city suburb","White","Christian",8,25,3,20,40,0,9,"no",4,5,5,6,8,"Other","Undecided",10,10
"female","no","big city","Black","Christian",4,20,3,5,5,1,5,"yes",1,3,4,8,10,"Democrat","Obama",25,0
"female","yes","big city suburb","White","Christian",9,30,3.5,25,22,0,5,"no",10,3,8,1,10,"Other","Romney",10,100
"male","yes","big city suburb","Mixed","Christian",6,26,3.5,12,20,7,3,"no",8,5,9,7,4,"Republican","Undecided",20,90
"female","no","medium city","White","Other Religion",5,25,2.9,15,20,2,0,"no",0,0,6,0,10,"Democrat","Obama",5,10
"female","yes","big city suburb","White","Christian",7,29,3.2,12,30,1,8,"no",2,5,9,0,1,"Democrat","Not Voting",0,100
"male","no","medium city","Black","Christian",6,29,3.5,6,10,5,4,"no",3,3,4,9,0,"Republican","Not Voting",0,10
"female","no","big city suburb","White","Atheist",0,28,3.4,4,7,7,0,"no",0,3,5,5,5,"Other","Obama",0,90
"male","no","big city suburb","White","Christian",9,32,3.8,2,0,0,10,"no",9,6,5,1,7,"Other","Romney",0,100
"female","yes","big city","Hispanic","Other Religion",6,27,3.5,6,6,4,0,"no",1,7,5,8,5,"Democrat","Obama",5,90
"female","yes","big city suburb","White","Christian",7,29,3.2,17,15,1,0,"no",3,5,8,2,10,"Republican","Romney",35,100
"female","yes","medium city","White","Other Religion",4,27,3.4,0,0,1,0,"no",0,2,5,7,0,"Democrat","Not Voting",0,50
"male","no","big city","White","Christian",2,27,2.5,30,50,4,5,"no",5,5,5,5,5,"Other","Undecided",15,100
"female","no","big city suburb","Asian","Christian",7,26,2.5,0,1,1,10,"no",0,8,9,6,5,"Republican","Romney",5,0
"male","no","big city","Hispanic","Christian",8,29,3.6,1,1,1,10,"no",10,5,6,6,0,"Other","Undecided",0,40
"female","no","big city suburb","Hispanic","Christian",3,27,2.5,7,11,0,0,"no",5,5,5,5,0,"Republican","Not Voting",0,0
"female","yes","big city suburb","White","Christian",5,29,3.3,15,30,10,4,"no",2,5,8,7,8,"Republican","Romney",0,100
"female","no","small town","White","Christian",7,24,3.5,0,0,0,4,"no",0,2,5,1,0,"Other","Not Voting",0,50
"female","yes","big city suburb","White","Christian",7,30,3,0,0,1,3,"no",10,7,5,5,9,"Other","Obama",0,80
"female","yes","big city suburb","White","Christian",5,29,3.7,8,9,1,5,"no",5,9,6,8,5,"Republican","Romney",0,100
"female","no","small town","White","Christian",8,32,3.8,2,0,0,1,"no",2,4,4,4,10,"Republican","Obama",5,100
"male","yes","small town","White","Christian",6,24,3,10,12,3,2,"no",2,3,6,5,10,"Democrat","Undecided",10,80
"male","yes","big city suburb","White","Jewish",5,28,3.1,4,2,1,7,"no",1,4,2,7,8,"Democrat","Obama",5,100
"male","no","big city","Black","Christian",1,26,3.8,2,1,4,0,"no",0,3,5,6,10,"Democrat","Obama",10,0
"female","no","big city suburb","White","Christian",1,27,3.5,10,9,3,0,"no",0,5,2,1,8,"Democrat","Obama",0,70
"male","no","small town","White","Agnostic",1,30,3,0,0,0,0,"no",0,5,5,3,0,"Other","Not Voting",20,90
"female","yes","big city suburb","White","Christian",5,30,3.5,4,3,0,1,"no",5,2,5,5,10,"Democrat","Obama",25,100
"female","yes","medium city","White","Christian",8,27,3.5,10,10,0,0,"no",4,3,4,4,10,"Democrat","Obama",10,100
"female","yes","medium city","White","Christian",6,26,3.3,15,20,2,7,"no",3,8,7,5,5,"Republican","Romney",0,100
"male","no","medium city","White","Christian",8,24,3.3,1,3,2,4,"no",5,8,7,2,10,"Republican","Romney",20,10
"female","no","small town","White","Christian",7,30,3.6,0,0,1,9,"no",9,5,7,4,0,"Other","Not Voting",0,100
"female","no","big city suburb","White","Christian",5,26,3.8,1,0,0,0,"no",5,5,5,5,5,"Other","Not Voting",20,80
"female","no","big city","Asian","Christian",7,28,3.2,2,1,1,5,"no",5,2,5,5,0,"Democrat","Not Voting",0,100
"female","no","big city suburb","White","Atheist",0,28,2.5,5,6,2,2,"no",1,1,3,3,9,"Democrat","Obama",0,80
"male","no","big city","Hispanic","Christian",5,26,2.9,1,0,4,0,"no",9,5,2,2,5,"Democrat","Obama",10,10
"female","no","big city suburb","White","Agnostic",1,30,3.2,6,5,2,0,"no",4,2,5,4,3,"Democrat","Undecided",0,100
