"gender","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","tweets","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","parentRelationship","workHr","tuition"
"Female","No","suburbs","Mixed_Other","Christian",7,26,3.4,24,17,4,2,"5","College",30,0,4,"No",4,5,2,3,6,25,10
"Female","Yes","Small_Town","Mixed_Other","Christian",2,27,3.4,11,14,22,2,"12","High_School",2,0,0,"Yes",3,6,6,5,7,5,100
"Female","No","big_city","Asian","Buddhist",3,26,3.5,0,2,3,3,"19","College",3,0,3,"No",5,5,7,7,9,0,100
"Female","No","big_city","Asian","Atheist",0,28,3.9,0,0,0,0,"still_waiting","College",5,1,3,"No",0,7,8,9,10,10,100
"Female","No","Medium_City","Asian","Atheist",0,29,3.9,0,0,0,1,"18","College",30,1,10,"No",3,4,7,8,8,0,100
"Male","No","big_city","Asian","Atheist",0,34,3.8,8,12,11,1,"17","High_School",1,0,5,"No",8,5,7,8,9,0,100
"Female","No","suburbs","Asian","Muslim",3,28,3.7,1,0,0,2,"15","College",1,0,0,"No",4,2,4,5,9,10,100
"Female","No","suburbs","Asian","Atheist",1,32,3.4,5,2,0,0,"19","1st_to_5th_grade",0,0,5,"No",5,5,5,5,5,0,100
"Male","No","Medium_City","Asian","Christian",6,29,2.3,3,2,4,5,"16","High_School",5,0,5,"No",5,4,5,5,9,0,100
"Female","No","big_city","Asian","Christian",7,29,3.3,0,0,0,0,"still_waiting","High_School",1,0,5,"No",7,3,5,2,6,10,90
"Female","No","big_city","Asian","Atheist",0,31,3.9,0,0,0,0,"still_waiting","1st_to_5th_grade",2,0,2,"No",2,3,3,4,5,10,90
"Male","No","suburbs","Asian","Christian",8,31,3.7,0,0,0,0,"still_waiting","0_to_Kindergarten",1,0,0,"No",0,5,3,5,9,0,80
"Female","No","Medium_City","Asian","Christian",9,28,3.6,1,0,0,1,"19","College",4,0,10,"No",5,7,5,3,6,0,90
"Male","No","suburbs","Asian","Muslim",10,25,3,0,0,0,0,"still_waiting","High_School",1,0,10,"No",3,5,2,5,6,0,0
"Female","No","suburbs","Asian","Hindu",6,32,3.6,10,12,2,0,"13","1st_to_5th_grade",7,0,8,"No",5,7,9,8,6,0,100
"Male","No","Medium_City","Asian","Christian",8,28,2.8,2,2,0,1,"still_waiting","High_School",0,0,10,"No",7,5,2,10,8,0,70
"Female","No","suburbs","Asian","Christian",6,32,2.7,0,0,0,0,"still_waiting","0_to_Kindergarten",7,4,5,"No",10,5,0,0,8,0,70
"Male","No","suburbs","Asian","Christian",8,28,2.8,0,0,0,0,"19","middle_school",2,1,5,"No",5,5,5,9,6,0,100
"Female","No","big_city","Asian","Buddhist",5,30,2,1,0,4,8,"15","College",7,2,5,"Yes",0,5,5,10,5,0,100
"Female","No","Small_Town","Asian","Christian",10,32,3.9,0,0,0,0,"still_waiting","High_School",9,0,10,"No",10,6,5,5,9,0,100
"Female","No","big_city","Asian","Christian",3,28,3.4,6,4,0,0,"20","College",2,1,0,"No",1,3,5,2,9,0,100
"Male","No","big_city","Asian","Atheist",0,30,2.6,10,8,1,1,"16","College",3,0,0,"No",0,3,7,3,9,10,90
"Female","No","big_city","Asian","Agnostic",2,18,2.8,0,0,0,0,"4","0_to_Kindergarten",3,0,3,"No",4,5,4,7,9,0,90
"Male","No","suburbs","Asian","Christian",8,27,2.8,0,0,0,1,"17","College",7,1,5,"No",7,6,6,2,8,0,100
"Female","Yes","suburbs","Asian","Buddhist",5,22,3.3,4,2,0,0,"18","0_to_Kindergarten",3,0,0,"No",5,3,6,5,9,0,100
"Male","No","big_city","Asian","Agnostic",1,30,3.9,1,3,4,1,"19","College",4,0,0,"No",0,3,5,5,8,0,0
"Male","No","suburbs","Asian","Atheist",0,30,3.5,4,1,25,5,"15","High_School",3,0,7,"No",2,3,7,7,8,0,100
"Female","No","suburbs","Asian","Christian",7,30,3.2,3,6,0,1,"17","College",1,0,6,"No",7,5,3,7,4,0,100
"Female","No","suburbs","Asian","Hindu",5,27,3,8,2,0,0,"18","College",20,0,5,"No",3,4,6,5,8,0,100
"Male","No","big_city","Asian","Other",6,32,3.6,1,0,1,1,"18","0_to_Kindergarten",4,0,6,"No",2,6,8,9,9,0,100
"Female","No","Medium_City","Asian","Atheist",3,29,3.8,2,0,0,3,"19","College",4,0,6,"No",0,5,6,3,10,0,100
"Female","No","suburbs","Asian","Hindu",5,25,3,0,0,0,0,"still_waiting","1st_to_5th_grade",2,0,5,"No",0,2,7,0,6,10,100
"Male","No","suburbs","Asian","Christian",8,34,3,0,0,0,3,"still_waiting","College",3,0,10,"No",9,7,5,2,8,0,100
"Female","No","suburbs","Asian","Muslim",8,27,3.4,6,0,0,2,"13","College",5,1,8,"No",5,3,5,6,8,0,10
"Male","Yes","suburbs","Asian","Hindu",2,27,3.7,7,8,1,1,"17","College",2,0,5,"No",3,5,4,7,8,0,100
"Female","No","Medium_City","Asian","Christian",8,31,4,0,0,0,1,"18","College",7,0,4,"No",8,5,6,7,9,0,100
"Male","Yes","Medium_City","Asian","Christian",6,27,3.2,0,0,0,0,"still_waiting","middle_school",1,0,8,"No",3,3,4,7,8,0,30
"Male","No","suburbs","Asian","Christian",3,32,3.8,15,18,2,2,"14","College",1,0,1,"No",0,3,4,7,7,0,100
"Male","No","suburbs","Asian","Christian",7,30,3.4,24,5,0,0,"still_waiting","1st_to_5th_grade",1,0,5,"No",8,4,6,9,8,0,100
"Male","No","Medium_City","Asian","Atheist",0,34,4,3,5,0,0,"still_waiting","College",14,13,8,"No",0,3,6,8,10,0,100
"Female","No","Medium_City","Asian","Atheist",0,23,2.4,13,7,5,3,"17","High_School",0,0,0,"No",0,5,6,9,5,0,100
"Female","No","Medium_City","Asian","Other",2,28,4,2,0,0,0,"16","middle_school",5,3,0,"No",3,7,7,7,9,0,100
"Male","No","Medium_City","Asian","Atheist",0,26,3.6,3,4,0,0,"still_waiting","College",3,0,8,"No",10,5,7,10,5,25,100
"Female","No","suburbs","Asian","Hindu",6,24,3.1,6,6,0,1,"16","High_School",3,0,0,"No",5,5,5,7,10,0,100
"Male","No","big_city","Asian","Buddhist",2,16,3.5,0,1,1,1,"22","1st_to_5th_grade",6,0,7,"No",5,5,5,5,5,0,100
"Male","Yes","big_city","Asian","Christian",4,34,2.5,7,18,3,1,"17","High_School",1,2,0,"No",0,3,4,6,6,10,60
"Male","Yes","suburbs","Asian","Christian",8,30,2.4,5,6,2,1,"17","College",5,0,7,"No",3,3,7,0,9,0,60
"Male","No","suburbs","Asian","Christian",5,31,3.6,5,20,0,0,"still_waiting","middle_school",1,0,0,"No",2,5,3,1,8,5,100
"Female","No","suburbs","Asian","Other",7,32,3.6,0,0,0,0,"still_waiting","College",3,1,0,"No",5,5,7,7,9,5,100
"Female","No","suburbs","Asian","Christian",3,27,3.3,4,3,0,0,"18","College",5,2,3,"No",4,5,5,5,6,0,100
"Female","No","big_city","Asian","Other",5,30,3.4,5,2,0,0,"still_waiting","1st_to_5th_grade",2,0,5,"No",4,5,9,10,9,0,100
"Female","No","suburbs","Asian","Other",4,27,3.5,0,0,0,1,"15","College",6,12,5,"No",5,5,8,6,10,0,100
"Female","No","suburbs","Asian","Hindu",6,28,3.2,6,3,2,2,"14","High_School",4,0,10,"No",1,7,5,7,8,0,70
"Female","No","big_city","Asian","Christian",5,28,3.6,2,0,0,0,"still_waiting","middle_school",3,5,9,"No",7,7,3,8,5,0,100
"Male","Yes","suburbs","Asian","Christian",9,20,3.1,8,20,3,3,"17","College",4,0,10,"No",10,5,6,2,10,0,0
"Male","No","suburbs","Asian","Christian",7,28,3.6,6,6,2,2,"15","College",1,1,5,"No",5,5,3,6,2,0,50
"Female","Yes","big_city","Asian","Christian",7,28,3.1,8,20,3,2,"16","High_School",3,0,1,"No",0,3,4,5,10,0,100
"Female","No","suburbs","Asian","Muslim",6,32,3.3,0,0,0,0,"still_waiting","High_School",14,0,3,"No",3,4,3,5,7,10,10
"Male","No","suburbs","Asian","Christian",2,33,3,2,1,8,5,"20","High_School",1,0,8,"No",10,8,6,10,6,0,100
"Female","No","suburbs","Asian","Christian",6,35,2.4,6,4,1,4,"15","College",1,1,0,"Yes",4,2,4,0,8,0,100
"Male","No","suburbs","Asian","Christian",9,29,3.5,0,0,0,0,"still_waiting","College",1,0,6,"No",8,6,6,3,8,0,60
"Female","Yes","suburbs","Asian","Muslim",7,30,3.9,1,0,0,3,"14","College",21,0,0,"No",5,2,3,0,10,0,100
"Female","Yes","suburbs","Asian","Christian",3,29,3.4,1,5,0,0,"18","High_School",2,3,0,"No",0,3,5,3,10,0,0
"Female","No","big_city","Asian","Christian",8,30,3.5,0,0,0,0,"still_waiting","High_School",2,0,10,"No",9,6,4,3,10,5,100
"Female","Yes","Medium_City","Asian","Hindu",4,27,3.2,4,3,0,1,"17","College",1,2,0,"No",0,0,5,5,6,10,10
"Female","No","suburbs","Asian","Christian",10,26,3.6,0,0,0,1,"15","College",3,0,7,"No",7,7,8,5,8,5,100
"Female","Yes","suburbs","Asian","Buddhist",3,26,2,1,3,6,3,"3","High_School",0,0,0,"No",0,3,6,5,6,10,100
"Female","No","suburbs","Asian","Hindu",8,28,4,4,0,0,1,"15","College",14,0,0,"No",1,5,4,0,10,0,100
"Male","No","suburbs","Asian","Buddhist",7,23,3.5,3,0,5,1,"17","middle_school",8,0,6,"No",1,3,4,8,7,0,10
"Female","No","big_city","Asian","Atheist",2,25,3.6,0,0,0,0,"still_waiting","1st_to_5th_grade",0,0,0,"No",4,3,4,0,2,5,100
"Female","No","suburbs","Asian","Christian",10,30,3.7,3,0,0,1,"14","0_to_Kindergarten",4,0,4,"Yes",7,3,4,4,8,0,20
"Male","Yes","Medium_City","Asian","Hindu",4,29,3.4,14,20,6,2,"14","0_to_Kindergarten",2,0,0,"No",2,0,5,10,9,0,100
"Male","No","Medium_City","Asian","Christian",5,32,2.3,3,5,2,1,"13","College",1,0,6,"No",5,4,6,9,5,0,100
"Female","No","suburbs","Asian","Agnostic",1,31,3,0,0,0,0,"still_waiting","High_School",4,7,0,"No",5,4,4,5,9,0,100
"Female","No","suburbs","Asian","Muslim",7,28,3,0,0,0,0,"still_waiting","College",10,1,5,"No",3,6,5,7,6,0,20
"Female","No","big_city","Asian","Christian",5,24,3.9,0,0,0,0,"still_waiting","1st_to_5th_grade",1,0,0,"No",10,3,6,5,5,20,0
"Female","No","big_city","Asian","Other",0,32,3.7,6,2,1,1,"14","1st_to_5th_grade",1,0,5,"No",3,2,7,9,8,0,100
"Male","No","big_city","Asian","Atheist",0,32,3.8,4,0,2,1,"15","middle_school",5,2,5,"No",4,2,9,8,10,0,100
