"gender","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","tweets","texts","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","parentRelationship","workHr","tuition"
"Male","No","big_city","Asian","Atheist",0,30,3.6,10,0,20,0,14,"High_School",10,4,2,5,"No",7,3,3,10,8,35,100
"Female","No","suburbs","White","Christian",6,27,4,18,10,0,1,15,"High_School",3,1,30,2,"No",4,5,7,4,10,0,90
"Female","No","suburbs","White","Christian",0,26,3.4,0,0,0,1,18,"High_School",3,0,50,0,"No",5,4,4,2,10,15,90
"Female","No","Small_Town","White","Christian",3,26,3.7,0,0,1,1,14,"College",6,1,50,0,"No",0,0,5,4,6,0,10
"Male","No","suburbs","White","Atheist",0,31,3.3,21,30,10,0,13,"middle_school",1,0,15,5,"No",2,7,5,9,10,0,90
"Female","No","Medium_City","Asian","Hindu",4,28,2.8,9,6,1,1,18,"1st_5th_grade",10,25,50,0,"No",0,0,4,0,10,0,100
"Female","No","Small_Town","Black","Christian",4,23,3.7,6,0,6,4,14,"0_Kindergarten",10,0,21,5,"Yes",8,3,5,0,2,20,10
"Female","No","big_city","Hispanic","Christian",2,31,3.1,5,2,0,0,18,"College",3,0,5,0,"No",0,1,1,2,9,10,30
"Female","No","suburbs","White","Jewish",1,30,4,4,2,1,2,14,"High_School",6,0,40,5,"No",3,6,5,6,10,10,70
"Female","Yes","suburbs","White","Christian",9,28,3.8,8,12,6,1,16,"High_School",2,1,30,5,"No",6,4,4,0,9,10,90
"Female","No","suburbs","Asian","Hindu",10,32,4,0,0,0,0,0,"High_School",4,0,50,3,"No",8,5,1,1,10,0,100
"Female","Yes","suburbs","White","Jewish",3,28,3.3,5,5,0,0,18,"College",7,10,30,0,"No",0,1,5,5,10,0,100
"Female","Yes","Medium_City","White","Christian",8,24,3.8,16,25,11,2,14,"College",1,1,20,0,"No",5,3,4,3,10,0,50
"Female","No","Medium_City","White","Christian",7,34,4,15,18,1,2,12,"High_School",7,30,50,2,"No",7,8,8,5,10,35,70
"Male","No","Small_Town","Hispanic","Christian",6,26,3,10,14,1,1,14,"College",3,0,20,0,"No",10,5,3,0,10,0,0
"Female","Yes","Medium_City","Hispanic","Christian",10,26,3.2,8,4,2,1,16,"College",7,0,50,5,"No",5,10,10,5,9,15,30
