"gender","genderID","height","weight","shoeSize","schoolYear","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"Male","Male",67,204,9.5,"Sophomore",1,1,80,0,7,3,49,53,9,"few",40
"Male","Male",66,140,9.5,"Freshman",0,1,105,11,8,10,46,50,6,"few",100
"Female","Female",67,125,8,"Freshman",2,1,98,77,7,5,49,48,1,"one",100
"Male","Male",68,155,10.5,"Sophomore",2,2,140,400,5,7,41,43,7,"dozens",5
"Female","Female",63,136,7.5,"Freshman",0,2,100,15,8,8,47,49,8,"few",20
"Male","Male",72,156,11.5,"Sophomore",0,1,120,30,8,7,60,65,5,"few",30
"Female","Female",66,143,8.5,"Junior",1,1,85,0,7,20,54,55,2,"few",100
"Female","Female",66,150,8,"Junior",5,1,105,0,9,20,49,52,4,"thousands",95
"Male","Male",72,205,11.5,"Sophomore",9,1,180,0,8,5,43,43,3,"thousands",100
"Female","Female",68,160,11,"Freshman",2,2,100,80,7,23,53,51,7,"few",90
"Female","Female",64,118,9.5,"Sophomore",1,1,110,60,7,6,47,49,8,"few",25
"Female","Female",65,135,7.5,"Junior",2,2,88,5,7,30,48,49,2,"few",100
"Female","Female",64,120,7.5,"Junior",2,1,85,35,7,10,53,53,7,"few",100
"Male","Male",75,180,12.5,"Freshman",2,2,110,40,8,6,50,51,2,"few",100
"Male","Male",71,197,12,"Sophomore",0,2,100,0,6,4,45,51,3,"one",15
"Female","Female",62,107,7,"Sophomore",0,2,85,300,6,12,41,54,7,"one",10
"Female","Female",67,106,9,"Freshman",4,1,75,60,6,8,50,53,5,"few",90
"Female","Female",64,125,8,"Sophomore",0,3,45,20,8,10,37,45,9,"one",100
"Female","Female",65,148,8.5,"Sophomore",4,1,83,20,7,40,56,61,2,"one",90
"Female","Female",64,104,6.5,"Sophomore",1,2,50,25,6,19,53,56,3,"few",36
"Female","Female",65,158,8,"Sophomore",1,1,45,8,7,15,54,65,3,"few",75
"Female","Female",67,115,8.5,"Freshman",7,2,82,40,5,18,44,47,6,"one",50
"Male","Male",70,225,10.5,"Freshman",1,2,105,87,7,7,46,49,2,"thousands",0
"Male","Male",71,165,12,"Sophomore",1,0,130,45,8,13,49,53,6,"one",100
"Female","Female",62,121,6.5,"Sophomore",2,1,85,2,6,25,56,65,4,"dozens",50
"Female","Female",68,125,9,"Freshman",0,2,45,150,7,7,57,61,5,"few",100
"Female","Female",66,127,7.5,"Freshman",1,1,90,20,6,30,46,48,6,"one",50
"Male","Male",71,217,10,"Freshman",0,1,82,14,6,3,57,52,5,"dozens",80
"Female","Female",65,132,7.5,"Freshman",2,2,105,50,5,23,36,38,3,"one",100
"Female","Female",62,110,6,"Sophomore",2,2,85,42,7,5,55,57,4,"one",95
"Female","Female",64,107,7,"Freshman",1,1,70,30,8,25,48,47,4,"few",50
"Male","Male",66,142,9,"Sophomore",2,1,110,0,7,5,46,53,3,"hundreds",50
"Male","Male",69,150,9,"Sophomore",1,2,126,0,7,5,41,58,7,"few",25
"Female","Female",61,118,6.5,"Sophomore",0,2,60,0,7,18,43,52,7,"few",66
"Female","Female",66,200,9.5,"Freshman",0,2,100,20,8,10,49,52,4,"few",100
"Female","Female",64,165,10,"Freshman",0,1,75,35,6,20,47,47,5,"few",45
"Male","Male",71,155,12,"Freshman",2,2,100,0,7,1,52,53,7,"one",50
"Female","Female",62,100,5,"Freshman",10,4,50,20,6,20,35,40,6,"few",80
"Male","Male",68,165,11,"Senior",1,3,105,15,5,15,54,53,7,"dozens",0
"Female","Female",71,195,10.5,"Sophomore",0,2,70,1,6,14,49,51,8,"few",25
"Female","Female",67,142,9,"Sophomore",2,2,110,44,6,12,53,62,5,"one",96
"Male","Male",66,190,9.5,"Freshman",0,4,110,25,8,5,45,51,6,"few",25
"Female","Female",68,164,8.5,"Freshman",1,1,90,80,7,16,52,52,8,"few",98
"Female","Female",64,175,7.5,"Sophomore",5,2,95,20,6,15,55,58,8,"few",50
"Female","Female",69,138,8.5,"Sophomore",4,1,105,0,7,13,54,54,2,"hundreds",85
"Male","Male",75,300,14,"Junior",4,2,70,50,7,4,47,48,6,"hundreds",33
"Female","Female",66,130,8.5,"Sophomore",0,1,80,5,8,13,56,54,7,"few",50
"Female","Female",62,135,7.5,"Sophomore",1,3,55,0,5,20,54,55,6,"few",80
"Female","Female",66,145,8.5,"Sophomore",3,3,90,1,8,15,65,65,5,"few",65
"Female","Female",63,120,8,"Sophomore",1,2,90,300,6,20,49,51,5,"few",50
"Female","Female",63,104,7,"Freshman",8,2,80,37,7,9,56,56,4,"one",95
"Male","Male",70,193,9,"Sophomore",3,1,35,110,6,4,53,53,3,"few",99
"Female","Female",66,135,7,"Sophomore",3,2,150,50,10,15,57,57,7,"one",10
"Female","Female",68,155,10,"Freshman",1,2,95,60,8,25,49,52,6,"few",20
"Female","Female",64,135,9,"Freshman",4,1,80,130,6,15,46,46,5,"few",60
"Female","Female",59,105,6,"Sophomore",11,2,63,200,6,15,44,45,7,"few",50
"Female","Female",63,158,8.5,"Freshman",3,2,0,10,7,8,50,49,8,"few",90
"Female","Female",66,150,9.5,"Freshman",6,3,110,1,9,24,54,55,4,"few",80
"Male","Male",69,154,10.5,"Sophomore",2,4,80,70,5,5,59,42,7,"few",70
"Female","Female",64,110,8,"Freshman",1,1,75,20,8,20,55,51,6,"few",60
"Female","Female",64,110,7.5,"Freshman",3,0,0,5,7,10,36,36,3,"one",50
"Female","Female",65,144,9,"Freshman",5,3,90,60,6,8,40,41,4,"few",70
"Female","Female",64,105,7,"Sophomore",2,4,0,60,7,8,63,65,7,"few",100
"Male","Male",74,170,12,"Junior",0,3,100,0,6,6,43,43,7,"dozens",100
"Female","Female",69,135,8.5,"Freshman",7,1,80,100,8,8,52,55,6,"one",90
"Female","Female",67,138,8.5,"Junior",5,3,110,20,7,4,50,62,5,"few",100
"Female","Female",64,130,8.5,"Freshman",4,1,100,80,7,21,54,64,3,"hundreds",100
"Female","Female",65,130,8,"Junior",2,2,80,20,7,20,57,54,3,"few",20
"Male","Male",68,155,9.5,"Sophomore",30,3,53,200,9,6,46,51,7,"one",33
"Female","Female",64,240,8.5,"Junior",7,3,80,45,7,11,63,65,4,"few",50
"Female","Female",68,135,10,"Freshman",6,4,110,130,6,12,40,43,7,"one",100
"Female","Female",63,103,5,"Freshman",0,1,0,1000,6,8,45,47,2,"few",50
"Female","Female",62,165,6,"Sophomore",2,1,95,0,7,25,40,40,8,"few",100
"Female","Female",62,145,7.5,"Senior",0,1,120,200,9,10,37,44,5,"few",35
"Female","Female",66,144,8,"Sophomore",2,2,112,1,6,16,59,54,5,"dozens",10
"Male","Male",67,136,9.5,"Freshman",3,4,80,42,7,14,54,56,8,"few",20
"Male","Male",72,185,11,"Freshman",2,2,125,14,7,6,48,48,7,"thousands",20
"Male","Male",73,165,11,"Sophomore",1,1,80,15,8,4,52,49,4,"dozens",100
"Male","Male",72,158,9.5,"Sophomore",30,1,88,2,6,7,55,52,4,"millions",9
"Female","Female",62,113,7,"Sophomore",0,1,94,12,6,16,53,53,6,"dozens",60
"Female","Female",64,135,7,"Freshman",3,4,100,500,7,20,49,48,9,"dozens",40
"Female","Female",64,127,7.5,"Sophomore",1,0,120,150,8,30,47,52,9,"dozens",80
"Male","Male",69,132,9,"Sophomore",3,1,0,20,9,15,44,51,9,"few",5
"Female","Female",66,127,9,"Sophomore",3,1,80,200,7,12,49,53,3,"few",99
"Female","Female",65,144,6,"Freshman",0,1,90,0,6,14,52,52,5,"one",100
"Female","Female",64,135,6.5,"Freshman",20,2,120,50,8,40,43,44,4,"millions",98
"Female","Female",64,114,6,"Freshman",2,3,60,30,7,25,58,57,7,"few",80
"Male","Male",74,230,12,"Sophomore",4,1,100,0,7,12,63,63,8,"dozens",50
"Female","Female",66,137,10,"Freshman",6,1,70,2,7,11,47,53,5,"few",10
"Male","Male",71,180,12.5,"Freshman",0,1,120,6,7,6,56,52,8,"one",100
"Male","Male",70,145,13,"Sophomore",4,5,112,14,7,6,36,40,10,"few",10
"Female","Female",63,125,7.5,"Sophomore",0,2,55,48,7,8,54,58,4,"few",50
"Female","Female",61,128,7,"Senior",6,1,92,15,7,20,48,46,7,"few",40
"Male","Male",67,158,10.5,"Graduate",2,1,111,200,7,5,50,53,1,"few",50
"Male","Male",68,215,11,"Sophomore",2,1,100,31,6,5,65,58,7,"dozens",75
"Male","Male",72,143,11.5,"Freshman",6,2,199,200,7,14,40,42,6,"few",50
"Female","Female",65,140,7,"Sophomore",2,3,80,20,7,13,50,49,7,"few",100
"Male","Male",68,154,9.5,"Sophomore",1,3,140,300,7,5,49,37,3,"few",75
"Male","Male",75,210,11,"Senior",5,2,110,120,7,4,52,54,8,"one",100
"Female","Female",59,85,5,"Freshman",0,3,40,20,7,11,56,58,6,"few",50
"Female","Female",67,141,8,"Freshman",3,2,90,57,8,24,46,46,6,"few",50
"Female","Female",65,90,7,"Freshman",0,0,0,10,6,6,44,47,6,"few",5
"Female","Female",69,143,10,"Freshman",3,0,80,30,8,20,50,53,9,"dozens",80
"Male","Male",74,175,10,"Junior",3,3,95,0,6,4,53,54,6,"few",25
"Male","Male",68,120,9.5,"Senior",0,4,120,30,7,3,47,49,8,"few",100
"Female","Female",64,115,7.5,"Sophomore",1,2,70,20,7,67,51,49,3,"few",38
"Female","Female",60,115,7,"Sophomore",3,5,85,2,7,10,38,38,5,"few",70
"Female","Female",66,135,9,"Freshman",0,4,100,75,7,15,57,56,7,"few",95
"Female","Female",64,135,7.5,"Sophomore",2,1,110,65,7,12,55,56,9,"one",100
"Male","Male",75,240,13,"Freshman",0,1,80,75,9,6,51,50,2,"few",75
"Female","Female",67,155,8,"Freshman",4,0,95,80,6,10,58,64,8,"thousands",100
"Female","Female",65,142,10,"Freshman",1,1,100,130,8,12,55,53,4,"one",64
"Female","Female",60,115,5.5,"Sophomore",1,1,75,15,6,20,56,59,1,"one",75
"Male","Male",74,205,13,"Sophomore",5,4,120,40,7,30,50,48,5,"hundreds",100
"Female","Female",63,194,9,"Freshman",1,1,80,110,6,4,36,38,3,"one",2
"Female","Female",65,160,7.5,"Junior",0,3,85,99,8,21,46,46,3,"one",90
"Female","Female",64,153,7,"Sophomore",4,1,90,20,7,30,51,51,2,"one",75
"Female","Female",67,120,9,"Freshman",0,12,95,0,6,15,60,60,3,"dozens",40
"Female","Female",66,150,10,"Freshman",1,4,80,25,8,5,54,44,4,"few",50
"Female","Female",63,123,6,"Senior",2,2,90,40,7,20,45,58,7,"few",60
"Female","Female",65,151,6.5,"Senior",4,1,100,0,7,20,54,62,10,"few",60
"Male","Male",69,200,10.5,"Sophomore",0,4,110,0,10,4,40,45,5,"dozens",50
"Female","Female",62,115,7,"Freshman",3,0,85,1,6,8,39,36,3,"few",50
"Male","Male",72,134,10,"Freshman",1,1,96,15,5,4,47,50,6,"one",80
"Female","Female",66,158,8.5,"Sophomore",0,2,100,13,7,20,50,53,4,"few",40
"Female","Female",68,140,8,"Sophomore",4,2,84,35,7,18,52,50,2,"dozens",90
"Male","Male",68,165,9,"Sophomore",2,1,80,60,6,10,53,57,9,"one",100
"Female","Female",62,110,5.5,"Freshman",0,1,80,100,8,15,55,57,5,"one",25
"Female","Female",61,120,6,"Freshman",14,5,90,150,7,30,52,54,8,"dozens",50
"Female","Female",65,135,6.5,"Freshman",0,2,0,20,7,13,47,52,7,"few",50
"Male","Male",71,160,11,"Freshman",1,5,135,80,6,16,45,45,10,"dozens",20
"Female","Female",65,110,9,"Senior",0,2,90,60,8,10,49,48,4,"dozens",50
"Female","Male",66,155,7.5,"Freshman",10,1,65,2,7,2,54,55,8,"few",99
"Female","Female",63,110,7,"Freshman",0,2,70,80,8,12,52,51,2,"one",100
"Female","Female",64,135,9.5,"Freshman",7,1,110,24,6,21,47,46,3,"few",75
"Male","Male",76,165,11,"Freshman",1,1,110,1,8,3,58,61,7,"hundreds",100
"Female","Female",62,112,6,"Freshman",1,4,40,20,9,8,52,38,1,"dozens",100
"Female","Female",63,130,8,"Freshman",0,1,90,20,6,20,48,50,8,"dozens",90
"Male","Male",64,131,9,"Freshman",1,4,110,25,6,12,50,50,5,"few",50
"Female","Female",65,115,7.5,"Freshman",4,2,80,47,7,35,50,51,5,"few",70
"Male","Male",66,145,8.5,"Sophomore",1,2,85,86,8,7,54,55,7,"few",50
"Female","Female",62,160,7.5,"Freshman",3,3,80,16,6,13,44,45,7,"thousands",60
"Male","Male",70,165,11,"Freshman",1,0,123,43,8,5,54,55,7,"hundreds",70
"Male","Male",72,127,11,"Sophomore",1,2,100,60,8,10,45,51,7,"dozens",100
"Female","Female",66,120,8.5,"Senior",5,3,102,120,8,37,46,48,4,"few",50
"Female","Female",66,130,6.5,"Sophomore",1,2,90,12,7,22,58,55,4,"dozens",75
"Male","Male",69,142,10,"Freshman",0,1,100,3,8,7,44,44,2,"one",100
"Female","Female",64,140,7.5,"Freshman",5,5,85,60,7,15,50,51,8,"few",50
"Female","Female",64,128,4,"Sophomore",1,4,70,30,7,7,38,49,6,"few",57
"Male","Male",72,144,11.5,"Freshman",0,0,30,0,8,2,45,48,5,"few",10
"Female","Female",61,127,8,"Freshman",4,1,100,10,6,25,53,49,3,"few",60
"Female","Female",64,135,8,"Freshman",1,3,101,95,9,15,50,51,9,"few",50
"Female","Female",61,106,7,"Freshman",5,3,85,40,7,10,46,52,8,"one",50
"Male","Male",70,158,10,"Sophomore",2,5,100,63,8,15,53,55,7,"one",0
"Female","Female",64,164,10,"Sophomore",2,1,70,35,4,20,48,51,9,"few",100
"Female","Female",60,138,6.5,"Sophomore",1,7,80,31,7,10,42,56,6,"one",90
"Female","Female",66,135,8.5,"Sophomore",8,2,90,0,8,30,49,59,7,"few",25
"Male","Male",70,201,11,"Sophomore",3,2,123,52,6,3,50,47,6,"dozens",100
"Female","Female",59,109,5,"Senior",0,2,70,0,7,8,47,50,8,"few",90
"Male","Male",70,190,10,"Freshman",0,3,115,120,8,62,50,47,3,"one",35
"Female","Female",63,126,7,"Freshman",1,2,90,5,6,10,45,45,5,"one",95
"Male","Male",75,195,13,"Sophomore",1,5,100,150,7,6,55,58,3,"few",30
"Male","Male",71,220,10.5,"Sophomore",6,3,100,100,6,5,50,55,9,"one",51
"Male","Male",74,203,13,"Sophomore",1,1,101,1,7,8,56,58,3,"one",100
