"gender","genderID","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","socialMedia","texts","goodOrWell","parentRelationship","workHr","tuition","career"
"Female","Female","No","Medium City","Asian","Other Religion",7,27,3.7,1,5,0,0,"17","College",7,"2",5,5,7,0,100,"Grad School"
"Female","Female","Yes","Big City Suburb","White","Christian",6,25,3.4,4,10,4,2,"13","College",3,"9",5,5,10,0,70,"Some Idea"
"Female","Female","No","Big City Suburb","White","Christian",6,27,3.6,5,2,0,0,"17","High School",7,"3",4,7,10,0,100,"Some Idea"
"Male","Male","Yes","Big City Suburb","White","Christian",5,29,3,25,15,1,0,"18","College",2,"3",8,4,7,0,80,"Some Idea"
"Female","Female","No","Small Town","White","Christian",7,25,4,6,2,1,1,"16","High School",2,"3",10,4,10,0,100,"Nervous"
"Female","Female","No","Big City","Hispanic","Other Religion",7,27,3.2,0,1,2,2,"14","High School",2,"6",3,6,8,0,30,"Grad School"
"Male","Male","No","Big City Suburb","White","Agnostic",5,35,1.7,3,3,1,1,"13","College",0,"0",4,2,7,15,90,"Nervous"
"Female","Female","No","Big City Suburb","White","Christian",7,30,4,15,15,2,1,"14","High School",6,"6",5,7,9,0,80,"Grad School"
"Female","Female","No","Big City","Hispanic","Christian",5,23,2.7,3,1,0,3,"15","middle school",14,"2",3,5,10,0,0,"Grad School"
"Male","Male","No","Medium City","White","Agnostic",3,27,2.7,3,7,1,2,"14","Kindergarten",5,"4",4,3,4,15,0,"Nervous"
"Female","Female","No","Big City Suburb","White","Christian",2,26,4,3,3,0,0,"14","High School",5,"10 or more",7,5,10,0,90,"Some Idea"
"Female","Female","Yes","Big City Suburb","White","Christian",7,28,3.8,8,6,1,1,"15","College",3,"7",5,3,10,10,80,"Nervous"
"Female","Female","No","Big City","White","Christian",7,32,3.8,0,0,0,0,"still waiting","College",7,"3",4,2,10,0,100,"Grad School"
"Female","Female","No","Big City Suburb","Black","Agnostic",3,21,3.4,4,0,0,0,"17","College",2,"10 or more",10,10,8,0,10,"Some Idea"
"Female","Female","No","Big City Suburb","Asian","Hindu",7,24,3.3,4,2,0,0,"18","High School",3,"4",3,6,9,0,70,"Nervous"
"Female","Female","No","Big City Suburb","Asian","Christian",10,24,3.1,0,0,0,0,"still waiting","College",1,"2",5,0,5,0,100,"Nervous"
"Male","Male","No","Big City Suburb","White","Jewish",4,26,3.6,8,4,0,0,"18","High School",3,"1",3,9,8,0,100,"Some Idea"
"Female","Female","Yes","Small Town","White","Christian",2,31,4,10,15,2,1,"15","College",4,"5",10,3,9,0,100,"Some Idea"
"Male","Male","No","Big City Suburb","Asian","Agnostic",0,23,3.2,5,15,2,2,"17","lower grades",0,"3",5,10,9,0,90,"No Idea"
"Female","Female","No","Small Town","Asian","Christian",5,24,3,12,8,1,0,"18","College",0,"10 or more",4,5,10,0,100,"Nervous"
"Female","Female","No","Big City","Mixed","Atheist",0,33,3.8,3,6,4,1,"16","College",3,"3",10,7,9,0,100,"Grad School"
"Female","Female","No","Medium City","White","Agnostic",0,29,3.7,2,3,2,2,"14","College",0,"3",8,10,6,10,0,"Nervous"
"Female","Female","No","Big City Suburb","White","Christian",8,30,1.9,7,5,2,1,"17","High School",4,"1",9,6,5,0,40,"Grad School"
"Female","Female","No","Big City Suburb","White","Christian",1,28,3.8,0,0,1,1,"13","lower grades",4,"4",3,5,9,10,100,"Nervous"
"Male","Male","No","Big City Suburb","White","Christian",3,27,3,12,14,0,0,"still waiting","College",1,"0",5,5,9,0,0,"Grad School"
"Female","Female","No","Big City","Asian","Christian",7,28,3.2,4,3,0,0,"still waiting","lower grades",3,"4",23,5,8,0,100,"Nervous"
"Male","Male","No","Small Town","White","Christian",5,28,3.5,6,10,1,1,"14","College",3,"1",5,6,8,0,40,"Nervous"
"Male","Male","No","Big City Suburb","White","Christian",6,32,3.6,6,10,1,1,"14","High School",2,"2",5,6,9,0,90,"Grad School"
"Male","Male","No","Medium City","Mixed","Christian",5,30,3.9,5,0,0,0,"17","lower grades",15,"1",1,5,6,0,100,"Nervous"
"Female","Female","Yes","Small Town","White","Christian",6,23,3.6,6,4,1,1,"16","College",4,"4",3,9,5,10,40,"Concrete plan"
"Male","Male","No","Small Town","White","Atheist",0,29,3,8,20,1,1,"16","College",1,"1",7,2,3,10,10,"Concrete plan"
"Female","Female","No","Medium City","Asian","Christian",5,27,4,5,0,0,2,"15","middle school",7,"3",5,4,6,0,100,"Grad School"
"Female","Female","No","Medium City","White","Christian",7,27,4,7,15,1,2,"15","High School",2,"2",17,3,10,0,60,"Nervous"
"Male","Male","Yes","Big City Suburb","White","Atheist",0,32,3.4,2,6,4,1,"12","High School",2,"5",5,3,8,0,100,"Grad School"
"Male","Male","Yes","Big City Suburb","White","Atheist",0,32,3.7,20,25,1,1,"13","College",1,"2",5,10,5,30,100,"Grad School"
"Female","Female","No","Big City Suburb","White","Christian",4,27,4,11,20,1,1,"14","College",3,"8",10,6,8,0,100,"Some Idea"
"Female","Female","Yes","Big City Suburb","White","Jewish",4,30,3.4,7,10,1,1,"15","High School",9,"4",8,8,10,5,0,"Some Idea"
"Male","Male","No","Big City Suburb","Asian","Christian",7,28,3.5,0,0,0,0,"still waiting","College",1,"3",3,4,10,5,10,"Some Idea"
"Female","Female","No","Big City","Asian","Christian",3,32,4,1,1,1,1,"17","College",3,"10 or more",4,10,4,0,100,"Nervous"
"Female","Female","No","Big City Suburb","White","Muslim",9,30,4,0,0,0,0,"still waiting","College",2,"2",7,0,10,0,10,"Grad School"
"Female","Female","No","Big City","Black","Christian",9,20,3.5,1,0,0,2,"18","middle school",8,"1",5,8,10,0,20,"Grad School"
"Female","Female","No","Big City Suburb","Black","Agnostic",3,24,4,10,0,5,2,"18","College",2,"2",5,7,2,0,10,"Grad School"
"Female","Female","No","Big City Suburb","White","Jewish",2,29,4,12,20,2,1,"13","High School",1,"1",10,9,3,0,70,"Nervous"
"Male","Male","Yes","Small Town","Mixed","Christian",0,22,3.1,11,10,11,4,"14","College",0,"1",5,10,8,0,0,"Nervous"
"Female","Female","No","Big City Suburb","Mixed","Christian",5,31,3.6,0,0,1,2,"16","Kindergarten",7,"3",4,5,10,0,100,"Some Idea"
"Female","Female","Yes","Medium City","Asian","Christian",2,26,3.3,10,10,2,1,"14","High School",3,"3",3,0,10,0,100,"Nervous"
"Male","Male","No","Big City Suburb","White","Other Religion",10,33,4,14,14,4,3,"15","High School",14,"1",8,5,10,0,50,"No Idea"
"Male","Male","No","Big City Suburb","White","Jewish",7,33,2.9,0,0,0,0,"20","High School",1,"6",1,0,8,0,0,"Nervous"
"Female","Female","No","Medium City","Black","Christian",5,21,3.7,5,9,0,0,"17","College",1,"2",2,10,10,0,10,"Grad School"
"Female","Female","Yes","Big City Suburb","White","Christian",8,26,3.5,6,10,3,3,"13","High School",7,"2",7,3,7,20,90,"Grad School"
"Female","Female","No","Small Town","White","Christian",7,30,3.9,5,5,0,0,"18","College",3,"2",10,8,9,0,80,"Nervous"
"Female","Female","No","Medium City","White","Christian",2,27,3,14,14,2,1,"16","College",5,"3",5,5,9,0,100,"Nervous"
"Female","Female","No","Medium City","White","Christian",1,25,4,5,4,1,1,"17","High School",5,"2",5,4,8,0,90,"Nervous"
"Female","Female","Yes","Medium City","Asian","Christian",9,30,3.5,0,0,0,0,"still waiting","Kindergarten",2,"1",5,5,9,5,90,"Grad School"
"Male","Male","No","Medium City","White","Christian",6,27,3.7,14,18,4,0,"16","College",5,"1",3,9,9,5,90,"Concrete plan"
"Male","Male","No","Small Town","White","Agnostic",0,31,2.6,0,0,0,0,"still waiting","High School",4,"2",4,7,10,10,40,"Nervous"
"Female","Female","No","Medium City","Black","Christian",8,27,2.1,7,6,3,1,"15","College",0,"1",3,3,6,0,0,"Nervous"
"Female","Female","No","Big City Suburb","Asian","Atheist",0,24,2.9,0,0,0,0,"still waiting","middle school",5,"4",1,10,10,0,100,"Some Idea"
"Female","Female","No","Big City Suburb","White","Christian",6,26,4,5,2,0,2,"16","High School",5,"1",15,10,4,0,80,"Grad School"
"Female","Female","No","Medium City","Mixed","Agnostic",0,18,2.8,16,10,20,2,"11","middle school",0,"10 or more",4,7,1,15,0,"No Idea"
"Female","Female","No","Big City","Asian","Agnostic",0,28,2.5,1,0,1,1,"16","High School",2,"3",4,2,8,5,100,"Some Idea"
"Male","Male","No","Big City","Asian","Atheist",0,29,4,4,0,0,0,"still waiting","High School",15,"2",8,4,10,0,100,"Some Idea"
"Female","Female","No","Big City Suburb","Asian","Agnostic",2,28,3.4,6,3,0,0,"still waiting","College",0,"0",8,4,8,0,100,"Other"
"Female","Female","No","Small Town","Hispanic","Christian",9,32,2.4,3,0,0,0,"14","High School",7,"10 or more",5,8,10,0,0,"Nervous"
"Female","Female","No","Big City Suburb","White","Christian",3,27,3.5,0,0,0,0,"still waiting","High School",4,"2",3,5,9,0,80,"No Idea"
"Male","Male","No","Medium City","White","Christian",2,24,2.8,0,0,3,1,"16","College",1,"1",3,7,8,0,0,"Nervous"
"Male","Male","No","Big City Suburb","Mixed","Christian",2,25,4,0,0,0,0,"still waiting","College",1,"0",2,8,8,0,100,"Some Idea"
"Female","Female","No","Big City Suburb","White","Christian",3,27,4,0,0,0,1,"13","High School",4,"4",5,6,7,0,100,"Some Idea"
"Male","Male","No","Big City","White","Agnostic",1,29,3.5,0,0,0,2,"still waiting","High School",1,"1",10,5,8,0,100,"Nervous"
"Female","Female","Yes","Small Town","White","Christian",3,31,3.5,20,25,9,4,"14","College",3,"2",7,4,10,10,100,"Nervous"
"Male","Male","No","Small Town","White","Christian",8,18,3.3,4,5,2,1,"17","High School",2,"4",6,5,8,0,10,"Concrete plan"
"Male","Male","Yes","Medium City","White","Christian",9,27,3.5,10,12,1,1,"18","College",3,"2",5,7,9,0,90,"Nervous"
"Female","Female","No","Small Town","White","Atheist",0,32,4,2,4,1,2,"16","College",1,"2",3,3,3,10,80,"Concrete plan"
"Female","Female","No","Big City","White","Christian",7,29,2.9,24,40,3,1,"14","High School",7,"1",2,1,10,0,0,"No Idea"
"Male","Male","No","Big City","Asian","Buddhist",4,34,3.2,0,0,0,0,"still waiting","High School",1,"1",3,3,7,0,100,"Nervous"
"Female","Female","No","Big City Suburb","Hispanic","Agnostic",0,20,2.7,0,0,1,2,"16","High School",7,"3",4,5,9,25,100,"Grad School"
"Female","Female","No","Big City","Hispanic","Christian",8,27,3.2,15,9,3,2,"14","High School",1,"9",5,5,6,0,20,"Grad School"
"Female","Female","Yes","Medium City","White","Jewish",6,24,3.6,10,16,5,2,"14","College",4,"2",10,0,10,0,100,"Some Idea"
"Male","Male","No","Small Town","White","Christian",1,20,3.7,12,24,2,1,"17","High School",2,"3",5,10,10,0,100,"Nervous"
"Male","Male","Yes","Big City Suburb","White","Jewish",5,28,3.7,12,40,5,1,"13","College",0,"2",4,3,6,15,90,"Nervous"
"Female","Female","No","Big City Suburb","Asian","Atheist",0,28,3,0,0,0,0,"still waiting","High School",0,"2",5,3,5,0,0,"Some Idea"
"Female","Female","No","Big City","White","Agnostic",1,28,4,8,4,1,2,"13","High School",4,"1",6,7,6,0,100,"Some Idea"
"Male","Male","Yes","Medium City","White","Other Religion",1,30,3.5,35,50,0,3,"13","High School",1,"10 or more",14,9,8,15,50,"Some Idea"
"Female","Female","No","Medium City","Asian","Agnostic",2,32,3.6,2,1,0,2,"15","middle school",1,"6",5,7,9,0,100,"Some Idea"
"Female","Female","No","Medium City","Asian","Hindu",7,29,3.7,1,0,0,0,"18","College",1,"4",5,7,7,0,0,"Nervous"
"Female","Female","No","Big City","Asian","Buddhist",2,26,3.6,1,3,1,2,"14","High School",1,"3",2,5,8,0,0,"Concrete plan"
"Female","Female","No","Big City","Hispanic","Other Religion",4,22,4,3,1,0,0,"15","High School",10,"1",5,7,9,0,10,"Grad School"
