"gender","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","socialMedia","texts","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","parentRelationship","workHr","tuition","career"
"Male","No","big_city","Black","Other",0,16,2.3,0,0,0,0,"still_waiting","High_School",4,5,3,5,"No",5,5,7,5,10,15,0,"Nervous"
"Female","Yes","suburbs","White","Christian",7,27,3.8,15,10,1,2,"12","College",7,2,4,0,"No",0,5,5,5,10,0,100,"Nervous"
"Female","No","suburbs","Black","Christian",3,27,4,0,0,0,0,"13","College",1,1,2,0,"No",0,0,2,4,4,10,10,"Grad School"
"Female","No","suburbs","Asian","Agnostic",0,26,2.7,1,1,0,0,"still_waiting","middle_school",3,2,6,2,"No",2,2,5,8,8,0,10,"No Idea"
"Male","Yes","Medium_City","Asian","Atheist",0,33,3.5,5,7,1,0,"16","College",4,6,7,0,"No",5,2,0,0,8,15,90,"Concrete Plan"
"Female","Yes","suburbs","White","Buddhist",7,35,3.3,20,20,0,0,"15","College",1,3,10,0,"Yes",2,2,5,3,9,20,10,"Nervous"
"Female","Yes","suburbs","Black","Agnostic",3,25,2.5,12,20,0,0,"15","College",1,1,5,0,"No",3,3,5,5,3,0,90,"No Idea"
"Male","Yes","suburbs","White","Jewish",4,30,2.9,30,30,2,1,"10","College",5,3,15,0,"No",0,6,5,3,10,0,100,"Grad School"
"Male","No","suburbs","White","Agnostic",1,33,3.2,4,15,1,1,"16","College",2,1,8,0,"No",3,5,4,4,6,0,90,"Concrete Plan"
"Female","Yes","big_city","Black","Christian",9,20,2.7,3,5,0,2,"13","College",10,3,4,7,"No",5,5,5,0,8,20,0,"Grad School"
"Male","No","Small_Town","White","Christian",4,31,1.7,0,0,1,1,"16","High_School",7,1,4,2,"No",7,5,6,5,9,15,50,"Grad School"
"Female","No","Medium_City","White","Agnostic",0,23,3.1,0,1,1,1,"15","College",0,1,10,0,"Yes",5,5,6,5,0,20,0,"Grad School"
"Female","No","Medium_City","Asian","Atheist",0,32,3.6,6,5,1,0,"6","High_School",2,5,7,0,"No",1,4,5,7,7,0,30,"Nervous"
"Female","Yes","suburbs","White","Christian",3,33,3.5,8,8,0,0,"19","College",1,1,8,0,"No",0,4,4,0,10,0,100,"Grad School"
"Female","No","big_city","Black","Christian",6,20,2.3,1,0,1,0,"16","High_School",2,3,3,0,"No",3,5,10,0,7,10,0,"Concrete Plan"
"Male","No","big_city","Black","Christian",9,22,2.5,6,0,12,2,"15","High_School",2,4,3,0,"No",0,9,5,5,9,20,0,"Grad School"
"Male","Yes","Medium_City","Asian","Buddhist",2,29,2.9,0,1,3,3,"15","High_School",0,8,2,8,"No",5,5,8,2,8,0,100,"Some Idea"
"Male","No","big_city","Black","Christian",7,26,2.7,6,4,10,3,"9","College",10,2,3,3,"No",0,0,5,6,10,10,0,"Grad School"
"Female","No","big_city","White","Other",2,29,2.4,8,10,4,1,"15","High_School",8,2,6,2,"No",1,3,5,6,9,0,100,"Nervous"
"Female","No","Medium_City","Other","Hindu",5,18,1.6,8,22,1,14,"14","1st_5th_grade",20,8,1,4,"No",1,6,10,0,3,15,70,"Nervous"
"Male","No","Small_Town","White","Christian",2,24,2.7,0,0,2,1,"13","High_School",1,1,4,0,"No",5,4,8,3,7,0,30,"Grad School"
"Male","No","Medium_City","Asian","Christian",9,34,4,35,30,26,0,"8","High_School",8,4,5,4,"No",10,5,10,8,10,0,100,"Nervous"
"Female","Yes","suburbs","White","Christian",10,24,3.5,6,10,1,1,"16","College",7,1,3,0,"No",10,7,6,4,9,25,60,"Nervous"
"Female","No","suburbs","White","Christian",3,28,2.4,0,0,2,2,"15","High_School",7,1,3,0,"No",0,5,7,4,9,15,0,"Some Idea"
"Male","No","big_city","Asian","Buddhist",7,35,3.8,0,0,3,3,"18","middle_school",5,5,10,8,"No",10,8,8,7,6,0,100,"Concrete Plan"
"Male","No","big_city","Asian","Christian",0,26,3.7,0,0,0,0,"still_waiting","middle_school",2,3,3,3,"No",3,5,7,9,9,0,100,"No Idea"
"Female","No","big_city","Other","Other",5,23,3.4,0,0,2,2,"16","High_School",7,1,3,0,"No",5,0,5,5,8,0,100,"Grad School"
"Female","Yes","Small_Town","White","Other",2,27,2.5,16,30,3,3,"14","High_School",30,8,20,0,"Yes",0,3,0,0,10,20,100,"Nervous"
"Male","No","Small_Town","White","Christian",5,31,2.8,9,21,4,1,"16","High_School",1,2,3,0,"No",0,3,7,5,10,0,50,"Nervous"
"Female","No","Small_Town","White","Christian",8,30,4,0,0,2,2,"14","High_School",2,1,5,2,"No",8,5,7,3,8,0,100,"Some Idea"
"Male","Yes","suburbs","Hispanic","Christian",6,27,3.1,0,20,1,2,"14","High_School",5,2,3,5,"No",7,6,7,8,4,0,50,"Grad School"
"Male","No","suburbs","Asian","Hindu",4,29,3.2,12,10,5,1,"16","College",2,2,5,5,"No",0,6,6,10,10,0,100,"Grad School"
"Male","Yes","suburbs","White","Christian",8,25,3.6,18,14,10,2,"15","College",2,10,4,5,"No",8,10,9,5,9,0,0,"Grad School"
"Female","Yes","suburbs","White","Christian",6,26,3.7,10,14,5,0,"14","College",2,3,6,0,"No",4,6,5,2,3,0,100,"Nervous"
"Male","No","suburbs","White","Christian",6,35,3.9,1,0,0,0,"16","High_School",1,1,5,9,"No",9,8,7,10,8,0,50,"Grad School"
"Female","No","suburbs","Asian","Buddhist",7,34,3.6,8,2,0,0,"still_waiting","College",5,3,3,3,"Yes",2,3,5,2,6,15,20,"Nervous"
"Female","No","suburbs","White","Jewish",2,23,4,5,12,5,3,"17","High_School",1,4,2,1,"No",0,8,9,5,10,30,0,"Nervous"
"Female","No","Small_Town","White","Christian",6,29,3.6,2,3,1,1,"14","High_School",3,1,5,5,"No",2,10,7,10,9,0,70,"Some Idea"
"Male","No","big_city","Asian","Christian",5,33,3.7,0,0,0,0,"still_waiting","middle_school",0,5,5,8,"No",5,7,2,7,4,0,100,"Some Idea"
"Male","No","suburbs","White","Christian",7,24,3.1,4,4,3,2,"6","High_School",1,3,6,0,"No",0,0,3,5,4,0,100,"Nervous"
"Male","Yes","suburbs","White","Christian",7,29,1.4,18,40,4,1,"11","High_School",1,2,6,7,"No",3,6,7,5,7,0,90,"Nervous"
"Male","Yes","Medium_City","White","Christian",5,26,3,30,43,7,1,"15","College",3,3,5,3,"No",2,5,5,4,10,0,50,"Nervous"
"Female","No","Small_Town","White","Christian",5,29,3.2,1,1,1,1,"14","High_School",10,2,8,1,"No",1,5,5,5,9,0,90,"Grad School"
"Female","No","Small_Town","White","Christian",8,34,3.7,12,15,1,2,"15","College",1,3,4,0,"No",2,2,3,9,6,0,30,"Nervous"
"Female","Yes","Small_Town","White","Agnostic",0,29,3.7,3,4,3,1,"12","High_School",2,1,4,3,"No",0,6,10,7,9,15,10,"Concrete Plan"
"Female","Yes","suburbs","White","Christian",7,27,3.3,9,15,2,2,"14","College",2,3,10,0,"No",3,7,8,4,9,10,60,"Nervous"
"Female","No","big_city","Asian","Agnostic",0,31,4,4,0,0,0,"20","College",1,2,8,5,"No",5,5,5,8,9,0,100,"Grad School"
"Female","No","big_city","Hispanic","Agnostic",2,25,1.5,0,0,8,2,"14","High_School",5,3,3,5,"Yes",5,3,5,5,8,15,50,"No Idea"
"Female","No","Medium_City","White","Agnostic",0,28,3.9,3,5,0,0,"still_waiting","College",2,1,4,5,"No",0,2,3,0,9,0,60,"Grad School"
"Male","No","suburbs","White","Jewish",3,25,3,10,20,2,0,"17","High_School",5,3,5,0,"No",0,5,8,5,9,0,50,"No Idea"
"Male","No","suburbs","Asian","Muslim",6,25,3.1,7,0,0,0,"still_waiting","College",3,5,4,3,"No",4,5,9,7,8,15,0,"No Idea"
"Female","No","big_city","Asian","Muslim",7,31,3.8,0,0,0,0,"still_waiting","High_School",7,3,16,5,"No",4,3,3,2,7,0,100,"Nervous"
"Female","Yes","big_city","Other","Atheist",0,28,3.3,6,10,2,2,"16","College",4,3,5,0,"No",5,3,5,5,7,0,100,"Grad School"
"Female","No","suburbs","Asian","Christian",7,25,2.7,6,2,2,2,"18","1st_5th_grade",3,3,2,1,"No",5,5,4,4,8,0,90,"Grad School"
"Female","No","Small_Town","White","Christian",8,26,2.7,1,4,1,1,"16","College",5,7,3,2,"No",7,7,6,7,10,0,100,"Nervous"
"Male","No","big_city","Hispanic","Christian",6,28,2.9,1,4,1,2,"17","College",1,2,4,0,"No",3,5,8,0,9,0,100,"Nervous"
"Female","No","suburbs","Hispanic","Agnostic",2,27,3.1,0,0,3,1,"14","College",7,3,2,0,"No",0,1,1,5,10,10,0,"Concrete Plan"
"Female","No","big_city","Hispanic","Other",6,23,2.5,7,5,3,1,"16","College",6,2,5,0,"Yes",9,5,3,1,6,15,0,"Some Idea"
"Female","No","big_city","Black","Agnostic",6,22,3.2,1,0,2,2,"14","College",2,5,4,0,"No",0,4,0,2,9,10,0,"Nervous"
"Male","No","big_city","White","Buddhist",2,32,2.8,10,10,5,1,"12","0_Kindergarten",2,1,4,0,"No",0,4,6,3,10,0,70,"Some Idea"
"Female","No","suburbs","Other","Agnostic",0,31,3.5,15,8,1,1,"13","College",0,5,9,0,"No",0,0,3,5,6,0,100,"Nervous"
"Male","No","suburbs","White","Atheist",0,31,3.5,6,30,1,0,"3","College",1,1,10,0,"No",5,0,5,5,2,0,100,"Concrete Plan"
"Female","No","Small_Town","Asian","Hindu",7,28,3,0,0,0,0,"still_waiting","High_School",3,10,10,0,"No",5,5,1,0,9,0,100,"Nervous"
"Male","Yes","suburbs","White","Jewish",6,30,3,18,32,2,1,"19","College",4,10,6,2,"No",2,3,3,2,8,0,100,"Nervous"
"Male","No","suburbs","White","Christian",1,30,3.2,10,10,0,0,"17","College",2,1,7,5,"No",5,3,7,6,8,0,20,"No Idea"
"Female","Yes","suburbs","White","Christian",8,26,3.8,1,0,1,1,"12","High_School",10,2,4,1,"No",9,4,4,0,10,0,90,"Grad School"
"Female","No","Medium_City","White","Christian",6,27,3.8,0,0,0,0,"still_waiting","0_Kindergarten",0,1,3,10,"No",10,10,9,10,9,0,100,"Grad School"
