"gender","genderID","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","callParents","socialMedia","texts","goodOrWell","expectedIncome","indepVsRespect","curiosityVsManners","selfRelianceVsObedience","considerateVsWellBehaved","primary","president","liberal","politicalParty","gradeVsLearning","parentRelationship","workHr","tuition","career","section"
"Female","Female","Yes","Big City Subrub","White","Agnostic",0,31,3.5,12,10,0,0,"18","college",3,"2",7,7,100,"respect for their elders","curiosity","self-reliance","being considerate","John Kacich","Hillary Clinton",5,"Independent",3,10,0,100,7,"L1"
"Male","Male","No","Medium City","Asian","Atheist",0,31,3.5,1,0,1,1,"17","college",1,"4",2,5,100,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Independent",3,9,0,50,4,"L1"
"Female","Female","No","Small Town","White","Christian",4,26,4,3,0,0,0,"16","high school",3,"2",10,5,90,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",0,"Democratic",4,6,0,70,7,"L1"
"Female","Female","No","Big City","Black","Christian",7,23,3.4,15,1,1,1,"18","high school",5,"10 or more",13,2,70,"respect for their elders","good manners","obedience","well-behaved","Bernie Sanders","Hillary Clinton",1,"Democratic",4,9,0,10,5,"L1"
"Female","Female","No","Big City","Black","Muslim",8,24,3.3,0,0,0,0,"still waiting","college",7,"6",5,5,100,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Other",3,"Independent",0,9,0,10,3,"L1"
"Female","Female","No","Medium City","Asian","Agnostic",1,31,4,7,7,0,0,"still waiting","lower grades",4,"3",4,9,100,"respect for their elders","good manners","obedience","well-behaved","Hillary Clinton","Hillary Clinton",1,"Democratic",4,8,0,70,7,"L1"
"Male","Male","Yes","Big City Subrub","White","Christian",8,32,3.7,6,45,8,2,"13","college",9,"3",13,7,300,"respect for their elders","curiosity","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",6,"Republican",7,10,0,80,9,"L1"
"Female","Female","No","Big City Subrub","White","Religious but not one of the above",5,26,3.8,10,20,0,0,"still waiting","college",4,"3",11,5,15,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",5,"Independent",5,7,0,20,0,"L1"
"Female","Female","Yes","Big City Subrub","White","Jewish",5,29,3.6,14,25,5,3,"13","high school",2,"4",3,4,100,"respect for their elders","curiosity","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",5,"Democratic",1,10,0,100,10,"L1"
"Female","Female","No","Big City Subrub","White","Christian",5,24,4,8,8,1,1,"12","high school",10,"2",4,0,100,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","Unsure",5,"Republican",3,10,5,0,0,"L1"
"Female","Female","No","Big City","Black","Christian",8,20,2.8,5,2,1,2,"16","high school",3,"8",4,6,70,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",5,"Democratic",7,8,15,0,5,"L1"
"Male","Male","No","Big City Subrub","White","Muslim",5,22,3.8,5,3,2,1,"14","middle school",10,"3",2,5,50,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Hillary Clinton",5,"Republican",5,9,0,50,4,"L1"
"Male","Male","No","Big City","Hispanic","Christian",6,20,3.7,20,15,0,0,"15","college",3,"5",20,9,85,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",5,"Democratic",5,10,0,100,8,"L1"
"Male","Male","No","Medium City","Black","Christian",5,19,3.4,10,3,50,1,"11","middle school",1,"10 or more",3,0,100,"independence","good manners","self-reliance","well-behaved","Bernie Sanders","Unsure",3,"Democratic",5,10,20,0,5,"L1"
"Female","Female","No","Medium City","White","Agnostic",4,25,3.6,7,5,0,0,"17","college",2,"4",10,4,50,"independence","curiosity","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",3,"Democratic",3,7,10,10,6,"L1"
"Male","Male","Yes","Medium City","White","Christian",6,34,3.1,8,40,1,1,"15","college",2,"1",10,7,250,"respect for their elders","curiosity","self-reliance","being considerate","Other","Other",5,"Republican",6,10,10,40,8,"L1"
"Female","Female","No","Big City Subrub","White","Christian",2,31,3.6,12,8,5,1,"14","high school",6,"6",10,5,60,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Unsure",4,"Democratic",4,9,20,100,7,"L1"
"Female","Female","Yes","Big City Subrub","Asian","Christian",5,29,3.5,20,20,0,0,"16","high school",7,"5",11,6,100,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Unsure",5,"Republican",2,8,0,60,7,"L1"
"Female","Female","No","Medium City","Black","Christian",5,25,3,6,2,1,1,"13","college",10,"3",3,7,100,"independence","good manners","obedience","well-behaved","Hillary Clinton","Hillary Clinton",1,"Democratic",2,10,0,90,7,"L1"
"Male","Male","No","Big City Subrub","Asian","Buddhist",5,27,3.7,7,7,0,1,"17","college",1,"3",8,7,110,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Unsure",5,"Democratic",3,8,0,100,7,"L1"
