"gender","genderID","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","socialMedia","texts","goodOrWell","parentRelationship","workHr","tuition","career"
"Female","Female","No","Big City","Asian","Buddhist",8,29,3.6,0,0,2,0,"still waiting","college",3,"10 or more",5,8,10,10,100,"No Idea"
"Female","Female","No","Big City","Asian","Atheist",0,21,3,0,0,0,25,"still waiting","kindergarten",15,"2",10,10,10,10,100,"Concrete plan"
"Female","Female","No","Big City Subrub","Asian","Agnostic",0,32,3.9,10,0,0,1,"15","middle school",0,"2",5,7,7,0,100,"Concrete plan"
"Male","Male","Yes","Medium City","White","Christian",10,31,3.8,8,0,0,0,"16","high school",2,"4",5,6,9,15,100,"Grad School"
"Female","Female","No","Big City","Other","Atheist",0,28,3.4,1,0,0,0,"still waiting","high school",2,"1",4,9,5,0,10,"Nervous"
"Female","Female","Yes","Big City Subrub","White","Christian",8,25,3.8,10,10,0,1,"13","college",7,"2",5,6,8,0,100,"Nervous"
"Male","Male","No","Big City Subrub","Asian","Hindu",4,28,3,0,0,0,0,"still waiting","lower grades",7,"4",3,10,9,0,70,"Nervous"
"Female","Female","Yes","Small Town","White","Christian",5,26,3,8,5,3,1,"14","high school",2,"5",5,5,10,0,90,"Nervous"
"Female","Female","No","Big City Subrub","Hispanic","Other Religion",4,24,3.9,0,0,0,0,"18","kindergarten",7,"2",3,0,9,0,10,"No Idea"
"Female","Female","No","Big City","Asian","Buddhist",4,31,4,1,0,0,0,"12","middle school",3,"4",1,6,7,10,90,"Some Idea"
"Male","Male","No","Medium City","Asian","Hindu",7,32,3.5,0,0,0,0,"still waiting","high school",4,"2",7,8,9,5,100,"Nervous"
"Female","Female","No","Medium City","Hispanic","Christian",2,27,3.1,9,10,0,0,"18","lower grades",4,"3",5,3,6,0,40,"Nervous"
"Male","Male","No","Big City Subrub","White","Jewish",4,29,3.3,8,25,10,2,"13","high school",1,"2",10,4,9,15,90,"Some Idea"
"Female","Female","Yes","Small Town","Hispanic","Christian",6,22,3.3,10,20,14,1,"14","college",7,"7",5,10,9,0,0,"Grad School"
"Male","Male","No","Big City","Black","Christian",5,21,1.7,9,0,0,1,"12","college",6,"3",10,10,10,10,0,"Grad School"
"Female","Female","No","Small Town","Asian","Atheist",0,31,3.7,0,0,3,4,"18","middle school",2,"5",5,7,9,0,100,"Some Idea"
