"gender","genderID","height","weight","shoeSize","schoolYear","studyHr","GPA","ACT","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"Male","Male",66,200,10.5,"Sophomore",2.5,3.5,24,1,2,25,5,7,3,47,49,6,"few",60
"Female","Female",66,142,7.5,"Freshman",3,3.8,26,1,1,80,11,4.5,21,37,47,4,"few",60
"Male","Male",65,160,10.5,"Freshman",3,3.9,33,6,0,0,45,7.5,4,43,46,8,"few",10
"Female","Female",68,118,7.5,"Sophomore",3,3.9,28,0,1,105,9,7.5,25,54,53,8,"few",25
"Female","Female",61,173,9,"Sophomore",0.5,2.8,21,1,3,90,7,8,13,35,60,7,"one",0
"Female","Female",66,125,8,"Sophomore",2.5,2.3,20,0,0,50,3,6,20,40,41,3,"dozens",50
"Female","Female",67,120,6.5,"Sophomore",1,3.6,30,3,2,100,5,9.5,15,55,58,4,"hundreds",10
"Male","Male",75,195,11.5,"Freshman",4,3.5,22,1,1,103,36,8,6,52,58,2,"one",40
"Female","Female",65,130,8.5,"Sophomore",7,3.7,26,1,2,70,25,9,10,52,52,2,"thousands",100
"Female","Female",61,115,7.5,"Sophomore",2,3.5,22,0,2,100,40,7,20,49,54,3,"one",50
"Male","Male",71,140,10.5,"Freshman",1,3.7,33,4,2,102,55,6.5,6,50,53,1,"dozens",95
"Female","Female",69,175,12,"Freshman",3,3.8,25,4,2,130,7,7,9,54,58,5,"few",40
"Female","Female",67,150,8,"Freshman",3,4,29,7,3,105,15,8,17,50,51,6,"hundreds",99
"Female","Female",69,149,9.5,"Freshman",2.5,3.8,19,0,1,80,0,7,8,59,47,4,"few",100
"Female","Female",67,124,8.5,"Sophomore",7,3.7,22,7,0,92,70,8,15,49,50,4,"few",52
"Female","Female",60,115,6,"Sophomore",2,2.4,20,12,2,200,300,7,46,36,39,2,"one",60
"Female","Female",64,115,7.5,"Freshman",3,4,27,0,1,40,0,7,16,50,50,8,"few",80
"Female","Female",61,120,6.5,"Sophomore",4,3.1,25,5,2,90,4,7,15,45,47,4,"one",21
"Female","Female",65,150,9.5,"Sophomore",2,3.5,26,3,1,95,50,9,25,51,60,7,"dozens",75
"Female","Female",67,161,10,"Freshman",3.5,4,23,10,1,105,0,5.5,20,49,60,10,"few",100
"Female","Female",61,130,6.5,"Freshman",3,4,28,6,2,100,75,7,20,49,57,4,"one",90
"Female","Female",66,115,9.5,"Freshman",1.5,4,24,10,1,105,200,7.5,5,49,52,5,"few",100
"Male","Male",68,120,8.5,"Sophomore",2,2.8,25,0,1,100,12,8,4,54,52,9,"few",50
"Female","Female",64,150,8.5,"Freshman",4,3.7,29,2,2,90,14,6.5,32,55,60,7,"hundreds",50
"Female","Female",69,120,7.5,"Freshman",2,4,25,1,2,90,0,5,20,50,51,5,"thousands",90
"Male","Male",76,210,13,"Freshman",0.5,4,27,1,1,85,24,6.5,8,48,49,5,"one",100
"Female","Female",68,126,9.5,"Freshman",4,4,24,2,1,125,40,8.5,30,50,51,2,"one",50
"Female","Female",63,120,8.5,"Sophomore",1,2.8,24,9,0,90,110,9,100,58,60,7,"one",10
"Male","Male",67,155,10,"Sophomore",2,3.3,33,1,1,95,30,7,15,51,49,4,"few",40
"Female","Female",58,87,4,"Freshman",2.5,4,24,0,1,65,200,7.5,25,60,60,4,"one",65
"Female","Female",66,130,8,"Freshman",3.5,3.6,23,2,3,90,300,7.5,7,42,43,3,"one",50
"Female","Female",61,100,4.5,"Sophomore",2.5,2.6,20,3,3,0,0,7,6,54,60,6,"one",97
"Female","Female",61,125,6,"Junior",2,3.1,18,3,1,100,1000,7,15,45,46,9,"one",50
"Male","Male",69,260,13,"Freshman",1,3,22,4,2,120,2,5,12,48,52,4,"one",40
"Female","Female",58,108,5.5,"Freshman",3,4,22,1,0,20,30,5.5,10,47,52,3,"one",10
"Female","Female",62,110,6,"Graduate",8,3.2,29,0,0,0,100,7,5,46,56,7,"few",30
"Female","Female",66,125,8,"Junior",2.5,3.8,31,2,2,95,15,8,15,51,51,4,"few",100
"Female","Female",67,130,8,"Sophomore",1,3.5,31,4,4,20,15,8,10,53,53,8,"one",50
"Male","Male",65,145,10,"Sophomore",1,2.9,31,4,2,120,20,8,5,54,55,2,"dozens",25
"Female","Female",70,132,9.5,"Freshman",2,4,24,2,2,80,40,8,14,46,46,4,"one",55
"Male","Male",66,117,9.5,"Sophomore",2,3,36,0,1,127,24,7.5,8,48,47,7,"few",80
"Female","Female",63,147,9,"Sophomore",2,3.8,28,5,4,95,21,7,5,45,45,3,"thousands",100
"Female","Female",63,152,8,"Freshman",2,4,23,1,1,57,0,8,9,47,45,5,"one",3
"Male","Male",72,145,11,"Sophomore",4,3.6,28,1,3,131,20,6,7,50,60,7,"few",30
"Male","Male",72,230,11.5,"Freshman",2,3.5,32,1,1,115,10,6,4,48,49,7,"one",0
"Female","Female",65,130,8,"Freshman",10,4,24,10,2,120,40,5.5,25,54,52,6,"few",60
"Male","Male",70,220,12,"Sophomore",5,3.4,21,15,4,90,0,8,3,42,45,9,"one",100
"Female","Female",67,215,11,"Sophomore",1,3.6,27,1,6,92,12,6,20,53,48,9,"hundreds",100
