"gender","genderID","greek","homeTown","ethnicity","religion","religious","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","callParents","socialMedia","texts","goodOrWell","expectedIncome","indepVsRespect","curiosityVsManners","selfRelianceVsObedience","considerateVsWellBehaved","primary","UScitizen","president","execttiveOrder","liberal","politicalParty","gradeVsLearning","parentRelationship","workHr","tuition","career","section"
"Female","Female","Yes","Medium City","White","Christian",7,3.5,12,15,3,2,13,5,2,4,0,90,"independence","curiosity","self-reliance","being considerate","Unsure","Yes","Donald Trump",4,7,"Republican",3,8,0,90,9,"L1"
"Female","Female","No","Big City","Hispanic","Jewish",3,2.2,10,25,7,25,15,2,10,8,5,85,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",0,5,"Democratic",6,9,0,90,7,"L1"
"Female","Female","Yes","Big City Subrub","White","Agnostic",0,3.6,8,25,3,2,13,4,5,10,2,60,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Yes","Chose not to vote",4,4,"Democratic",5,10,5,50,10,"L1"
"Female","Female","No","Big City","East Asian","Atheist",0,2.9,5,2,0,0,26,0,4,6,6,250,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,3,"Democratic",5,7,15,100,2,"L1"
"Female","Female","No","Big City Subrub","White","Christian",6,3.4,8,8,2,2,16,2,1,12,5,150,"respect for their elders","good manners","obedience","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,4,"Democratic",5,10,0,100,6,"L1"
"Male","Male","No","Big City","Hispanic","Religious but not one of the above",0,2.4,0,1,0,0,26,2,4,6,7,60,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,2,"Democratic",3,10,0,20,5,"L1"
"Female","Female","No","Small Town","White","Atheist",0,2,0,0,4,4,15,4,7,3,4,70,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,3,"Democratic",5,8,35,0,7,"L1"
"Female","Female","No","Big City Subrub","White","Christian",5,3.8,20,20,0,1,17,5,4,14,0,50,"respect for their elders","good manners","self-reliance","well-behaved","Hillary Clinton","Yes","Hillary Clinton",0,3,"Democratic",5,8,0,20,5,"L1"
"Male","Male","No","Big City","Hispanic","Atheist",0,2.2,8,4,5,3,12,3,4,3,10,80,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,2,"Democratic",3,6,0,100,8,"L1"
"Female","Female","Yes","Big City","White","Christian",4,3.6,15,40,2,1,15,4,2,7,5,75,"respect for their elders","good manners","obedience","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,3,"Democratic",2,9,0,90,1,"L1"
