"gender","greek","homeTown","highSchool","age","major","ethnicity","belief","religion","religious","expectedIncome","followElection","president","liberal","environment","terrorism","economicInequality","racism","genderEquality","security","familyVal","gunControl","taxes","bigMoney","illegalImmigrants","farRightPol","farLeftPol","religiousFanatics","terrorists","foreignPowers","notVote","politicalParty","voteMar","voteNov","gradeVsLearning","parentRelationship","workHr","tuition","voteParent"
"Male","No","Big City Subrub","No",18,"Community Health","White","Evolution","Christian",0,120,"some","Bernie Sanders",5,8,9,8,8,9,10,9,5,6,8,7,5,5,5,10,8,7,"Republican",4,5,7,10,0,100,"Unsure"
"Male","Yes","Big City","In some classes",19,"Undeclared","Hispanic","Divine Guidance","Other Religion",5,30,"closely","Bernie Sanders",8,10,7,9,10,10,10,7,10,10,10,1,10,5,8,6,8,10,"Democrat",10,10,7,7,10,0,"Yes"
"Female","Yes","Big City","Yes",18,"MCB","Other","Evolution","Christian",7,750,"closely","Hillary Clinton",5,10,10,7,6,10,2,4,10,2,1,10,10,10,10,10,4,10,"Democrat",10,10,0,10,0,20,"Yes"
"Female","Yes","Big City Subrub","Not Sure",19,"Psychology","White","Evolution","Christian",1,90,"closely","Bernie Sanders",2,10,9,9,8,7,6,3,2,3,9,5,0,9,7,7,2,5,"Democrat",5,9,5,10,0,0,"No"
"Male","Yes","Medium City","Yes",20,"Political Science","Asian","Evolution","Atheist",0,200,"very closely","Bernie Sanders",3,9,10,10,9,9,5,4,7,9,6,5,7,3,9,10,8,10,"Democrat",10,10,7,10,10,30,"Unsure"
"Female","Yes","Medium City","Not Sure",18,"Psychology","White","Evolution","Christian",2,100,"very closely","Bernie Sanders",1,10,6,10,10,10,5,2,5,4,7,3,10,4,5,4,6,10,"Democrat",10,10,7,6,0,10,"No"
"Female","Yes","Big City Subrub","Yes",18,"Advertising","White","Evolution","Jewish",2,400,"some","Bernie Sanders",3,3,10,5,8,10,6,5,5,5,5,2,9,5,4,7,7,7,"Democrat",0,6,0,9,0,100,"No"
"Female","Yes","Big City","Not Sure",18,"undeclared","Hispanic","Divine Guidance","Christian",4,80,"some","Bernie Sanders",2,10,3,10,7,10,3,0,5,9,10,2,2,10,8,3,7,9,"Democrat",10,10,1,8,10,10,"Yes"
"Other","No","Big City Subrub","Not Sure",19,"Community Health","White","Divine Guidance","Christian",3,100,"very closely","Bernie Sanders",1,4,4,6,7,10,2,0,9,4,10,0,1,1,7,4,3,10,"Democrat",1,10,5,7,0,100,"No"
"Other","No","Medium City","Yes",18,"Journalism","Black","Divine Guidance","Agnostic",6,500,"closely","Bernie Sanders",1,7,8,9,10,10,4,2,5,5,10,3,9,1,10,8,5,4,"Democrat",-1,-1,5,7,10,60,"No"
"Male","No","Big City","Yes",19,"Math","Asian","Evolution","Agnostic",0,200,"some","Hillary Clinton",0,5,8,3,9,0,2,5,10,10,2,5,6,5,5,10,10,4,"Independent",-1,-1,4,8,0,100,"Yes"
"Female","No","Medium City","Yes",18,"Political Science","Hispanic","Divine Guidance","Christian",6,150,"very closely","Hillary Clinton",3,7,9,9,10,10,7,5,6,7,8,2,9,5,3,8,5,10,"Democrat",10,10,5,8,0,100,"Yes"
"Female","No","Big City","In some classes",19,"Molecular and Cellular Biology","White","Evolution","Jewish",2,150,"some","Unsure",5,8,10,5,10,10,4,1,3,7,8,4,9,4,10,7,6,5,"Independent",0,10,4,8,15,0,"Yes"
"Male","No","Big City","Not Sure",19,"Architecture","Hispanic","Evolution","Atheist",0,150,"closely","Bernie Sanders",4,9,10,8,7,4,2,5,1,6,8,0,7,7,3,10,5,1,"Democrat",0,0,6,8,0,0,"Yes"
"Male","No","Big City Subrub","Yes",19,"Industrial Design","White","Divine Guidance","Christian",7,80,"some","Bernie Sanders",3,8,7,8,10,8,4,5,8,7,9,4,6,6,8,7,6,8,"Democrat",0,6,6,9,0,100,"Unsure"
"Male","Yes","Big City Subrub","Not Sure",19,"psychology","White","Evolution","Jewish",4,150,"very closely","Bernie Sanders",2,10,6,7,9,9,2,0,7,3,8,3,10,2,2,4,3,6,"Democrat",10,10,5,7,0,70,"No"
"Male","Yes","Big City","Yes",19,"Economics","Hispanic","Creationism","Christian",4,300,"closely","Bernie Sanders",0,10,10,5,10,10,10,10,10,10,10,0,0,0,5,10,5,5,"Democrat",10,8,0,8,0,80,"Yes"
"Male","No","Big City Subrub","Yes",31,"Biology","Other","Evolution","Agnostic",1,100,"some","Bernie Sanders",3,10,10,10,10,10,3,0,6,2,7,1,8,6,9,9,6,3,"Democrat",3,9,7,10,30,90,"Yes"
"Male","No","Big City Subrub","Yes",18,"Social WORK","Asian","Divine Guidance","Other Religion",3,90,"some","Unsure",6,7,6,9,6,10,7,9,10,9,8,5,5,5,4,7,7,9,"Republican",-1,8,5,9,0,30,"Yes"
"Male","No","Big City","Yes",20,"chemistry","Asian","Evolution","Agnostic",1,100,"some","Unsure",5,5,8,6,3,3,3,3,10,7,8,4,5,5,2,6,9,0,"Other",0,0,8,7,5,60,"No"
"Female","No","Big City","No",20,"mcb","Asian","Evolution","Atheist",2,200,"some","Unsure",3,9,7,7,8,7,5,8,10,4,6,4,6,6,7,5,4,8,"Democrat",5,5,5,5,20,10,"Unsure"
"Female","No","Medium City","Yes",19,"Global Studies","White","Divine Guidance","Christian",3,75,"some","Hillary Clinton",4,4,6,7,4,8,3,3,5,6,7,3,4,6,1,6,2,9,"Independent",10,10,6,9,0,10,"No"
"Female","Yes","Small Town","Yes",19,"Undeclared","White","Divine Guidance","Christian",5,150,"closely","Unsure",4,2,7,7,10,10,2,0,0,0,5,5,5,5,5,5,5,5,"Independent",8,0,7,9,10,70,"Unsure"
"Male","Yes","Big City Subrub","Yes",18,"Psychology","Black","Evolution","Christian",3,150,"closely","Bernie Sanders",5,2,9,6,10,7,4,5,3,8,7,8,4,6,5,10,9,3,"Independent",9,9,7,7,40,0,"Yes"
"Male","Yes","Small Town","Yes",19,"History","White","Divine Guidance","Christian",6,75,"closely","Unsure",4,8,5,2,3,2,7,5,2,3,6,3,4,8,4,2,2,5,"Democrat",4,10,2,6,0,10,"No"
"Female","No","Big City Subrub","Yes",19,"Elementary Education","White","None of the above","Atheist",0,55,"very closely","Hillary Clinton",8,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,"Democrat",10,10,5,10,5,70,"Yes"
"Male","Yes","Big City","Yes",19,"Elementary Education","Hispanic","Evolution","Other Religion",7,6,"some","Bernie Sanders",3,3,6,7,5,5,7,5,7,7,5,3,5,5,5,5,5,5,"Democrat",10,8,2,9,5,0,"Yes"
"Male","No","Big City","Yes",19,"Undeclared","Black","Divine Guidance","Christian",8,100,"some","Unsure",5,10,10,10,10,10,6,8,10,5,8,4,5,5,5,10,7,7,"Democrat",10,10,8,8,10,90,"Yes"
"Male","No","Big City","Yes",18,"Physic","Asian","Evolution","Christian",1,12,"closely","Donald Trump",5,3,10,3,1,0,10,0,10,7,5,10,7,7,7,5,3,0,"Other",-1,-1,0,6,0,100,"Unsure"
"Female","No","Big City Subrub","Yes",21,"Global Studies","Asian","None of the above","Christian",3,300,"some","Hillary Clinton",0,3,7,5,10,10,7,5,7,7,7,7,0,0,7,7,7,0,"Other",0,0,5,7,0,100,"Unsure"
"Female","No","Medium City","In some classes",19,"MCB","Asian","Evolution","Atheist",0,200,"some","Bernie Sanders",3,8,7,6,8,7,5,2,2,6,8,4,8,8,6,7,3,6,"Democrat",0,7,7,9,0,100,"Yes"
"Female","No","Big City Subrub","Yes",18,"Psychology","Hispanic","None of the above","Atheist",0,60,"some","Bernie Sanders",0,5,8,10,10,10,10,2,10,3,10,0,9,5,6,7,4,8,"Democrat",10,10,8,10,10,10,"Yes"
"Male","No","Big City Subrub","Yes",19,"DGS","Asian","None of the above","Agnostic",0,10,"some","Unsure",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other",-1,-1,0,0,0,0,"Unsure"
"Male","No","Small Town","No",20,"Food Science","White","Divine Guidance","Christian",5,70,"some","Unsure",7,7,7,6,5,5,6,7,5,6,6,6,6,6,6,6,6,4,"Republican",2,6,6,10,0,0,"Yes"
"Male","No","Big City","In some classes",19,"Business","Black","Divine Guidance","Christian",8,200,"some","Bernie Sanders",4,6,10,6,10,8,7,10,7,5,10,2,5,5,2,10,6,5,"Democrat",6,10,5,7,0,0,"Yes"
"Female","No","Small Town","Yes",18,"DGS","Asian","Creationism","Atheist",1,5,"some","Hillary Clinton",2,2,10,4,2,7,3,5,10,8,3,6,6,7,5,10,5,5,"Democrat",3,6,6,6,0,80,"Yes"
"Male","No","Big City","Yes",18,"Broadcasting Journalism","Black","Divine Guidance","Christian",4,95,"some","Bernie Sanders",5,3,10,10,10,7,8,1,9,5,10,0,0,0,5,0,3,9,"Democrat",10,10,7,10,15,0,"Yes"
"Male","No","Medium City","Yes",27,"History","White","Evolution","Agnostic",0,50,"very closely","Bernie Sanders",3,10,7,6,5,6,0,0,9,0,10,1,5,5,10,7,3,3,"Independent",7,8,3,5,0,0,"No"
"Female","Yes","Big City Subrub","Yes",18,"Speech Pathology","White","Creationism","Christian",5,70,"some","Bernie Sanders",4,10,4,4,4,5,5,4,4,3,5,5,6,4,4,7,6,0,"Independent",0,2,0,8,0,100,"Unsure"
"Male","No","Big City","Yes",19,"Agricultural business","Black","Divine Guidance","Agnostic",0,2000,"closely","Bernie Sanders",5,5,9,10,10,8,5,3,8,9,9,5,3,3,3,7,4,2,"Democrat",10,10,4,10,40,100,"Yes"
"Male","No","Medium City","Yes",20,"Computer Science","White","Evolution","Agnostic",2,150,"closely","Unsure",5,9,7,6,7,6,6,5,5,4,7,6,5,5,7,7,6,5,"Republican",0,0,8,10,0,20,"Unsure"
"Male","Yes","Medium City","Not Sure",19,"General Engineering","White","Creationism","Christian",7,150,"very closely","Bernie Sanders",3,8,3,8,7,7,3,0,10,10,6,2,10,4,8,10,10,1,"Democrat",10,10,2,10,0,50,"Yes"
"Female","No","Big City","Yes",20,"Environmental Sustainability","Hispanic","Evolution","Agnostic",2,200,"closely","Bernie Sanders",1,9,1,7,4,6,8,5,0,2,6,2,10,1,4,7,5,9,"Democrat",10,10,6,10,10,40,"Yes"
"Female","Yes","Medium City","Yes",18,"Linguistics","White","Divine Guidance","Christian",8,100,"some","Bernie Sanders",2,10,8,8,10,10,3,0,5,5,10,0,9,5,7,7,5,5,"Democrat",2,2,3,9,0,50,"No"
"Male","No","Big City Subrub","No",19,"Architecture","White","Evolution","Atheist",1,80,"closely","Bernie Sanders",6,10,8,5,1,0,9,5,3,9,10,5,2,7,5,2,1,0,"Independent",0,1,0,9,0,90,"No"
"Female","Yes","Small Town","No",20,"Food Science and Human Nutrition","White","None of the above","Christian",5,70,"some","Ted Cruz",4,6,7,3,4,5,7,5,1,7,9,8,4,5,6,10,7,0,"Republican",0,4,5,7,5,60,"Yes"
"Male","No","Big City Subrub","No",20,"Technical Systems Management","White","Evolution","Agnostic",2,300,"very closely","Hillary Clinton",3,3,7,5,5,2,4,1,4,6,2,2,6,6,4,2,5,2,"Democrat",10,10,3,7,15,10,"No"
"Female","Yes","Big City Subrub","Yes",19,"Kinesiology","Other","Divine Guidance","Christian",5,80,"some","Unsure",5,7,7,6,4,6,6,3,5,6,3,4,5,5,8,7,7,2,"Democrat",5,10,2,8,0,100,"No"
"Female","Yes","Big City","Yes",20,"Community Health","Asian","Evolution","Agnostic",2,70,"very closely","Bernie Sanders",1,10,5,10,7,7,4,0,1,7,10,1,9,3,8,6,4,7,"Democrat",10,10,5,7,0,50,"Yes"
"Male","No","Small Town","In some classes",19,"Global Studies","White","Evolution","Atheist",0,135,"very closely","Bernie Sanders",5,10,10,10,10,10,10,5,0,10,10,0,0,0,10,5,8,4,"Independent",10,10,8,8,10,10,"No"
"Female","No","Big City Subrub","Yes",19,"Sport, Recreation, And Tourism","Black","Divine Guidance","Christian",5,50000,"closely","Bernie Sanders",5,6,10,10,10,10,8,10,6,10,10,2,5,5,7,9,9,10,"Democrat",10,10,5,5,10,80,"Yes"
"Female","Yes","Big City","Yes",18,"DGS","Asian","Evolution","Agnostic",1,50,"some","Hillary Clinton",3,10,10,10,7,10,3,7,7,8,8,2,8,7,7,10,3,6,"Independent",-1,-1,5,10,10,100,"Unsure"
"Male","No","Small Town","Yes",21,"Animal Science","White","Evolution","Agnostic",2,90,"closely","Bernie Sanders",2,8,3,4,6,5,7,3,1,2,6,2,1,7,10,6,4,6,"Democrat",10,10,7,3,0,50,"No"
"Male","No","Medium City","Yes",19,"dgs","Asian","None of the above","Agnostic",0,30,"some","Hillary Clinton",1,1,1,2,2,2,1,3,4,4,2,4,1,3,2,1,1,4,"Other",-1,-1,5,10,15,100,"No"
"Female","No","Big City Subrub","No",19,"graphic design","White","Divine Guidance","Christian",4,70,"some","Bernie Sanders",6,8,10,10,8,10,7,5,5,8,6,4,0,0,6,8,8,4,"Democrat",0,6,5,10,10,50,"No"
"Female","Yes","Big City","Yes",18,"Kinesiology","White","Divine Guidance","Christian",6,90,"some","Hillary Clinton",5,8,8,5,6,10,7,7,10,10,9,8,4,4,7,8,9,5,"Democrat",6,2,2,7,0,100,"Yes"
"Male","No","Medium City","Yes",18,"Business, Medicine","Hispanic","Divine Guidance","Christian",7,200,"some","Bernie Sanders",3,10,6,7,9,8,2,3,4,5,9,3,7,4,5,8,6,10,"Democrat",10,10,8,10,0,0,"Unsure"
"Male","No","Big City","No",18,"kinesiology","Hispanic","Divine Guidance","Christian",5,90,"some","Bernie Sanders",2,3,0,0,4,0,10,10,6,10,4,0,3,3,4,6,6,8,"Democrat",5,10,5,10,0,70,"Yes"
