"gender","greek","homeTown","ethnicity","religion","religious","expectedIncome","followElection","president","liberal","environment","terrorism","economicInequality","racism","genderEquality","security","familyVal","gunControl","taxes","bigMoney","illegalImmigrants","farRightPol","farLeftPol","religiousFanatics","terrorists","foreignPowers","notVote","policitalParty","voteMar","voteNov","gradeVsLearning","parentRelationship","workHr","tuition","voteParent"
"Male","No","Small Town","White","Christian",1,166,"closely","Marco Rubio",5,6,8,2,3,5,6,3,9,10,9,3,2,2,4,3,2,10,"Other",1,7,6,10,0,100,"Yes"
"Female","Yes","Medium City","White","Other Religion",2,50,"some","Unsure",3,5,6,7,10,8,0,3,2,4,6,4,4,4,2,4,4,2,"Other",0,7,5,8,0,100,"Unsure"
"Female","No","Big City","Other","Christian",6,450,"some","Unsure",8,2,4,8,8,8,2,9,3,3,5,3,5,5,5,4,2,3,"Independent",2,2,2,5,0,0,"Unsure"
"Male","Yes","Big City Subrub","White","Jewish",2,200,"closely","Bernie Sanders",2,7,7,10,4,5,1,0,0,5,10,1,10,10,10,9,5,4,"Democrat",10,10,10,9,0,50,"Yes"
"Male","No","Medium City","White","Agnostic",2,100,"closely","Unsure",5,8,5,5,1,1,5,1,8,4,7,3,5,2,1,5,6,0,"Independent",9,9,5,5,5,50,"Unsure"
"Female","No","Big City Subrub","Asian","Hindu",7,150,"some","Hillary Clinton",2,10,9,10,7,10,6,2,10,5,10,7,8,0,7,7,7,1,"Democrat",5,5,7,10,0,100,"No"
"Female","No","Big City","Asian","Agnostic",5,200,"some","Hillary Clinton",5,5,6,8,9,9,6,3,3,6,4,3,4,4,2,2,2,10,"Democrat",0,-1,10,8,0,100,"No"
"Male","No","Big City","Other","Christian",8,90,"some","Bernie Sanders",0,2,10,10,10,10,6,10,10,5,10,0,5,5,7,10,8,10,"Democrat",8,10,8,10,10,0,"Unsure"
"Male","No","Big City","Asian","Agnostic",1,1000,"some","Donald Trump",5,8,1,2,2,2,0,5,10,3,2,3,5,2,10,5,2,2,"Democrat",-1,-1,7,8,0,100,"Unsure"
"Male","Yes","Big City Subrub","White","Christian",6,200,"some","John Kacich",8,5,9,1,2,6,4,7,8,9,2,2,3,10,1,10,10,1,"Republican",10,10,2,10,5,100,"Yes"
"Male","No","Big City","Asian","Other Religion",2,10,"some","Unsure",2,10,10,5,8,5,5,5,5,5,7,3,5,7,8,10,7,5,"Independent",-1,-1,3,6,0,100,"Unsure"
"Male","No","Big City","Asian","Other Religion",2,10,"some","Donald Trump",2,8,6,2,8,2,3,7,8,8,9,4,4,4,9,8,3,4,"Independent",2,0,8,7,0,100,"No"
"Male","No","Big City Subrub","Asian","Christian",6,120,"closely","Donald Trump",5,3,7,9,6,5,2,2,8,10,10,0,10,4,10,2,10,8,"Independent",0,7,3,6,0,100,"Unsure"
"Male","No","Big City Subrub","Other","Christian",7,100,"closely","Bernie Sanders",2,7,9,2,10,10,6,3,10,5,5,5,5,5,5,5,5,5,"Democrat",10,10,5,7,0,50,"Unsure"
"Female","No","Big City Subrub","White","Christian",2,65,"some","Unsure",4,8,8,8,7,10,5,4,9,6,7,4,9,5,4,8,3,3,"Democrat",0,10,8,8,5,100,"Unsure"
"Male","Yes","Big City Subrub","Asian","Agnostic",0,180,"closely","Bernie Sanders",2,10,10,9,10,9,7,1,8,6,10,4,6,4,9,9,5,6,"Democrat",10,10,3,7,0,100,"Unsure"
"Female","No","Big City","Asian","Buddhist",7,10,"some","Unsure",5,8,8,10,10,9,9,10,7,9,7,6,7,7,7,8,7,4,"Democrat",0,0,5,10,0,0,"Unsure"
