"gender","genderID","ethnicity","citizen","Muslim","religious","conservative_self","conservative_parents","sexualOrientation","familyKnowsSexualOrientation","age_sexualOrientation","changeSexualOrientation","sameSexExperience","dateTransgender","MFS_self","MFS_present","MFS_attraction","gayFeelings","lesbianFeelings","sexPartners","relationship","sexInSeriousRelationship","seriousSex","sexBeforeMarriage","children","abortion","bed","birthMonth","TProll","TPconfig","foodPreference","burgers","innocentVsGuility","sexVsLove","attendance","version"
"Male","Male","White","Yes","No",4,3,4,"straight","Yes",5,"No","Yes","No",3,3,7,0,0,50,1,10,3,"Yes - I already have",2,"Always Legal","Yes","March","No preference","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","funeral",2
"Female","Female","Asian","Yes","No",3,1,4,"straight","Yes",6,"No","No","No",9,9,3,0,0,5,2,7,8,"Yes - I would",4,"Legal most of the time","No","September","Over","FOLD","Burger King","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","Asian","No","No",3,2,6,"straight","Yes",8,"No","No","No",8,6,2,0,0,4,3,5,4,"Yes - I already have",2,"Neutral","Yes","June","No preference","FOLD","Burger King","Burger King","Guilty Free","No Sex","wedding",1
"Male","Male","White","Yes","Uncertain",8,5,3,"straight","Yes",4,"No","No","No",2,2,6,0,0,9,1,7,3,"Yes - I already have",3,"Neutral","Yes","April","No preference","WAD","Mcdonalds","Burger King","Guilty Free","No Love","wedding",2
"Male","Male","Asian","No","Uncertain",0,5,5,"straight","Yes",5,"No","No","No",2,2,8,3,3,0,0,5,5,"Yes - I would",2,"Legal most of the time","Yes","March","Under","FOLD","Burger King","Burger King","Guilty Free","No Love","wedding",2
"Male","Male","White","Yes","Yes",10,10,8,"straight","Yes",20,"No","No","No",3,1,3,2,3,19,9,4,3,"Yes - I already have",12,"Neutral","No","October","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","wedding",1
"Male","Male","White","Yes","No",7,5,5,"straight","Yes",3,"No","No","No",0,3,7,0,0,3,1,8,4,"Yes - I already have",4,"Always Legal","No","December","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","Uncertain",2,1,1,"straight","Yes",6,"No","No","No",8,8,2,8,8,2,1,7,8,"Yes - I already have",2,"Legal most of the time","Yes","October","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",1
"Male","Male","Asian","Yes","Uncertain",0,0,8,"straight","Yes",11,"No","No","No",6,6,8,10,10,1,1,10,7,"Yes - I already have",1,"Always Legal","No","October","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Love","funeral",1
"Female","Female","White","Yes","No",3,6,7,"straight","Yes",6,"No","No","No",8,8,1,3,3,0,0,6,6,"Unsure",3,"Illegal most of the time","Yes","July","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",1
"Female","Female","Asian","No","No",0,5,5,"straight","Yes",12,"No","No","No",6,6,2,0,10,0,1,7,7,"Unsure",0,"Always Legal","No","November","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Male","Male","Black","Yes","Yes",1,3,3,"asexual","No",8,"Yes","Yes","Yes",1,5,2,0,1,3,4,6,5,"Yes - I already have",2,"Always Legal","Yes","March","Under","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Love","funeral",1
"Female","Female","Black","Yes","No",5,3,4,"straight","Yes",5,"No","No","No",7,8,2,3,3,0,0,1,10,"Unsure",2,"Legal most of the time","No","September","Under","FOLD","Burger King","Burger King","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","No",0,4,5,"straight","Yes",5,"No","No","No",10,10,0,0,0,3,2,8,5,"Yes - I already have",3,"Legal most of the time","No","January","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Male","Male","White","Yes","No",0,5,5,"straight","Yes",5,"No","No","No",2,1,9,1,1,1,1,10,10,"Yes - I already have",3,"Always Legal","No","December","Under","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","funeral",1
"Male","Male","Black","Yes","Uncertain",0,8,5,"straight","Yes",5,"No","No","No",2,2,7,5,5,6,2,7,5,"Yes - I already have",2,"Always Legal","No","June","Under","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","Yes",8,8,8,"straight","Yes",2,"No","No","No",10,10,0,9,9,0,1,0,5,"No",7,"Always Illegal","No","November","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Female","Female","Asian","Yes","No",8,4,2,"straight","Yes",8,"No","No","No",10,10,10,8,8,2,2,4,10,"Yes - I already have",3,"Illegal most of the time","No","September","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Male","Male","Hispanic","Yes","Uncertain",5,5,4,"straight","Yes",2,"No","No","No",3,3,6,5,5,1,1,8,3,"Yes - I already have",2,"Always Legal","No","January","Under","WAD","Burger King","Burger King","Guilty Free","No Love","funeral",1
"Female","Female","White","Yes","Uncertain",5,5,6,"straight","Yes",12,"No","No","No",8,6,1,0,0,4,4,3,8,"Yes - I already have",2,"Legal most of the time","No","February","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Female","Female","White","Yes","Yes",0,3,10,"straight","Yes",5,"No","Yes","No",5,5,9,0,0,7,3,10,7,"Yes - I already have",3,"Always Legal","Yes","September","No preference","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",1
"Male","Male","Other","Yes","Yes",7,7,8,"straight","Yes",13,"No","No","No",0,2,8,0,0,0,0,0,5,"Unsure",2,"Illegal most of the time","Yes","December","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Female","Female","Asian","No","No",6,1,4,"straight","Yes",2,"No","No","No",9,9,0,0,0,0,1,6,7,"Unsure",2,"Neutral","Yes","October","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",2
"Female","Female","White","Yes","Uncertain",2,6,6,"straight","Yes",3,"No","No","No",6,6,4,1,1,0,0,5,5,"Yes - I would",2,"Always Legal","Yes","May","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Male","Male","Black","Yes","Uncertain",6,3,3,"straight","Yes",5,"No","No","No",2,4,10,8,6,6,2,8,3,"Yes - I already have",2,"Illegal most of the time","No","August","Under","WAD","Mcdonalds","Burger King","Guilty Free","No Love","funeral",1
"Female","Female","Hispanic","Yes","No",6,2,5,"straight","Yes",2,"No","No","No",9,9,1,0,0,6,1,9,8,"Yes - I already have",2,"Always Legal","No","December","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","Asian","Yes","No",5,4,9,"straight","Yes",14,"No","Yes","No",5,3,0,8,8,0,1,3,5,"Yes - I would",3,"Legal most of the time","No","December","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Male","Male","White","Yes","Yes",2,0,1,"straight","Yes",14,"No","No","No",3,2,4,3,5,3,1,1,1,"Yes - I already have",3,"Neutral","Yes","March","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Love","funeral",1
