"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"female",68,137,10,30,"Freshman",2,2,80,30,4,51,51,5,"few",30
"female",64,160,7.5,40,"Sophomore",6,9,95,200,4,52,60,1,"one",60
"female",65,126,4.5,9,"Sophomore",2,7,100,10,4,40,45,3,"one",10
"male",74,300,11,4,"Junior",3,1,127,0,4,45,43,1,"millions",50
"male",69,165,11.5,20,"Junior",3,1,95,40,4,51,53,10,"one",80
"female",64,220,10,6,"Junior",3,4,100,9,4,44,43,8,"dozens",50
"female",64,130,8,12,"Sophomore",0,2,88,10,4,49,55,5,"few",5
"male",72,175,11,2,"Senior",2,2,120,20,4,60,59,8,"few",20
"female",61,95,5.5,10,"Sophomore",0,1,36,20,4.5,47,55,3,"few",25
"female",66,175,8.5,13,"Sophomore",2,4,85,60,4.5,44,60,2,"few",50
"male",75,174,12.5,5,"Sophomore",5,2,120,0,4.5,46,53,1,"hundreds",50
"female",66,180,10,10,"Senior",2,0,120,1,4.5,57,59,4,"one",5
"female",64,115,7.5,25,"Sophomore",4,1,93,130,4.5,46,47,9,"one",100
"female",64,195,10,6,"Senior",4,3,100,0,4.5,40,44,4,"one",96
"male",69,170,10,5,"Senior",2,2,100,7,4.5,44,54,8,"thousands",20
"male",68,150,10.5,5,"Senior",1,2,95,2,4.5,49,56,6,"few",20
"female",62,113,7,40,"Freshman",0,2,90,400,4.5,52,52,3,"few",10
"female",70,159,9.5,29,"Junior",3,2,100,70,4.5,47,49,2,"few",100
"female",64,165,9,22,"Sophomore",3,5,120,6,4.5,44,42,6,"one",25
"female",62,86,6,16,"Senior",0,0,86,16,5,49,48,6,"one",56
"female",65,152,8.5,13,"Sophomore",8,2,110,11,5,54,56,6,"one",20
"female",64,143,8.5,25,"Sophomore",3,2,75,1,5,41,43,5,"few",75
"male",74,180,13,7,"Junior",0,3,115,0,5,48,63,6,"few",20
