"gender","schoolYear","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","hoursCallParents","socialMedia","Syria","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","parentRelationship","workHr","tuition"
"Female","Freshman","No","suburbs","White","Christian",7,27,3.8,0,0,0,0,"still_waiting",5,2,0,1,"No",0,3,9,3,7,0,100
"Male","Junior","No","suburbs","Black","Muslim",10,36,3.9,0,0,0,1,"6",0,0,0,10,"Yes",10,10,10,0,0,0,0
"Male","Junior","No","big_city","Asian","Christian",8,27,3.4,0,4,2,2,"17",2,1,8,10,"No",3,5,8,5,8,0,100
"Male","Sophomore","Yes","suburbs","Asian","Christian",5,30,3.7,6,6,1,2,"16",2,1,4,2,"No",3,5,7,3,8,10,100
"Female","Junior","No","suburbs","White","Christian",4,28,3,10,4,1,1,"18",7,7,5,1,"No",4,3,6,5,7,5,100
"Male","Sophomore","No","Small_Town","Asian","Christian",4,29,3.8,10,20,1,0,"18",1,4,0,5,"No",8,5,5,5,8,15,100
"Male","Junior","No","Medium_City","Hispanic","Agnostic",1,12,3.8,0,0,4,2,"19",0,0.5,0,0,"No",3,5,9,7,0,0,0
"Male","Sophomore","Yes","Small_Town","Black","Christian",10,22,3,10,5,1,3,"15",20,2,10,10,"No",10,0,7,3,10,20,20
"Female","Sophomore","Yes","suburbs","White","Christian",8,30,2.9,27,24,2,1,"15",2,2.5,2,0,"No",6,8,8,7,9,5,100
"Female","Sophomore","Yes","Small_Town","White","Christian",2,29,3.2,6,5,2,2,"16",4,4,0,0,"Yes",0,2,8,6,10,25,30
"Female","Sophomore","Yes","suburbs","White","Jewish",5,28,3.6,8,4,1,1,"16",2,3,5,0,"No",0,0,2,6,9,5,80
"Female","Sophomore","No","suburbs","Black","Christian",5,25,3.1,3,1,4,2,"15",7,1,0,5,"No",0,5,5,5,7,0,0
