"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"male",74,190,14,3,"Sophomore",10,5,120,200,8,57,57,4,"one",100
"female",67,150,10,30,"Sophomore",3,1,100,0,8,52,54,7,"few",70
"female",60,103,7,20,"Freshman",1,0,65,300,7.5,57,52,4,"one",40
"female",66,137,8.5,6,"Freshman",1,1,85,110,8.5,37,38,10,"hundreds",95
"female",62,111,8,14,"Senior",5,1,110,0,5.5,52,51,9,"one",100
"female",67,140,9,21,"Sophomore",6,2,103,35,8,50,51,1,"one",100
"male",69,239,10,10,"Senior",1,3,105,20,7,50,50,3,"dozens",25
"female",68,135,9.5,25,"Junior",13,3,115,3,6,53,54,7,"few",5
"female",59,120,6.5,23,"Junior",2,1,88,20,7.5,50,46,7,"hundreds",10
"female",60,180,6.5,15,"Sophomore",4,2,60,0,6.5,52,52,7,"one",100
"female",69,125,9,12,"Sophomore",6,4,124,67,5,54,54,4,"few",50
"female",60,155,7,15,"Freshman",5,4,90,300,8,51,57,8,"few",71
"male",75,200,13,4,"Sophomore",9,6,90,5,5,41,65,7,"few",40
"female",63,125,7,20,"Freshman",3,0,85,30,7,57,59,8,"few",75
"male",70,180,13,3,"Sophomore",0,1,70,30,8,55,54,8,"few",20
"female",69,140,10.5,15,"Freshman",1,1,80,30,7,50,50,8,"one",50
"male",68,140,9,5,"Freshman",0,2,50,26,6.5,55,53,3,"one",35
"female",63,140,6.5,10,"Sophomore",1,3,30,3,9,42,43,8,"few",60
"female",63,130,8.5,7,"Freshman",9,7,85,3,7,42,42,7,"dozens",80
"female",60,132,8,40,"Junior",2,0,80,0,10.5,39,39,6,"few",50
"female",66,145,10,15,"Junior",1,3,85,700,6,46,58,7,"dozens",90
"female",65,183,9,10,"Sophomore",0,4,80,10,7,40,43,4,"few",5
"female",72,170,11,10,"Sophomore",7,5,91,3,6.5,43,47,7,"none",100
"female",67,122,6.5,20,"Freshman",0,2,90,15,7.5,48,50,8,"one",95
"female",64,190,9,13,"Senior",1,6,70,55,8,60,65,6,"dozens",90
"female",64,145,7,25,"Sophomore",2,1,85,120,7.5,48,52,6,"few",25
"female",63,125,8,13,"Freshman",2,2,90,60,7,54,57,7,"dozens",50
"male",71,185,11,4,"Sophomore",10,1,110,60,8,42,58,9,"thousands",100
"male",70,129,10.5,6,"Junior",3,3,100,0,8,58,61,7,"few",50
"female",66,160,9.5,12,"Sophomore",2,5,90,10,6.5,56,59,5,"few",85
"female",64,143,8,23,"Sophomore",2,2,115,85,7,50,60,5,"few",100
"female",59,120,5,15,"Sophomore",5,2,100,700,9,53,52,8,"one",100
"female",70,160,11,4,"Freshman",0,1,65,80,6,48,45,3,"few",50
"female",65,120,7,10,"Sophomore",2,1,100,20,7.5,49,51,7,"few",100
"female",62,119,5.5,30,"Junior",4,10,85,1000,7,42,43,7,"few",80
"female",66,110,7,40,"Sophomore",2,1,120,200,6.5,56,51,4,"few",10
"female",67,175,8,8,"Sophomore",1,2,80,40,8,47,47,6,"one",50
"female",63,124,7,6,"Sophomore",1,2,80,0,7,40,42,7,"one",100
"male",70,165,13,6,"Sophomore",0,3,80,0,7,51,51,5,"few",60
"male",69,142,11,3,"Sophomore",0,3,45,150,7.5,48,56,7,"few",100
"male",68,120,9.5,4,"Freshman",4,1,84,60,9,40,42,8,"thousands",100
"female",66,170,8,20,"Sophomore",1,1,100,50,8,50,53,4,"few",30
"female",66,140,9,20,"Sophomore",1,2,90,40,8,48,49,7,"few",50
"female",65,125,7,7,"Junior",1,2,80,4,6.5,48,49,4,"few",100
"female",65,140,7.5,12,"Junior",1,1,60,20,7,55,53,4,"few",100
"female",61,160,8.5,12,"Freshman",6,9,80,0,6,39,41,3,"one",95
"male",72,203,10.5,8,"Junior",4,2,105,5,7.5,53,60,5,"dozens",100
"female",65,142,8.5,18,"Freshman",0,1,70,40,7,42,50,6,"dozens",100
"male",72,185,10.5,6,"Freshman",0,1,80,200,9,46,50,4,"few",70
"female",61,115,6.5,10,"Freshman",0,2,70,3,8,46,45,9,"few",50
"female",62,107,8,15,"Sophomore",0,1,75,20,6,57,59,3,"few",98
"male",65,148,8.5,6,"Freshman",3,1,90,3,8,47,46,10,"few",35
"female",70,122,5,6,"Sophomore",5,0,20,50,8,53,56,7,"few",40
"female",60,98,6,15,"Sophomore",3,3,90,20,8,48,49,6,"dozens",90
"female",64,144,9,8,"Sophomore",0,4,90,4,6,45,43,6,"millions",99
"male",66,176,10,18,"Senior",0,0,90,6,7,55,57,3,"one",20
"female",62,160,8,30,"Freshman",0,1,75,150,7,49,51,5,"few",75
"female",67,140,7.5,50,"Freshman",3,2,90,400,8,53,55,8,"dozens",85
"female",65,160,8.5,15,"Sophomore",3,2,60,2,8,47,45,7,"one",50
"female",66,190,9,14,"Junior",2,1,100,11,6,58,57,8,"few",60
"female",78,130,7.5,18,"Sophomore",13,3,95,3,6.5,46,52,3,"few",100
"female",65,150,8,7,"Freshman",1,1,80,600,6.5,47,50,5,"one",100
