"version","gender","ethnicity","expectedIncome","healthCare","flightSearch","TProll","TPconfig","foodPreference","burgers","innocentVsGuilty","animalVsLanguage","vision","sexVsLove","abortion","gayMarriage","deathPenalty"
1,"Female","Black",125000,"Neutral","Unsure","Over","WAD","King","King","Innocent_Executed","All_Languages","Blurry","No_Sex","Rarely_Legal","Favor","Neutral"
1,"Female","Black",50000,"Neutral","Unsure","Over","WAD","King","King","Innocent_Executed","All_Languages","Blurry","No_Love","Rarely_Legal","Strongly_Favor","Favor"
1,"Female","Hispanic",125000,"Somewhat_Positive","Unsure","Over","WAD","Mac","King","Guilty_Free","Talk_Animals","Blurry","No_Sex","Always_Legal","Strongly_Favor","Strongly_Favor"
1,"Female","White",150000,"Neutral","Definitely_Yes","Over","WAD","King","King","Innocent_Executed","Talk_Animals","Blurry","No_Sex","Always_Legal","Strongly_Favor","Oppose"
1,"Female","White",200000,"Very_Negative","Unsure","Over","FOLD","Mac","Ronald","Guilty_Free","All_Languages","Black_White","No_Sex","Always_Legal","Strongly_Favor","Neutral"
1,"Female","Other",100000,"Somewhat_Positive","Unsure","Under","FOLD","Mac","King","Innocent_Executed","All_Languages","Black_White","No_Sex","Usually_Legal","Strongly_Favor","Favor"
1,"Female","Hispanic",100000,"Somewhat_Positive","Probably_Not","Over","FOLD","Mac","Ronald","Innocent_Executed","All_Languages","Black_White","No_Love","Usually_Legal","Strongly_Favor","Oppose"
1,"Male","White",75000,"Somewhat_Positive","Definitely_Not","Over","FOLD","Mac","Ronald","Innocent_Executed","All_Languages","Black_White","No_Sex","Always_Legal","Strongly_Favor","Neutral"
1,"Female","White",150000,"Neutral","Definitely_Yes","Under","FOLD","Mac","Ronald","Innocent_Executed","Talk_Animals","Blurry","No_Sex","Always_Legal","Favor","Neutral"
1,"Male","Asian",200000,"Neutral","Probably_Yes","Over","FOLD","King","Ronald","Guilty_Free","All_Languages","Black_White","No_Sex","Rarely_Legal","Neutral","Favor"
1,"Female","White",100000,"Somewhat_Positive","Definitely_Not","Under","WAD","Mac","King","Guilty_Free","All_Languages","Blurry","No_Sex","Usually_Legal","Favor","Favor"
