"gender","height","weight","shoeSize","schoolYear","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"male",72,150,12,"Freshman",2,1,120,25,7.5,10,53,57,2,"millions",40
"female",68,135,8,"Senior",6,1,90,40,8,15,54,56,7,"hundreds",75
"female",63,120,9,"Freshman",5,4,100,4,7,8,56,59,8,"dozens",30
"female",63,120,8.5,"Freshman",1,7,80,5,6.5,20,58,65,7,"few",7
"male",71,167,13,"Sophomore",3,1,110,5,8,5,56,55,3,"one",0
"female",68,128,9,"Sophomore",3,9,101,3,10,20,41,44,8,"few",10
"male",72,165,11,"Freshman",0,2,130,49,9.5,3,50,52,5,"one",8
"male",73,290,13,"Junior",5,5,90,80,8,3,46,45,2,"few",70
"female",67,150,9,"Freshman",4,0,90,100,7,15,55,55,3,"few",100
"male",76,190,13,"Freshman",1,1,80,100,8,4,48,50,4,"thousands",0
"female",62,111,6,"Freshman",0,2,64,80,7.5,17,37,37,5,"one",100
"female",62,110,6.5,"Freshman",0,0,20,130,7.5,15,48,51,9,"one",0
"male",71,145,10,"Freshman",1,1,85,80,6,10,51,54,8,"one",95
"female",62,130,7,"Freshman",3,1,70,40,6,30,52,52,10,"few",50
"female",64,130,7.5,"Freshman",1,1,70,100,6,10,45,48,2,"one",20
"female",62,117,8,"Sophomore",2,2,85,150,6,12,54,55,4,"one",83
"male",73,156,13,"Freshman",0,6,96,105,6.5,7,54,54,3,"few",75
"female",68,162,8.5,"Freshman",2,1,78,37,7.5,14,48,49,3,"few",15
"male",68,185,10.5,"Freshman",4,5,100,0,6,5,38,43,7,"few",10
"male",71,132,10.5,"Freshman",0,2,75,0,5,10,40,41,2,"few",90
"female",64,130,8,"Freshman",2,5,110,60,8.5,18,51,59,5,"dozens",100
"female",65,135,7,"Freshman",6,2,90,20,8,50,53,52,6,"few",50
"male",68,175,10.5,"Freshman",0,1,50,100,4,3,40,40,2,"few",30
"female",66,168,9,"Freshman",1,1,45,25,7,12,42,52,6,"few",90
"female",63,120,7,"Freshman",2,2,115,10,8,22,48,49,5,"one",100
"male",70,160,10,"Sophomore",2,5,115,1,7,8,40,43,10,"millions",3
"male",69,195,9.5,"Freshman",0,3,80,50,10,8,39,42,8,"millions",100
"male",73,168,10.5,"Junior",0,3,100,20,6,5,46,49,6,"thousands",100
"female",70,145,10,"Freshman",2,0,80,100,7.5,10,56,52,4,"few",50
"female",65,145,9.5,"Freshman",3,1,65,10,7.5,50,37,40,6,"few",50
"female",65,103,7,"Freshman",1,0,60,60,7.5,8,41,50,5,"few",50
"female",57,93,5,"Freshman",3,2,90,5,7,20,47,46,6,"dozens",100
"male",73,175,13,"Sophomore",7,1,101,50,8,3,44,45,7,"one",90
"female",64,140,8.5,"Freshman",0,3,98,75,5,7,51,51,3,"few",50
"female",64,130,8.5,"Freshman",0,1,90,24,5,13,46,49,7,"few",100
"male",69,140,10,"Freshman",4,2,125,55,7,4,50,50,8,"one",100
"male",67,170,9,"Freshman",0,0,50,0,7,5,43,45,8,"few",80
"male",69,165,10.5,"Freshman",0,2,80,130,6,8,54,53,10,"hundreds",100
"female",64,115,7.5,"Freshman",5,7,25,200,7,7,39,39,6,"one",5
"male",68,154,10.5,"Freshman",3,1,90,25,6,2,38,39,7,"one",25
"female",64,145,7.5,"Sophomore",7,2,90,1,7.5,15,55,49,9,"few",50
"male",68,196,12,"Freshman",0,1,70,10,7,6,49,50,5,"one",25
"female",67,190,8.5,"Freshman",0,1,98,40,7,17,44,45,7,"few",20
"female",64,180,8,"Freshman",6,3,85,0,8,15,47,51,8,"dozens",100
"female",67,120,8.5,"Senior",1,1,75,35,6.5,15,56,62,7,"one",50
"male",69,125,9.5,"Junior",4,2,100,0,8,7,47,48,2,"one",0
"male",72,145,11,"Senior",6,1,120,0,9,5,53,65,7,"few",10
"male",71,182,12,"Sophomore",2,6,100,20,6.5,6,41,41,3,"one",25
"female",66,165,9,"Freshman",9,2,90,40,8,15,48,57,7,"one",15
"male",73,202,13,"Freshman",4,2,118,101,7,7,48,48,7,"few",99
"female",64,135,7.5,"Freshman",1,3,90,15,8.5,15,42,43,7,"dozens",100
"male",75,175,11.5,"Freshman",2,1,90,70,7,7,51,55,3,"few",50
"male",72,200,13,"Freshman",1,1,80,40,8,6,39,44,7,"one",100
"male",68,135,10,"Freshman",1,1,70,31,8,4,43,43,8,"one",100
"male",69,145,10,"Freshman",0,7,80,50,8,5,56,60,7,"few",100
"female",66,220,10,"Freshman",0,1,85,0,8.5,20,48,49,8,"one",80
"male",73,150,11.5,"Freshman",5,6,100,0,5.5,20,49,50,3,"millions",10
"female",68,129,8.5,"Freshman",0,2,110,120,6,25,50,51,2,"one",98
"female",62,110,6.5,"Freshman",0,1,70,100,8,11,50,55,3,"few",80
"female",62,168,10,"Senior",5,1,70,25,7,13,44,65,7,"few",85
"female",64,140,8,"Freshman",1,2,85,40,4,25,48,49,4,"hundreds",95
"female",73,170,10,"Freshman",3,1,85,15,5.5,20,49,49,3,"few",50
"male",71,160,11,"Freshman",3,2,85,300,6,15,50,51,3,"dozens",100
"male",64,190,8.5,"Sophomore",4,1,146,10,5,4,53,47,7,"one",0
"male",67,175,11,"Freshman",1,3,100,22,6.5,7,50,52,9,"one",40
"male",75,190,12,"Junior",1,2,65,110,6,6,52,52,4,"thousands",33
"female",60,95,6,"Freshman",2,2,85,50,7,15,44,47,7,"few",75
"female",65,130,8.5,"Freshman",0,1,70,25,7,15,51,53,7,"few",100
"female",64,127,7.5,"Freshman",1,3,70,50,7,9,53,55,2,"hundreds",20
"male",69,200,11.5,"Freshman",0,2,80,20,5,4,44,49,5,"one",100
"female",62,130,8,"Senior",2,4,40,16,6.5,30,45,48,7,"one",100
"male",69,160,9.5,"Sophomore",1,2,140,41,6.5,25,52,55,5,"few",80
"female",64,120,6.5,"Freshman",15,11,120,0,7,10,60,57,7,"one",75
"male",68,157,8,"Freshman",0,1,80,300,7,5,47,49,7,"millions",95
"male",67,238,10,"Freshman",3,0,85,70,6.5,6,49,43,10,"one",10
"female",70,140,10,"Freshman",3,2,100,30,8,30,50,54,9,"few",80
"female",69,300,12,"Sophomore",0,3,20,5,6,10,40,48,7,"one",75
"female",63,124,6,"Freshman",0,2,80,3,6,10,45,57,8,"one",50
"female",67,130,8,"Freshman",5,2,65,15,7,25,54,58,7,"one",95
"female",63,130,8,"Freshman",1,1,90,5,6,15,51,51,4,"few",20
"male",68,150,9,"Junior",8,3,90,17,7.5,9,56,59,4,"few",100
"female",63,125,7.5,"Freshman",1,2,89,80,6.5,13,47,49,10,"dozens",100
"male",71,164,12,"Freshman",4,1,95,12,7,4,56,54,4,"few",100
"female",61,170,8.5,"Sophomore",0,3,90,5,7,9,50,50,3,"one",70
"female",62,125,7.5,"Freshman",2,2,90,10,8.5,12,55,58,9,"few",50
"male",77,198,12.5,"Sophomore",6,3,90,61,9,5,53,54,7,"thousands",50
"female",64,155,8,"Freshman",1,1,90,140,6.5,30,55,56,5,"one",77
"female",67,130,9,"Freshman",1,1,85,40,8,17,42,42,7,"few",6
"female",61,104,6,"Freshman",5,5,70,61,7,13,38,38,2,"one",35
"female",58,135,5.5,"Freshman",0,0,95,80,4.5,20,63,62,6,"few",99
"female",67,155,9,"Freshman",4,3,115,60,7,31,53,50,3,"few",75
"female",69,270,11,"Freshman",6,1,90,80,8,25,56,53,10,"one",80
"female",62,120,6.5,"Freshman",0,1,55,20,7,10,47,52,7,"one",90
"female",64,130,7,"Freshman",2,1,170,60,6.5,4,48,52,5,"dozens",40
"female",66,148,8,"Freshman",0,2,100,25,7,7,47,48,7,"few",40
"male",71,155,11,"Junior",6,1,110,6,7,12,50,49,2,"thousands",100
"female",48,98,5.5,"Freshman",1,0,20,20,5.5,15,42,52,3,"one",1
"male",71,176,11.5,"Junior",7,1,120,0,5,7,53,47,7,"thousands",100
