"reason","god","devil","heaven","hell","miracles","angels","ghosts","reincarnation","astrology","psychics","witches","zombies","vampires","UFO","afraidWalkAtNight","debate","debateWinner","likelyVote","candidate","environment","terrorism","economy","racism","policeBrutality","lawAndOrder","genderEquality","borderSecurity","familyValues","bigMoney","gunRights","voteParents","section"
9,10,10,10,10,5,8,8,0,0,4,1,0,2,9,"Yes","Most of it","Donald Trump",10,"Donald Trump",2,10,2,1,0,10,8,10,10,2,10,"Yes","L1"
7,2,0,4,4,6,4,7,5,7,3,0,0,0,3,"Yes","No","No opinion",5,"Hillary Clinton",10,5,7,10,10,6,10,3,5,5,2,"Yes","L1"
8,7,7,8,8,8,7,5,4,2,2,2,1,1,8,"Yes","Just a few clips","Donald Trump",2,"Gary Johnson",8,7,9,10,8,7,10,6,8,10,5,"Unsure","L1"
10,5,5,5,5,8,0,0,5,10,10,0,0,0,1,"Yes","Just a few clips","No opinion",5,"Donald Trump",9,2,3,10,3,7,10,4,8,4,7,"Yes","L1"
6,10,10,10,10,7,10,7,0,5,0,0,0,0,3,"No","Just a few clips","Hillary Clinton",10,"Gary Johnson",4,7,8,10,10,10,7,5,7,4,7,"Unsure","L1"
9,10,10,10,10,10,10,2,0,0,5,2,0,0,4,"Yes","Just a few clips","Hillary Clinton",6,"Unsure",8,6,5,9,6,5,4,2,6,5,0,"No","L1"
10,10,10,10,10,10,10,3,0,0,0,0,0,0,0,"No","All of it","Hillary Clinton",8,"Hillary Clinton",7,9,8,6,6,8,7,5,9,9,5,"No","L1"
8,10,9,10,10,8,10,4,6,4,5,1,0,0,8,"Yes","Just a few clips","Unsure",8,"Hillary Clinton",1,10,10,10,10,9,9,7,7,6,4,"Yes","L1"
8,10,1,10,6,8,2,0,2,0,0,0,0,0,0,"No","Most of it","No opinion",8,"Donald Trump",8,8,0,2,4,8,0,1,8,3,9,"Yes","L1"
10,10,10,10,10,10,10,10,7,5,8,0,0,1,2,"Yes","All of it","Hillary Clinton",10,"Hillary Clinton",8,7,8,9,7,7,10,8,0,10,0,"No","L1"
10,10,10,10,10,10,10,8,3,3,2,0,0,0,5,"Yes","Just a few clips","Donald Trump",6,"Unsure",6,8,9,8,5,9,7,5,5,8,3,"Unsure","L1"
10,10,10,9,7,10,10,10,5,9,10,5,0,0,10,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,7,10,10,10,7,10,0,0,10,3,"Unsure","L1"
10,10,10,10,10,10,10,10,5,5,10,5,0,0,3,"Yes","Just a few clips","Donald Trump",10,"Donald Trump",5,10,5,5,5,5,10,10,10,3,4,"Yes","L1"
8,8,6,7,5,6,8,6,2,9,6,6,0,0,9,"No","Most of it","Hillary Clinton",8,"Unsure",8,9,8,8,7,8,7,8,5,5,5,"Unsure","L1"
5,10,10,10,7,10,10,5,3,1,5,3,0,0,5,"Yes","No","Hillary Clinton",10,"Hillary Clinton",7,5,10,10,10,1,10,0,0,10,1,"Yes","L1"
8,1,1,8,8,6,1,6,9,2,1,1,1,0,3,"Yes","Just a few clips","No opinion",-1,"Unsure",9,8,7,9,8,8,8,3,1,7,5,"Yes","L1"
1,0,0,0,0,0,0,0,0,1,1,0,2,0,9,"Yes","All of it","Hillary Clinton",10,"Hillary Clinton",6,4,8,10,5,3,9,2,0,7,1,"Yes","L1"
8,8,6,8,6,5,7,7,3,4,5,4,2,2,1,"No","Just a few clips","No opinion",10,"Hillary Clinton",10,10,7,9,10,7,6,6,10,5,9,"Yes","L1"
7,8,0,6,6,7,6,0,0,5,8,0,0,0,4,"Yes","Just a few clips","Unsure",-1,"Hillary Clinton",8,8,7,9,7,8,9,7,8,7,0,"Unsure","L1"
10,9,6,10,6,7,10,10,10,10,8,4,2,1,10,"Yes","Just a few clips","Hillary Clinton",8,"Hillary Clinton",7,10,9,8,8,10,10,10,10,10,10,"Yes","L1"
10,2,2,2,7,2,2,4,9,0,0,0,0,4,0,"Yes","All of it","Hillary Clinton",10,"Unsure",5,9,5,10,8,10,10,10,7,6,5,"Yes","L1"
8,9,1,10,3,8,10,7,6,5,8,0,0,0,0,"Yes","Just a few clips","Hillary Clinton",1,"Hillary Clinton",7,7,9,7,7,4,9,3,6,3,3,"Yes","L1"
10,3,0,10,0,5,8,2,6,5,5,0,0,0,0,"Yes","No","Hillary Clinton",10,"Hillary Clinton",10,10,10,10,10,8,8,8,10,5,5,"Yes","L1"
6,10,1,7,7,10,9,10,4,1,3,0,0,0,2,"Yes","Just a few clips","Hillary Clinton",10,"Jill Stein",10,10,6,10,9,5,9,5,0,0,0,"Yes","L1"
8,10,10,10,10,7,10,5,0,0,1,0,0,0,0,"Yes","No","Hillary Clinton",8,"Donald Trump",8,9,8,7,3,10,7,9,8,8,9,"Yes","L1"
7,3,1,9,1,8,1,1,1,1,1,1,0,1,2,"No","No","Donald Trump",3,"Donald Trump",5,9,7,7,1,5,1,8,5,5,8,"Yes","L1"
5,3,3,3,3,5,0,7,4,10,2,0,0,0,5,"No","Most of it","Hillary Clinton",9,"Hillary Clinton",10,8,7,9,7,3,8,5,3,8,3,"Yes","L1"
7,3,0,0,0,10,0,3,4,3,3,0,0,0,0,"Yes","Just a few clips","Unsure",10,"Hillary Clinton",10,8,7,8,7,6,8,3,2,0,2,"Yes","L1"
