"gender","genderID","height","weight","shoeSize","schoolYear","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity","movie","favTV1","favTV2"
"male","male",75,250,13,"Freshman",2,1,105,85,8,15,46,46,4,"thousands",100,"The Revenant","The Walking Dead","Parks and Recreation"
"male","male",68,188,9.5,"Senior",1,8,130,30,6.5,5,43,53,7,"one",70,"interstellar","Lost","Dragon Ball Z"
"female","female",73,180,10.5,"Freshman",5,3,120,80,5.5,12,51,52,9,"one",25,"Get Hard","One Tree Hill","Parenthood"
"male","male",69,165,10.5,"Junior",2,2,115,0,8,3,59,58,8,"hundreds",50,"John Wick","Lost","The Office"
"male","male",66,124,8.5,"Freshman",0,0,0,100,8,4,40,40,8,"dozens",50,"Kongfu Panda","Kangxi Dynasty","Nirvana in Fire"
"female","female",61,115,7,"Sophomore",0,0,0,2,7.5,10,48,52,9,"few",58,"star wars tfa","new girl","parks and rec"
"female","female",71,152,8.5,"Freshman",2,1,97,200,6.5,30,50,50,9,"dozens",50,"none","Gossip Girl","90210"
"female","female",66,138,7.5,"Freshman",7,2,90,50,7,17,49,50,7,"few",100,"forest gump","how i met your mother","gossip girl"
"female","female",69,167,8.5,"Freshman",0,1,0,0,7,14,50,47,8,"few",80,"none","suits","white collar"
"male","male",75,177,11.5,"Freshman",0,1,99,37,7,5,54,58,5,"thousands",50,"Love & Mercy","Rick and Morty","The Office"
"male","male",70,150,9,"Freshman",3,1,140,400,8,50,49,49,4,"few",10,"Predestination","Big Bang Series","Walking Dead"
"male","male",65,137,9,"Junior",2,3,98,15,5,44,35,36,1,"few",100,"Lord of War","Top Boy","Gotham"
"female","female",62,120,7,"Freshman",1,4,80,70,6,10,37,57,2,"one",50,"Gone Girl","The Office","Spongebob"
"male","male",70,149,11.5,"Junior",12,1,120,1,5,6,57,62,9,"one",60,"Star Wars VII","Pokemon","Cops"
"female","female",65,118,6.5,"Sophomore",0,1,40,15,8,10,43,48,3,"thousands",90,"Nacho Libre","Game of Thrones","How I Met Your Mother"
"male","male",70,130,9.5,"Freshman",1,2,40,1000,10,10,43,45,2,"few",0,"You are The Apple of My Eye","Lost","Nirvana in Fire"
"male","male",70,177,11,"Freshman",0,2,127,20,5,10,48,49,2,"few",100,"The Revanent (Star Wars was before break)","Breaking Bad","Game of Thrones"
"female","female",61,140,7.5,"Junior",3,1,100,0,9,65,46,43,4,"one",50,"Daddy's Home","Bob's Burger","Spongebob"
"female","female",64,120,6.5,"Freshman",0,0,50,200,6,13,47,58,6,"few",20,"Star Wars","Friends","How I Met Your Mother"
"female","female",66,124,8,"Freshman",2,1,100,90,5,10,46,51,9,"few",10,"none","House M.D.","How to get away with murder"
"female","female",63,120,8,"Freshman",3,4,91,14,6.5,5,49,51,8,"few",60,"Sisters","Dexter","Supernatural"
"male","male",76,246,15,"Junior",2,2,90,18,8,10,48,57,2,"one",60,"None","Cops","Locked up raw"
"female","female",67,155,8,"Freshman",2,3,90,100,8,10,50,50,7,"one",100,"none","Friends","The Middle"
"male","male",73,193,10.5,"Freshman",4,2,100,57,7,3,48,53,8,"few",90,"Star Wars","NONE","NONE"
"female","female",66,122,7,"Freshman",1,1,104,25,5,30,54,52,10,"few",90,"Tammy","The Following","Dexter"
"male","male",67,200,8.5,"Sophomore",5,1,110,0,6,10,43,47,4,"few",50,"Star Wars Episode VII","Rick and Morty","Bob's Burgers"
"female","female",62,135,8,"Sophomore",2,1,110,48,6,12,52,57,8,"few",100,"Meet the Fockers","White Collar","Prison Break"
"male","male",69,155,10,"Sophomore",0,1,105,100,7,10,55,58,8,"thousands",60,"Star Wars: The Force Awakens","Game of Thrones","The Walking Dead"
"male","male",72,150,11,"Freshman",0,2,109,10,7,12,53,51,4,"one",11,"training day","walking dead","fresh prince of bel air"
"male","male",70,150,10.5,"Freshman",1,2,131,120,8,17,54,58,2,"hundreds",49,"harry potter","bewitched","24"
"female","female",63,120,9,"Freshman",4,1,70,0,6,10,48,51,4,"few",50,"Dope","Degrassi","Teen Mom"
"male","male",71,184,13,"Freshman",1,2,90,30,6,5,40,44,8,"one",10,"Star Wars The Force Awakens","Breaking Bad","The Office"
"female","female",62,92,6,"Freshman",2,1,61,10,8,10,41,40,6,"one",13,"none","none","none"
"female","female",62,125,6.5,"Freshman",2,1,120,90,7.5,21,47,49,6,"few",67,"none","Grey's Anatomy","Law and Order SVU"
"male","male",70,170,9.5,"Senior",2,2,100,22,7,30,59,60,3,"dozens",40,"The Revenant","Entourage","LOST"
"female","female",62,194,8,"Junior",2,1,100,8,6.5,4,45,44,6,"few",100,"none","Baby Daddy","Jane the Virgin"
"male","male",69,139,10.5,"Freshman",3,3,155,20,8.5,10,48,48,4,"few",100,"none","The office","The office"
"female","female",65,230,10,"Sophomore",7,2,0,1000,8,7,54,56,7,"few",50,"Star Wars","Martin","Empire"
"female","female",67,150,9.5,"Sophomore",25,2,90,38,8,10,48,48,8,"one",90,"The Best of Me","Friends","The Fosters"
"female","female",62,137,6,"Sophomore",0,1,76,15,7.5,7,46,50,3,"dozens",20,"Star Wars","How To Get Away With Murder","Forensic Files"
"male","male",74,195,11,"Freshman",5,3,110,6,7,5,51,53,6,"few",75,"The wind that shakes the barley","Monk","Game of thrones"
"male","male",74,180,14,"Freshman",2,2,70,0,8.5,7,55,55,8,"one",80,"Star Wars: The Force Awakens","Sherlock","The Flash"
"female","female",61,115,7,"Junior",4,7,80,100,8,12,45,50,8,"few",90,"Southpaw","The Walking Dead","Planet Earth"
"female","female",64,151,9.5,"Freshman",2,2,75,200,8,15,51,52,3,"one",100,"Sisters","New Girl","Pretty Little Liars"
"female","female",67,190,9.5,"Freshman",7,3,90,40,7,15,57,57,4,"few",90,"Road House","Parks and Recreation","RuPaul's Drag Race"
