"gender","genderID","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","callParents","socialMedia","texts","goodOrWell","expectedIncome","indepVsRespect","curiosityVsManners","selfRelianceVsObedience","considerateVsWellBehaved","primary","president","liberal","politicalParty","gradeVsLearning","parentRelationship","workHr","tuition","career"
"Male","Male","No","Big City Subrub","Asian","Hindu",5,28,3.3,4,3,0,2,"15","college",4,"1",3,7,100,"independence","curiosity","self-reliance","well-behaved","Bernie Sanders","Hillary Clinton",0,"Democratic",3,7,0,70,5
"Male","Male","No","Big City Subrub","Asian","Agnostic",1,35,3.9,2,0,0,1,"17","high school",3,"0",10,9,1000,"independence","curiosity","self-reliance","being considerate","John Kacich","Gary Johnson",5,"Libertarian",7,7,0,0,0
"Female","Female","No","Big City","Asian","Agnostic",5,34,3.8,3,0,0,0,"still waiting","middle school",5,"8",9,6,70000,"respect for their elders","curiosity","self-reliance","being considerate","Donald Trump","Jill Stein",5,"Other",5,7,30,50,6
"Male","Male","No","Medium City","White","Atheist",0,29,2.6,8,30,1,0,"18","middle school",6,"0",4,10,100,"independence","good manners","self-reliance","being considerate","Donald Trump","Donald Trump",7,"Libertarian",3,10,0,50,0
"Female","Female","No","Big City","Asian","Atheist",0,28,3.1,13,13,8,12,"13","lower grades",9,"8",9,4,2,"respect for their elders","curiosity","obedience","being considerate","Donald Trump","Jill Stein",4,"Democratic",8,10,35,80,8
"Female","Female","No","Big City Subrub","Asian","Christian",8,27,3.8,0,0,0,0,"still waiting","college",2,"3",7,7,90,"respect for their elders","curiosity","obedience","being considerate","Unsure","Unsure",7,"Democratic",5,7,0,80,4
"Female","Female","No","Big City","Asian","Atheist",2,26,3.6,0,0,3,2,"17","college",6,"1",1,5,200,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Other",5,"Other",5,8,5,100,7
"Male","Female","No","Big City","Asian","Buddhist",6,32,3.3,6,0,6,0,"17","college",2,"2",5,1,1000,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",5,"Democratic",7,9,0,100,0
"Female","Female","No","Big City","Asian","Christian",6,36,3.2,0,0,0,0,"14","middle school",5,"1",6,7,100,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",2,"Democratic",7,8,0,100,6
"Male","Male","No","Big City","Asian","Buddhist",1,30,3.3,8,0,6,2,"17","college",1,"3",7,5,1000,"respect for their elders","good manners","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",5,"Democratic",8,8,40,100,7
"Female","Female","No","Big City","Other","Christian",5,26,3.2,20,20,5,1,"15","college",1,"5",3,7,70,"independence","good manners","obedience","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",5,7,0,20,5
"Female","Female","No","Big City","Asian","Atheist",0,29,4,0,0,1,2,"14","middle school",1,"1",2,10,99999,"independence","good manners","self-reliance","well-behaved","Unsure","Unsure",5,"Other",2,8,15,100,5
"Female","Female","No","Big City","Asian","Christian",8,25,3.5,0,0,1,2,"15","high school",0,"4",5,1,10,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",7,"Other",5,8,0,20,8
"Female","Female","No","Big City","Other","Religious but not one of the above",4,25,2.9,0,0,1,2,"12","college",0,"2",2,5,60,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Jill Stein",1,"Green",5,5,0,100,5
