"city","latitude","longitude","population","country","province"
"Santiago",-33.45001382,-70.66704085,2883305.5,"Chile","Región Metropolitana de Santiago"
"Tsumeb",-19.24002846,17.71001949,13574.5,"Namibia","Oshikoto"
"Pimentel",-6.82962319,-79.92998967,14422.5,"Peru","Lambayeque"
"Lilongwe",-13.98329507,33.78330196,646750,"Malawi","Lilongwe"
"Surt",31.2099929,16.59003617,110756.5,"Libya","Surt"
"Amman",31.95002525,35.93329993,1060000,"Jordan","Amman"
"Rimnicu Vilcea",45.10999804,24.38299862,107558,"Romania","Vâlcea"
"Siena",43.31703168,11.34999426,48731,"Italy","Toscana"
"Lokoja",7.800388203,6.739939737,52650.5,"Nigeria","Kogi"
"Medea",36.27040753,2.770001179,145863.5,"Algeria","Médéa"
"Bhavnagar",21.77842389,72.12995357,509790,"India","Dadra and Nagar Haveli"
"Whangarei",-35.71995278,174.3100215,53299.5,"New Zealand","Northland"
"Stoke",53.00036826,-2.180006756,325610,"United Kingdom","Stoke-on-Trent"
"Perth",-31.95501463,115.8399987,1206108,"Australia","Western Australia"
"Skien",59.19998985,9.600023558,73330,"Norway","Telemark"
"Mizdah",31.43372601,12.98333126,16379.5,"Libya","Mizdah"
"Kaifeng",34.85000327,114.3500122,872000,"China","Henan"
"Chascomus",-35.56621539,-58.01662439,21054,"Argentina","Ciudad de Buenos Aires"
"Gyzlarbat",38.97553957,56.27779455,30229,"Turkmenistan","Balkan"
"Fortin Falcon",-23.05028685,-59.84994918,-99,"Paraguay","Presidente Hayes"
"Camaqua",-30.83963051,-51.81000065,45112.5,"Brazil","Rio Grande do Sul"
"Muineachan",54.25,-6.9666667,5937,"Ireland","Monaghan"
"Punta Arenas",-53.16498615,-70.93999577,106296,"Chile","Magallanes y Antártica Chilena"
"Crotone",39.08333661,17.12333695,59313.5,"Italy","Calabria"
"Fujin",47.2703821,132.019993,80092.5,"China","Heilongjiang"
"Sitia",35.20042116,26.09855139,8770,"Greece","Kriti"
"Toguchin",55.23767356,84.37768144,20087,"Russia","Novosibirsk"
"Guaranda",-1.60999347,-79.01001998,23933,"Ecuador","Bolivar"
"Shuangcheng",45.35034426,126.2799816,118525,"China","Heilongjiang"
"Furth",49.47001528,10.99998979,174934.5,"Germany","Bayern"
"Trujillo",9.38039512,-70.44000045,44231.5,"Venezuela","Trujillo"
"Shanghai",31.21645245,121.4365047,14797756,"China","Shanghai"
"San Juan del Sur",11.24999676,-85.86004114,5032,"Nicaragua","Nicaragua"
"Villa Angela",-27.58329181,-60.7166663,30051,"Argentina","Chaco"
"Medford",42.32662701,-122.8744227,89081.5,"United States of America","Oregon"
"Elista",46.32865664,44.20871212,99728,"Russia","Kalmyk"
"Ciudad Mante",22.73335268,-98.95001734,78299.5,"Mexico","Tamaulipas"
"Helsinki",60.17556337,24.93412634,836728.5,"Finland","Southern Finland"
"Reyes",-14.30958006,-67.37000696,7376,"Bolivia","El Beni"
"London",42.9699986,-81.24998661,340900,"Canada","Ontario"
"Drobeta-Turnu Severin",44.64589113,22.6658927,104462,"Romania","Mehedinti"
"Durham",35.99995892,-78.91999964,257114.5,"United States of America","North Carolina"
"Huancavelica",-12.79003457,-74.99000696,42982,"Peru","Huancavelica"
"Nizwa",22.92638999,57.53141313,70429.5,"Oman","Ad Dakhliyah"
"Pinar del Rio",22.41750633,-83.69808008,173304,"Cuba","Pinar del Río"
"Showa Station",-69.03039249,39.7460831,50,"Antarctica",""
"Machinga",-14.9666667,35.5166667,1418,"Malawi","Machinga"
"Campobasso",41.56299912,14.65599656,50762,"Italy","Molise"
"Meander River",59.03328168,-117.6829824,200,"Canada","Alberta"
"Al Fallujah",33.34766604,43.77726558,210989,"Iraq","Al-Anbar"
"Khromtau",50.26994061,58.44996171,21614,"Kazakhstan","Aqtöbe"
"Rezekne",56.50002545,27.3165649,38219,"Latvia","Latgale"
"Rohtak",28.9000047,76.58001786,317245,"India","Haryana"
"Bangkok",13.74999921,100.5166447,5904238,"Thailand","Bangkok Metropolis"
"Punta Alta",-38.87996662,-62.0799681,55969.5,"Argentina","Ciudad de Buenos Aires"
"Palm Coast",29.53800193,-81.22329574,45030,"United States of America","Florida"
"Jaque",7.518958353,-78.16601465,955,"Panama","Darién"
"Hancheng",35.47043052,110.429993,140092,"China","Shaanxi"
"Lake City",30.18971926,-82.63974675,20159.5,"United States of America","Florida"
"Huntsville",30.72376935,-95.55058659,34444.5,"United States of America","Texas"
"Norfolk",42.02871238,-97.43359827,24562,"United States of America","Nebraska"
"Asti",44.92998232,8.209979206,63410.5,"Italy","Piemonte"
"Nakhon Pathom",13.81799707,100.0639986,117927,"Thailand","Nakhon Pathom"
"Tukchi",57.36697512,139.5000016,10,"Russia","Khabarovsk"
"Andong",36.56591921,128.7250004,123920.5,"South Korea","Daegu"
"Vichuga",57.21912884,41.92874792,38093.5,"Russia","Ivanovo"
"Trincomalee",8.568999036,81.23300155,108420,"Sri Lanka","Trincomalee"
"Hutchinson",38.06549176,-97.92349085,42536.5,"United States of America","Kansas"
"Criciuma",-28.68002073,-49.38996749,183085.5,"Brazil","Santa Catarina"
"Nagano",36.64999676,138.1700052,477243.5,"Japan","Nagano"
"San Miguel",13.48334881,-88.18333602,181721.5,"El Salvador","San Miguel"
"Uberaba",-19.7799955,-47.9500037,234807,"Brazil","Minas Gerais"
"Dzerzhinsk",56.25037661,43.46002397,235457.5,"Russia","Nizhegorod"
"Moengo",5.630003885,-54.40999699,7420,"Suriname","Marowijne"
"Franceville",-1.633299541,13.58329464,41056,"Gabon","Haut-Ogooué"
"Windsor",42.33329327,-83.03334029,265068.5,"Canada","Ontario"
"Asha",54.99799827,57.27261755,35944.5,"Russia","Chelyabinsk"
"Tanta",30.79043194,31.00000932,404901,"Egypt","Al Gharbiyah"
"Joacaba",-27.17003538,-51.4999679,31196,"Brazil","Santa Catarina"
"Puerto Barrios",15.71749529,-88.59265184,54877.5,"Guatemala","Izabal"
"Pattani",6.864003023,101.2500006,96815.5,"Thailand","Pattani"
"Mopipi",-21.17954832,24.88002112,3301,"Botswana","Central"
"Gorno Altaysk",51.96133608,85.95768835,57392.5,"Russia","Gorno-Altay"
"Abomey",7.190399596,1.98999711,82154,"Benin","Zou"
"25 de Mayo",-37.80003253,-67.68329533,17430,"Argentina","Río Negro"
"Puerto Acosta",-15.49958494,-69.16666732,1123,"Bolivia","La Paz"
"Il'pyrskiy",59.96738829,164.1720053,10,"Russia","Kamchatka"
"Ratlam",23.35039512,75.02998328,272036,"India","Madhya Pradesh"
"Iskenderun",36.58041445,36.17002966,228954,"Turkey","Hatay"
"Lithgow",-33.49610919,150.152788,10338,"Australia","New South Wales"
"Argentia",47.30043194,-53.98999679,1063,"Canada","Newfoundland and Labrador"
"Tabuk",28.38383465,36.55496741,501703.5,"Saudi Arabia","Tabuk"
"Mogadishu",2.066681334,45.36667761,987694,"Somalia","Banaadir"
"Beyneu",45.18335187,55.10003699,32452,"Kazakhstan","Mangghystau"
"Pristina",42.66670961,21.16598425,331700,"Kosovo","Pristina"
"Minot",48.23249392,-101.2958173,37162,"United States of America","North Dakota"
"Ugolnyye Kopi",64.73329551,177.6999955,3367,"Russia","Chukchi Autonomous Okrug"
"Jacmel",18.23499903,-72.53700258,33563,"Haiti","Sud-Est"
"Kingman",35.18987917,-114.0522221,33306.5,"United States of America","Arizona"
"Sin-Ni",39.48800415,125.4639966,19463,"North Korea","P'yongan-namdo"
